icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
D841,Defects in the complement system,783249007,Hyperimmunoglobulin M syndrome without susceptibility to opportunistic infection (disorder),C391211,Thrombocytopenic eczema with immunodeficiency
D848,Other specified immunodeficiencies,23132008,Amyloid light-chain amyloidosis (disorder),C392200,Thymic aplasia or dysplasia with immunodeficiency
D849,"Immunodeficiency, unspecified",45841007,Kappa light chain disease (disorder),C391100,Di George syndrome
,,51319002,Light chain disease (disorder),PJ3y000,Shprintzen syndrome
,,66876008,Lambda light chain disease (disorder),PJ3y011,Velocardiofacial syndrome
,,234538002,Hyperimmunoglobulin D with periodic fever (finding),C396.00,Immunodeficiency following hereditary defective response to Epstein-Barr virus
,,234539005,Immunoglobulin heavy chain deficiency (disorder),D401.11,Job's syndrome
,,234540007,Selective immunoglobulin E deficiency (disorder),C397.00,Hyperimmunoglobulin E syndrome
,,234541006,Selective immunoglobulin D deficiency (disorder),C39X.00,"Immunodeficiency associated with major defect, unspecified"
,,234542004,Selective immunoglobulin M and immunoglobulin A deficiency (disorder),Cyu0300,"[X]Immunodeficiency associated with major defect, unspecified"
,,234558001,Anti-haemophilus influenzae B polysaccharide antibody deficiency (disorder),C390z00,Deficiency of humoral immunity NOS
,,234560004,Anti-meningococcal polysaccharide A antibody deficiency (disorder),C390A00,Dysimmunoglobulinaemia NEC
,,234561000,Anti-meningococcal polysaccharide C antibody deficiency (disorder),C390y00,Other specified deficiency of humoral immunity
,,234562007,Anti-protein antibody deficiency (disorder),C390A11,Dysgammaglobulinaemia NEC
,,234634006,Chromosome 18 syndromes and antibody deficiency (disorder),C398000,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and functions
,,449187006,Kappa light chain deficiency (disorder),C398100,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
,,449384005,Lambda light chain deficiency (disorder),C398200,Common variable immunodeficiency with autoantibodies to B- or T-cells
,,778004006,Autoinflammation phospholipase C gamma 2 associated antibody deficiency and immune dysregulation (disorder),C390700,Common variable immunodeficiency
,,783205005,Alopecia antibody deficiency (disorder),C398.00,Common variable immunodeficiency
,,840472009,Deficiency of immunoglobulin A with immunoglobulin G subclass deficiency (disorder),C39y000,Lymphocyte function antigen-1 defect
,,234543009,Immunoglobulin light chain deficiency (disorder),C399.00,Defects in the complement system
,,234544003,Immunoglobulin subclass deficiency (disorder),C376000,Hereditary angio-oedema
,,234553005,Immunoglobulin-associated molecule deficiency (disorder),SN51100,Hereditary C1 esterase inhibitor deficiency
,,234555003,Defective immunoglobulin glycosylation (disorder),SN51000,Acquired C1 esterase inhibitor deficiency
,,234556002,Specific antibody deficiency (disorder),M15y300,Leiner's disease
,,234557006,Anti-polysaccharide antibody deficiency (disorder),D401z00,Polymorphonuclear neutrophil disorder NOS
,,234559009,Anti-pneumococcal polysaccharide antibody deficiency (disorder),C399000,Mannose-binding lectin deficiency
,,234563002,Anti-staphylococcal antibody deficiency (disorder),C393.00,Unspecified immunity deficiency
,,267459007,Deficiencies of humoral immunity (finding),Cyu0000,[X]Other immunodeficiencies with predominantly antibody defects
,,363265005,Predominant humoral immune deficiency (disorder),Cyu0100,[X]Other combined immunodeficiency disorders
,,417167007,Immunoglobulin deficiency (disorder),Cyu0200,[X]Immunodeficiency associated with other specified major defects
,,190996002,Severe combined immunodeficiency with reticular dysgenesis (disorder),Cyu0400,[X]Other common variable immunodeficiencies
,,3439009,Severe combined immunodeficiency due to absent peripheral T cell maturation (disorder),Cyu0500,[X]Other specified immunodeficiency disorders
,,49555001,Severe combined immunodeficiency due to absent T cell receptor (disorder),,
,,190997006,Severe combined immunodeficiency with low T- and B-cell numbers (disorder),,
,,715982006,Severe combined immunodeficiency due to deoxyribonucleic acid cross-link repair protein 1c deficiency (disorder),,
,,716871006,Severe combined immunodeficiency due to deoxyribonucleic acid dependent protein kinase catalytic subunit deficiency (disorder),,
,,720853005,"Severe combined immunodeficiency, microcephaly, growth retardation, sensitivity to ionizing radiation syndrome (disorder)",,
,,722067005,Severe combined immunodeficiency with hypereosinophilia (disorder),,
,,724177005,Ligase 4 syndrome (disorder),,
,,763623001,Severe combined immunodeficiency due to cytidine 5-prime triphosphate synthetase 1 deficiency (disorder),,
,,765188009,Severe combined immunodeficiency due to complete recombination-activating gene 1 and/or recombination-activating gene 2 deficiency (disorder),,
,,783617001,Severe combined immunodeficiency due to lymphocyte-specific protein-tyrosine kinase deficiency (disorder),,
,,783743009,Combined immunodeficiency with granulomatosis (disorder),,
,,190998001,Severe combined immunodeficiency with low or normal B-cell numbers (disorder),,
,,718107000,Severe combined immunodeficiency T-cell negative B-cell positive due to janus kinase-3 deficiency (disorder),,
,,725135004,Combined immunodeficiency due to CD3gamma deficiency (disorder),,
,,765145001,T cell negative B cell positive severe combined immunodeficiency due to gamma chain deficiency (disorder),,
,,771517009,Severe combined immunodeficiency due to caspase recruitment domain family member 11 deficiency (disorder),,
,,778028008,Immunodeficiency due to CD25 deficiency (disorder),,
,,782751003,Severe combined immunodeficiency due to inhibitor of nuclear factor kappa B kinase subunit beta deficiency (disorder),,
,,36980009,Severe combined immunodeficiency due to absent adenosine deaminase (disorder),,
,,44940001,Adenosine deaminase deficiency (disorder),,
,,124274002,Deficiency of adenine phosphoribosyltransferase (disorder),,
,,124521008,Deficiency of adenine deaminase (disorder),,
,,238009001,Adenine phosphoribosyl transferase deficiency type I (disorder),,
,,238010006,Adenine phosphoribosyl transferase deficiency type II (disorder),,
,,55602000,Nezelof's syndrome (disorder),,
,,60743005,Purine-nucleoside phosphorylase deficiency (disorder),,
,,191001007,Major histocompatibility complex class I deficiency (disorder),,
,,725136003,Immunodeficiency by defective expression of human leukocyte antigen class 1 (disorder),,
,,71904008,Severe combined immunodeficiency due to absent class II human leukocyte antigens (disorder),,
,,191002000,Major histocompatibility complex class II deficiency (disorder),,
,,237989003,Succinate-coenzyme Q reductase deficiency (disorder),,
,,45390000,Severe combined immunodeficiency due to absent interleukin-2 production (disorder),,
,,234571003,"Warts, hypogammaglobulinemia, infections, and myelokathexis (disorder)",,
,,716378008,Combined immunodeficiency due to Zeta-chain associated protein kinase 70 deficiency (disorder),,
,,717811007,Combined immunodeficiency due to calcium release activated calcium channel dysfunction (disorder),,
,,724361001,Hepatic veno-occlusive disease with immunodeficiency syndrome (disorder),,
,,725290000,Combined immunodeficiency due to partial recombination-activating gene 1 deficiency (disorder),,
,,766879006,Combined immunodeficiency due to OX40 deficiency (disorder),,
,,771479000,Combined immunodeficiency due to serine/threonine kinase 4 deficiency (disorder),,
,,773488000,Combined immunodeficiency due to mucosa-associated lymphoid tissue lymphoma translocation gene 1 deficiency (disorder),,
,,783142006,Pancytopenia due to IKAROS family zinc finger 1 mutations (disorder),,
,,784340000,Combined immunodeficiency due to interleukin 21 receptor deficiency (disorder),,
,,22406001,Severe combined immunodeficiency due to absent lymphoid stem cells (disorder),,
,,31323000,Severe combined immunodeficiency disease (disorder),,
,,111587007,Severe combined immunodeficiency due to absent interleukin-2 receptor (disorder),,
,,190993005,Autosomal recessive severe combined immunodeficiency (disorder),,
,,234570002,Severe combined immunodeficiency with maternofetal engraftment (disorder),,
,,234572005,Benign combined immunodeficiency (disorder),,
,,362993009,Autosomal recessive severe combined immunodeficiency disease (disorder),,
,,442459007,Combined immunodeficiency disease (disorder),,
,,36070007,Wiskott-Aldrich syndrome (disorder),,
,,403837005,Wiskott-Aldrich autosomal dominant variant syndrome (disorder),,
,,24181002,Aplasia of thymus gland with immunodeficiency (disorder),,
,,48119005,Dysplasia of thymus gland with immunodeficiency (disorder),,
,,190995003,Thymic aplasia or dysplasia with immunodeficiency (disorder),,
,,767263007,22q11.2 deletion syndrome (disorder),,
,,789777007,Short-limb skeletal dysplasia with severe combined immunodeficiency (disorder),,
,,77121009,X-linked lymphoproliferative syndrome (disorder),,
,,191008001,Immunodeficiency following hereditary defective response to Epstein-Barr virus (disorder),,
,,711481001,"X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection and neoplasia (disorder)",,
,,50926003,Job's syndrome (disorder),,
,,234632005,Immunodeficiency associated with chromosomal abnormality (disorder),,
,,234637004,Deletion of X-chromosome and hypogammaglobulinemia (disorder),,
,,234640004,18-p syndrome with associated immunodeficiency (disorder),,
,,402483002,Immunodeficiency with multicarboxylase deficiency (disorder),,
,,718717004,Primary immunodeficiency syndrome due to p14 deficiency (disorder),,
,,719685004,Absent thumb with short stature and immunodeficiency syndrome (disorder),,
,,719827008,X-linked immunoneurologic disorder (disorder),,
,,720345008,"Severe T-cell immunodeficiency, congenital alopecia, nail dystrophy syndrome (disorder)",,
,,721977007,"Lung fibrosis, immunodeficiency, 46,XX gonadal dysgenesis syndrome (disorder)",,
,,724179008,Laron syndrome with immunodeficiency (disorder),,
,,725137007,"Neutropenia, monocytopenia, deafness syndrome (disorder)",,
,,772126000,Poikiloderma with neutropenia (disorder),,
,,783099001,"Radiosensitivity, immunodeficiency, dysmorphic features, learning difficulties syndrome (disorder)",,
,,234631003,Immunodeficiency with major anomalies (disorder),,
,,234641000,Immunodeficiency associated with multiple organ system abnormalities (disorder),,
,,103075007,Humoral immune defect (finding),,
,,191011000,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and functions (disorder),,
,,191012007,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders (disorder),,
,,782750002,T-cell receptor alpha-beta-positive T-cell deficiency (disorder),,
,,191013002,Common variable immunodeficiency with autoantibodies to B- or T-cells (disorder),,
,,23238000,Common variable agammaglobulinemia (disorder),,
,,191018006,Lymphocyte function antigen-1 defect (disorder),,
,,18827005,Complement abnormality (disorder),,
,,24419001,Disorder of complement (disorder),,
,,24743004,Complement deficiency disease (disorder),,
,,39674000,Familial C3B inhibitor deficiency syndrome (disorder),,
,,81166004,Properdin deficiency disease (disorder),,
,,82966003,Hereditary angioedema (disorder),,
,,124281009,Deficiency of dimethylallyltranstransferase (disorder),,
,,124450003,Deficiency of deoxyribonuclease I (disorder),,
,,124517001,Deficiency of allantoinase (disorder),,
,,124703008,Deficiency of cholate-CoA ligase (disorder),,
,,234403002,Phosphoglycerokinase deficiency (disorder),,
,,234593008,Classical complement pathway abnormality (disorder),,
,,234594002,Complement 1q deficiency (disorder),,
,,234595001,Complement 1q beta chain deficiency (disorder),,
,,234596000,Complement 1q dysfunction (disorder),,
,,234597009,Complement 1r deficiency (disorder),,
,,234598004,Complement 1s deficiency (disorder),,
,,234599007,Complement 2 deficiency (disorder),,
,,234600005,Complement 4 deficiency (disorder),,
,,234601009,Complement 4A deficiency (disorder),,
,,234602002,Complement 4B deficiency (disorder),,
,,234604001,Alternative pathway deficiency (disorder),,
,,234607008,Factor D deficiency (disorder),,
,,234608003,Terminal component deficiency (disorder),,
,,234609006,Complement 5 deficiency (disorder),,
,,234611002,Complement 6 deficiency (disorder),,
,,234612009,Complement 7 deficiency (disorder),,
,,234613004,Combined complement 6 and 7 deficiencies (disorder),,
,,234614005,Complement 8 beta chain deficiency (disorder),,
,,234615006,Complement 8 beta chain dysfunction (disorder),,
,,234616007,Complement 8 alpha-gamma deficiency (disorder),,
,,234617003,Complement 9 deficiency (disorder),,
,,234618008,Complement regulatory factor defect (disorder),,
,,234619000,Hereditary C1 esterase inhibitor deficiency - deficient factor (disorder),,
,,234620006,Hereditary C1 esterase inhibitor deficiency - dysfunctional factor (disorder),,
,,234622003,Factor H deficiency (disorder),,
,,234623008,Complement 4 binding protein deficiency (disorder),,
,,234624002,Decay accelerating factor deficiency (disorder),,
,,234625001,Homologous restriction factor deficiency (disorder),,
,,234626000,Complement 5a inhibitor deficiency (disorder),,
,,234627009,Anaphylotoxin inactivator deficiency (disorder),,
,,234628004,Complement receptor deficiency (disorder),,
,,234629007,Complement receptor 1 deficiency (disorder),,
,,234630002,Complement receptor 3 deficiency (disorder),,
,,241955009,Acquired C1 esterase inhibitor deficiency (disorder),,
,,263661007,Complement 5 dysfunction (disorder),,
,,363009005,Complement component deficiency (disorder),,
,,427167008,Hereditary angioedema with normal C1 esterase inhibitor activity (disorder),,
,,766705006,Immunodeficiency due to ficolin 3 deficiency (disorder),,
,,771078002,Immunodeficiency due to mannan binding lectin serine peptidase 2 deficiency (disorder),,
,,771443008,Complement component 3 deficiency (disorder),,
,,778027003,Primary CD59 deficiency (disorder),,
,,783007005,Recurrent Neisseria infection due to factor D deficiency (disorder),,
,,783621008,Immunodeficiency with factor I anomaly (disorder),,
,,9893005,Immunodeficiency with thymoma (disorder),,
,,36138009,Congenital immunodeficiency disease (disorder),,
,,124950009,Deficiency of immunoglobulin (disorder),,
,,234554004,Secretory piece deficiency (disorder),,
,,234578009,Defective phagocytic cell opsonization (disorder),,
,,234579001,Mannan-binding protein deficiency (disorder),,
,,234582006,Leukocyte adhesion deficiency - type 1 (disorder),,
,,234583001,Leukocyte adhesion deficiency - type 2 (disorder),,
,,234643002,Transient immunodeficiency of infancy (disorder),,
,,234645009,Drug-induced immunodeficiency (disorder),,
,,302874002,Phagocytic cell dysfunction (disorder),,
,,363040003,Congenital immunodeficiency involving the hematopoietic system (disorder),,
,,402791005,B-lymphocyte immunodeficiency (disorder),,
,,402792003,T-lymphocyte immunodeficiency (disorder),,
,,406565005,CD4 T lymphocyte deficiency (disorder),,
,,449853003,Interleukin-12 deficiency (disorder),,
,,699869003,Interleukin-1 receptor-associated kinase 4 deficiency (disorder),,
,,703525006,Anhidrotic ectodermal dysplasia with immune deficiency (disorder),,
,,703538003,Mannose-binding lectin deficiency (disorder),,
,,707152007,Phagocytic immunodeficiency (disorder),,
,,710735009,Periodontitis co-occurrent with leukocyte adhesion deficiency (disorder),,
,,711480000,Activated PI3K-delta syndrome (disorder),,
,,716869006,Mendelian susceptibility to mycobacterial disease due to complete interleukin 12 receptor beta 1 deficiency (disorder),,
,,718230004,Mendelian susceptibility to mycobacterial disease due to complete interferon gamma receptor 1 deficiency (disorder),,
,,718232007,Pyogenic bacterial infection due to deficiency of myeloid differentiation primary response 88 (disorder),,
,,719814009,X-linked mendelian susceptibility to mycobacterial disease (disorder),,
,,721876004,Mendelian susceptibility to mycobacterial disease due to complete interferon gamma receptor 2 deficiency (disorder),,
,,721877008,Mendelian susceptibility to mycobacterial disease due to complete interleukin 12 subunit beta deficiency (disorder),,
,,723334006,Immunodeficiency due to mutation of FAS-associated protein with death domain gene (disorder),,
,,723384004,Mendelian susceptibility to mycobacterial disease due to complete interferon stimulated gene 15 deficiency (disorder),,
,,723385003,Mendelian susceptibility to mycobacterial disease due to partial interferon regulatory factor 8 deficiency (disorder),,
,,723386002,Mendelian susceptibility to mycobacterial disease due to partial signal transducer and activator of transcription 1 deficiency (disorder),,
,,724275005,Primary immunodeficiency with natural killer cell deficiency and adrenal insufficiency (disorder),,
,,725150008,Autosomal dominant mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 1 deficiency (disorder),,
,,725151007,Autosomal dominant mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 2 deficiency (disorder),,
,,725431001,Autosomal recessive mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 1 deficiency (disorder),,
,,725432008,Autosomal recessive mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 2 deficiency (disorder),,
,,737307003,Natural-killer cell deficiency (disorder),,
,,763668009,Lichtenstein syndrome (disorder),,
,,764946008,Constitutional mismatch repair deficiency syndrome (disorder),,
,,766983005,Susceptibility to respiratory infection associated with CD8alpha chain mutation (disorder),,
,,768560008,Melanoma differentiation-associated gene 5 deficiency (disorder),,
,,770785002,T-cell immunodeficiency due to ras homolog family member H deficiency (disorder),,
,,778045003,Susceptibility to viral and mycobacterial infection (disorder),,
,,783245001,Primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection (disorder),,
,,784393004,Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies (disorder),,
,,33286000,Secondary immune deficiency disorder (disorder),,
,,58606001,Primary immune deficiency disorder (disorder),,
,,103077004,Immunodeficiency secondary to neoplasm (disorder),,
,,103078009,Immunodeficiency secondary to trauma (disorder),,
,,103079001,Immunodeficiency caused by corticosteroid (disorder),,
,,103080003,Immunodeficiency secondary to radiation therapy (disorder),,
,,103081004,Immunodeficiency secondary to chemotherapy (disorder),,
,,234532001,Immunodeficiency disorder (disorder),,
,,234642007,Age-related immunodeficiency (disorder),,
,,304576008,"Metaphyseal chondrodysplasia, McKusick type with associated immunodeficiency (disorder)",,
,,402124001,Warts in immune-deficient state (disorder),,
,,402686000,Panniculitis due to immunological disorder (disorder),,
,,402900005,Oral hairy leukoplakia associated with immunodeficiency (disorder),,
,,735536003,Adult-onset immunodeficiency (disorder),,
,,840435003,Disseminated dermatophytosis due to immunodeficiency (disorder),,
,,1.0839E+16,Immunodeficiency caused by long term therapeutic use of drug (disorder),,
