icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
K311,Adult hypertrophic pyloric stenosis,69686006,Aperistalsis of esophagus (disorder),J103.11,Stenosis of oesophagus
K312,Hourglass stricture and stenosis of stomach,70257007,Chalasia of lower esophageal sphincter (disorder),J103.12,Stricture of oesophagus
K313,"Pylorospasm, not elsewhere classified",715192004,Idiopathic achalasia of esophagus (disorder),J103.00,Oesophageal stricture and stenosis
K314,Gastric diverticulum,717842002,Idiopathic megaesophagus (disorder),J103z00,Oesophageal stricture and stenosis NOS
K315,Obstruction of duodenum,5.021E+12,Acquired achalasia of esophagus (disorder),J103300,Lower oesophageal mucosal ring
K316,Fistula of stomach and duodenum,30811009,Ulcer of esophagus (disorder),J103311,Schatzki ring
K317,Polyp of stomach and duodenum,40719004,Erosive esophagitis (disorder),J103400,Peptic stricture of oesophagus
K318,Other specified diseases of stomach and duodenum,57748001,Bleeding ulcer of esophagus (disorder),J103100,Obstruction of oesophagus
K319,"Disease of stomach and duodenum, unspecified",196609006,Barrett's ulcer of esophagus (disorder),J10y700,Boerhaave syndrome
K50,Crohn disease [regional enteritis],196623008,Esophageal erosions (disorder),J104.00,Perforation of oesophagus
K500,Crohn disease of small intestine,235608007,Eosinophilic ulcer of esophagus (disorder),J10y800,Rupture of oesophagus
K501,Crohn disease of large intestine,235613006,Radiation ulcer of esophagus (disorder),J105.11,Corkscrew oesophagus
K508,Other Crohn disease,245754007,Gastroesophageal reflux disease with ulceration (disorder),J105.14,Spasm of oesophagus
K509,"Crohn disease, unspecified",439442003,Esophageal bleeding due to ulcerative esophagitis (disorder),J105.13,Oesophagospasm
K51,Ulcerative colitis,439955006,Ulcerative esophagitis (disorder),J105.00,Dyskinesia of oesophagus
K510,Ulcerative (chronic) pancolitis,724516001,Ulcer of esophagus caused by thermal agent (disorder),J105000,Nutcracker oesophagus
K512,Ulcerative (chronic) proctitis,737189006,Ulcer of esophagus due to allergic disorder (disorder),J105.12,Curling oesophagus
K513,Ulcerative (chronic) rectosigmoiditis,737190002,Ulcer of esophagus due to disorder of immune system (disorder),J105.15,Oesophageal dysmotility
K514,Inflammatory polyps,738792004,Cushing ulcer of esophagus (disorder),J106200,Epiphrenic (pulsion) diverticulum
K515,Left sided colitis,39392002,Compression of esophagus (disorder),J106300,Subdiaphragmatic oesophageal diverticulum
K518,Other ulcerative colitis,52619009,Primary chronic pseudo-obstruction of esophagus (disorder),J106.00,Acquired oesophageal diverticulum
K519,"Ulcerative colitis, unspecified",63305008,Stricture of esophagus (disorder),J106z00,Acquired oesophageal diverticulum NOS
K520,Gastroenteritis and colitis due to radiation,66889002,Terminal esophageal web (disorder),J106500,Acquired oesophagocoele
K522,Allergic and dietetic gastroenteritis and colitis,231719009,Dysphagia lusoria (disorder),J106400,Traction oesophageal diverticulum
K523,Indeterminate colitis,235596005,Peptic stricture of esophagus (disorder),J106100,Zenker's hypopharyngeal diverticulum
K528,Other specified noninfective gastroenteritis and colitis,235615004,Malignant esophageal stricture (disorder),J106000,Acquired pharyngoesophageal diverticulum
K529,"Noninfective gastroenteritis and colitis, unspecified",235616003,Benign esophageal stricture (disorder),J10y600,Barrett's oesophagus
K55,Vascular disorders of intestine,235617007,Non-reflux stricture (disorder),J101611,Megaoesophagus
K550,Acute vascular disorders of intestine,235618002,Corrosive stricture of esophagus (disorder),J100.12,Leukoplakia of oesophagus
K551,Chronic vascular disorders of intestine,235620004,Radiation-induced stricture of esophagus (disorder),J10y100,Benign oesophageal polyp
K552,Angiodysplasia of colon,235623002,Lower esophageal ring (disorder),B710.11,Laryngopharyngeal reflux
K553,Angiodysplasia of small intestine,235625009,Lower esophageal muscular ring (disorder),J10y500,Tuberculosis oesophagus
K558,Other vascular disorders of intestine,405247003,Obstruction of esophagus (disorder),A178.00,Megaoesophagus in Chagas' disease
K559,"Vascular disorder of intestine, unspecified",405248008,Thoracic choke (disorder),J100000,Alcoholic gastritis
D57,Diverticular disease of intestine,724437007,Compression of trachea and esophagus co-occurrent and due to congenital anomaly of aortic arch (disorder),J153.00,Chronic superficial gastritis
K570,Diverticular disease of small intestine with perforation and abscess,19995004,Spontaneous rupture of esophagus (disorder),J151200,Chronic atrophic gastritis
K571,Diverticular disease of small intestine without perforation or abscess,23387001,Perforation of esophagus (disorder),J151000,Chronic inflammatory gastritis
K572,Diverticular disease of large intestine with perforation and abscess,235626005,Rupture of esophagus (disorder),J151100,Chronic gastritis NOS
K573,Diverticular disease of large intestine without perforation or abscess,45067001,Spastic disorder of smooth muscle segment of esophagus (disorder),J151z00,Chronic gastritis
K574,Diverticular disease of both small and large intestine with perforation and abscess,79962008,Diffuse spasm of esophagus (disorder),J151.00,Allergic gastritis
K575,Diverticular disease of both small and large intestine without perforation or abscess,235628006,Nutcracker esophagus (disorder),J154000,Irritant gastritis
K578,"Diverticular disease of intestine, part unspecified, with perforation and abscess",235629003,Nonspecific esophageal motility disorder (disorder),J154200,Gastric mucosal hypertrophy
K579,"Diverticular disease of intestine, part unspecified, without perforation or abscess",235630008,Hypertensive lower esophageal sphincter (disorder),J152.00,Biliary reflux
K592,"Neurogenic bowel, not elsewhere classified",235635003,Palatoesophageal incoordination (disorder),J154111,Bile induced gastritis
K630,Abscess of intestine,266434009,Esophageal dysmotility (disorder),J154100,Helicobacter gastritis
K631,Perforation of intestine (nontraumatic),733146008,Esophageal dysmotility due to systemic disease (disorder),A074313,Corrosive gastritis
K632,Fistula of intestine,5144008,Acquired pulsion diverticulum of esophagus (disorder),J154400,Radiation gastritis
K633,Ulcer of intestine,30126008,Acquired supradiaphragmatic diverticulum of esophagus (disorder),J154300,Duodenitis
K661,Haemoperitoneum,35563005,Acquired diverticulum of esophagus (disorder),J430000,Acquired pyloric constriction
K668,Other specified disorders of peritoneum,38982006,Acquired esophagocele (disorder),J157.00,Acquired pyloric stricture
K673,Tuberculous peritonitis,68480001,Intramural diverticulosis of esophagus (disorder),J170000,Gastric outlet obstruction
K70,Alcoholic liver disease,75009007,Acquired traction diverticulum of esophagus (disorder),J170200,Adult hypertrophic pyloric stenosis
K700,Alcoholic fatty liver,196617003,Traction esophageal diverticulum (disorder),J170.11,Adult hypertrophic pyloric stenosis NOS
K701,Alcoholic hepatitis,235637006,Mid-esophageal diverticulum (disorder),J170.00,Acquired pyloric obstruction
K702,Alcoholic fibrosis and sclerosis of liver,235638001,Mid-esophageal pulsion diverticulum (disorder),J170z00,Hourglass stomach contraction
K703,Alcoholic cirrhosis of liver,302916008,Mid-esophageal traction diverticulum (disorder),J170100,Hourglass stricture of stomach
K704,Alcoholic hepatic failure,399291005,Pharyngoesophageal diverticulum (disorder),J16y300,Pylorospasm
K709,"Alcoholic liver disease, unspecified",717841009,Acquired diverticulum of esophagus without complication (disorder),J176.00,Gastric diverticulum
K72,"Hepatic failure, not elsewhere classified",235597001,Barrett's esophagus with esophagitis (disorder),J17y000,Stricture of duodenum
K720,Acute and subacute hepatic failure,302914006,Barrett's esophagus (disorder),J171.00,Chronic duodenal ulcer with haemorrhage and perforation
K721,Chronic hepatic failure,1.08275E+15,Barretts esophagus with dysplasia (disorder),J173100,Chronic duodenal ileus
K729,"Hepatic failure, unspecified",1.08276E+15,Barretts esophagus with high grade dysplasia (disorder),J121300,Gastroduodenal fistula
K73,"Chronic hepatitis, not elsewhere classified",1.08277E+15,Barretts esophagus with low grade dysplasia (disorder),J172.00,Stomach and duodenal fistula
K730,"Chronic persistent hepatitis, not elsewhere classified",17355002,Aorto-esophageal fistula (disorder),J174100,Stomach and duodenal fistula NOS
K731,"Chronic lobular hepatitis, not elsewhere classified",30873000,Esophageal fistula (disorder),J174.00,Gastrojejunocolic fistula
K732,"Chronic active hepatitis, not elsewhere classified",38397000,Gastroesophageal intussusception (disorder),J174z00,Gastrocolic fistula
K738,"Other chronic hepatitis, not elsewhere classified",60698006,Hemorrhagic esophagitis (disorder),J174200,Gastrointestinal fistula
K739,"Chronic hepatitis, unspecified",64151006,Esophagomalacia (disorder),J174400,Gastrocutaneous fistula
K74,Fibrosis and cirrhosis of liver,70667005,Megaesophagus (disorder),J174300,Duodenal polyp
K740,Hepatic fibrosis,78974003,Dilatation of esophagus (disorder),J174000,Polyp of duodenum
K741,Hepatic sclerosis,89057003,Leukoplakia of esophagus (disorder),B712011,Gastric polyp
K742,Hepatic fibrosis with hepatic sclerosis,235634004,Presbyesophagus (disorder),J178.11,Polyp of stomach
K743,Primary biliary cirrhosis,235639009,Internal esophageal fistula (disorder),J178.00,Gastroptosis
K744,Secondary biliary cirrhosis,235642003,External esophageal fistula (disorder),J177.00,Gastric prolapse
K745,"Biliary cirrhosis, unspecified",236093004,Esophageal anastomotic hemorrhage (disorder),B711.11,Achylia gastrica
K746,Other and unspecified cirrhosis of liver,254573006,Polyp of esophagus (disorder),J177.11,Passive congestion of stomach
K751,Phlebitis of portal vein,255169005,Benign esophageal polyp (disorder),J175.00,Watermelon stomach
K752,Nonspecific reactive hepatitis,308857008,Esophageal dysplasia (disorder),J17y100,Gastric antral vascular ectasia
K753,"Granulomatous hepatitis, not elsewhere classified",308858003,Mild esophageal dysplasia (disorder),J16y000,Achlorhydria
K754,Autoimmune hepatitis,308859006,Moderate esophageal dysplasia (disorder),J17y600,Gastric rupture
K758,Other specified inflammatory liver diseases,308860001,Severe esophageal dysplasia (disorder),J577111,Hypochlorhydria
K759,"Inflammatory liver disease, unspecified",405567008,Esophagoenteric fistula (disorder),J577100,Hyperchlorhydria
K760,"Fatty (change of) liver, not elsewhere classified",414581006,Laryngopharyngeal reflux (disorder),J160.00,Hyperacidity
K761,Chronic passive congestion of liver,427225008,Atony of esophagus (disorder),J17y200,Volvulus of the stomach
K762,Central haemorrhagic necrosis of liver,699323007,Inflammatory esophagogastric polyp (disorder),J16y100,Intestinal metaplasia of gastric mucosa
K763,Infarction of liver,713356005,Chronic esophageal scar (disorder),J16y200,Gastric atonia
K764,Peliosis hepatis,717843007,Acquired fistula of esophagus (disorder),J16y211,Gastric spasm
K765,Hepatic veno-occlusive disease,717845000,Disorder of esophageal peristalsis (disorder),J502000,Perforation of stomach
K766,Portal hypertension,721179009,Intramural hemorrhage of esophagus (disorder),J17y500,Gastric dysmotility
K767,Hepatorenal syndrome,724514003,Hypertensive esophageal peristalsis (disorder),J16y600,Deformed duodenal cap (bulb)
K769,"Liver disease, unspecified",724515002,Hypotensive esophageal peristalsis (disorder),J16y700,Delayed gastric emptying
K80,Cholelithiasis,735725007,Angiodysplasia of esophagus (disorder),J179.00,Gastric angiodysplasia
K800,Calculus of gallbladder with acute cholecystitis,735726008,Arteriovenous malformation of esophagus (disorder),J16y800,Type 1 diabetes mellitus with gastroparesis
K801,Calculus of gallbladder with other cholecystitis,860891005,Hyperplastic polyp of esophagus (disorder),J17y700,Type I diabetes mellitus with gastroparesis
K802,Calculus of gallbladder without cholecystitis,15284007,Tuberculosis of esophagus (disorder),J16y900,Type II diabetes mellitus with gastroparesis
K803,Calculus of bile duct with cholangitis,196599007,Megaesophagus in Chagas' disease (disorder),J17y900,Type 2 diabetes mellitus with gastroparesis
K804,Calculus of bile duct with cholecystitis,NA,NA,C10EQ00,Crohn's disease of the ileum unspecified
K805,Calculus of bile duct without cholangitis or cholecystitis,2043009,Alcoholic gastritis (disorder),C10EQ11,Crohn's disease of the ileum NOS
K808,Other cholelithiasis,4.0241E+13,Gastric hemorrhage due to alcoholic gastritis (disorder),C10FR11,Regional enteritis of the duodenum
K81,Cholecystitis,22304002,Superficial gastritis (disorder),C10FR00,Regional enteritis of the small bowel
K810,Acute cholecystitis,196735001,Chronic superficial gastritis (disorder),J400300,Crohn's disease of the small bowel NOS
K811,Chronic cholecystitis,1.08512E+15,Gastric hemorrhage due to chronic superficial gastritis (disorder),J400400,Regional enteritis of the jejunum
K818,Other cholecystitis,3308008,Atrophic-hyperplastic gastritis (disorder),J400000,Crohn's disease of the terminal ileum
K819,"Cholecystitis, unspecified",15445004,Atrophic nonerosive nonspecific gastritis (disorder),J400.00,Regional ileocolitis
K820,Obstruction of gallbladder,42740008,Atrophic fundic gland gastritis (disorder),J400z00,Exacerbation of Crohn's disease of small intestine
K821,Hydrops of gallbladder,84568007,Atrophic gastritis (disorder),J400100,Pouchitis
K822,Perforation of gallbladder,1.50721E+14,Gastric hemorrhage due to atrophic gastritis (disorder),J400200,Regional enteritis of the rectum
K823,Fistula of gallbladder,8493009,Chronic gastritis (disorder),J402.00,Regional enteritis of the large bowel
K824,Cholesterolosis of gallbladder,89790007,Chronic antral gastritis (disorder),J400500,Crohn's disease of the large bowel NOS
K828,Other specified diseases of gallbladder,235660003,Chronic follicular gastritis (disorder),J435.00,Regional enteritis of the colon
K829,"Disease of gallbladder, unspecified",698352000,Chronic antral gastritis with hemorrhage (disorder),J401100,Crohn's colitis
K830,Cholangitis,1824008,Allergic gastritis (disorder),J401.00,Exacerbation of Crohn's disease of large intestine
K831,Obstruction of bile duct,7399006,Emphysematous gastritis (disorder),J401z00,Granulomatous enteritis
K832,Perforation of bile duct,7475005,Postgastrectomy gastritis (disorder),J401000,Crohn's disease NOS
K833,Fistula of bile duct,35223008,Superficial nonerosive nonspecific gastritis (disorder),J401z11,Regional enteritis NOS
K834,Spasm of sphincter of Oddi,42541005,Irritant gastritis (disorder),J401200,Regional enteritis - Crohn's disease
K835,Biliary cyst,46763001,Focal cystic hypertrophic gastropathy (disorder),J40..12,Crohn's disease
K838,Other specified diseases of biliary tract,49781004,Phlegmonous gastritis (disorder),J40z.11,[X]Other Crohn's disease
K839,"Disease of biliary tract, unspecified",57433008,Reflux gastritis (disorder),J40z.00,Orofacial Crohn's disease
K851,Biliary acute pancreatitis,60002000,Hypertrophic gastritis (disorder),J40..00,Arthropathy in Crohn's disease
K858,Other acute pancreatitis,63137003,Chronic erosive gastritis (disorder),J40..11,Juvenile arthritis in Crohn's disease
K859,"Acute pancreatitis, unspecified",72950008,Bile-induced gastritis (disorder),Jyu4000,Ulcerative (chronic) enterocolitis
K860,Alcohol-induced chronic pancreatitis,80018001,Hypertrophic glandular gastritis (disorder),J08z900,Ulcerative pancolitis
K861,Other chronic pancreatitis,89538001,Helicobacter-associated gastritis (disorder),N031100,Ulcerative proctitis
K862,Cyst of pancreas,196740009,Corrosive gastritis (disorder),N045300,Ulcerative rectosigmoiditis
K863,Pseudocyst of pancreas,197012004,Radiation gastritis (disorder),J411.00,Ulcerative colitis and/or proctitis
K868,Other specified diseases of pancreas,235656001,Reactive gastritis (disorder),J413.00,Ulcerative proctocolitis
K869,"Disease of pancreas, unspecified",235659008,Uremic gastritis (disorder),J410300,Ulcerative proctocolitis NOS
K900,Coeliac disease,235661004,Chronic cystic gastritis (disorder),J410200,Other idiopathic proctocolitis NOS
K901,Tropical sprue,235662006,Chronic granulomatous gastritis (disorder),J41..12,Other idiopathic proctocolitis
K902,"Blind loop syndrome, not elsewhere classified",235663001,Isolated granulomatous gastritis (disorder),J410.00,Ulcerative ileocolitis
K903,Pancreatic steatorrhoea,360375007,Lymphocytic gastritis (disorder),J410z00,Ulcerative (chronic) ileocolitis
K904,"Malabsorption due to intolerance, not elsewhere classified",413219009,Hypertrophic gastropathy (disorder),J41yz00,Ulcerative colitis
K908,Other intestinal malabsorption,445965007,Hyperplasia of gastric foveola (disorder),J41y.00,[X]Other ulcerative colitis
K930,"Tuberculous disorders of intestines, peritoneum and mesenteric glands",447432006,Focal foveolar hyperplasia (disorder),J410000,Idiopathic proctocolitis NOS
K931,Megacolon in Chagas disease,708164002,Gastritis caused by Helicobacter pylori (disorder),J412.00,Idiopathic proctocolitis
,,708165001,Gastritis caused by Helicobacter heilmannii (disorder),J410100,Arthropathy in ulcerative colitis
,,708964003,Gastritis cystica profunda (disorder),Jyu4100,Juvenile arthritis in ulcerative colitis
,,711499009,Collagenous gastritis (disorder),J41z.00,Exacerbation of ulcerative colitis
,,717861003,Metaplastic gastritis (disorder),J41..00,Left sided colitis
,,724521003,Ulcer of stomach due to lymphocytic gastritis (disorder),N031000,Radiation colitis
,,773397000,Non-hypoproteinemic hypertrophic gastropathy (disorder),N045400,Radiation enteritis
,,789697006,Mast cell gastritis (disorder),J410400,Radiation gastroenteritis NOS
,,7.071E+12,Gastric hemorrhage due to erosive gastritis (disorder),J438.00,Radiation gastroenteritis
,,2.1871E+13,Suppurative gastritis (disorder),J430300,Radiation enterocolitis
,,2.18541E+14,Gastric hemorrhage co-occurrent with and due to idiopathic erosive gastritis (disorder),J430100,Allergic enteritis
,,1.08263E+15,Gastric hemorrhage due to allergic gastritis (disorder),J430z00,Allergic gastroenteritis NOS
,,1.08716E+15,Gastric hemorrhage due to hypertrophic gastritis (disorder),J430.00,Allergic gastroenteritis
,,1.08781E+15,Gastric hemorrhage due to irritant gastritis (disorder),J430200,Allergic colitis
,,720401009,Cystic fibrosis with gastritis and megaloblastic anemia syndrome (disorder),J432100,Dietetic enteritis
,,1.08679E+15,Erosive gastritis (disorder),J432z00,Dietetic gastroenteritis NOS
,,72007001,Duodenitis (disorder),J432000,Dietetic gastroenteritis
,,235693007,Chronic duodenitis (disorder),J432300,Allergic diarrhoea
,,717872008,Allergic duodenitis (disorder),J433100,Dietetic colitis
,,717873003,Eosinophilic duodenitis (disorder),J433z00,Dietetic diarrhoea
,,717874009,Lymphocytic duodenitis (disorder),J433.00,Allergic enterocolitis
,,717877002,Granulomatous duodenitis (disorder),J432.11,Dietetic gastritis
,,723882007,Duodenitis caused by ingestible alcohol (disorder),J433300,Dietetic enterocolitis
,,723883002,Duodenitis caused by ionizing radiation (disorder),J433.11,Allergic gastroenteritis and colitis
,,724525007,Duodenitis caused by Helicobacter pylori (disorder),J432200,Indeterminate colitis
,,13483000,Acquired hypertrophic pyloric stenosis (disorder),J433000,Non-infective sigmoiditis NOS
,,196760001,Acquired pyloric constriction (disorder),J433200,Collagenous colitis
,,196761002,Acquired pyloric stricture (disorder),J432.00,Lymphocytic colitis
,,244815007,Pyloric obstruction (disorder),J4z6.00,Microscopic colitis
,,266438007,Adult hypertrophic pyloric stenosis (disorder),J4z4.00,Non-infective gastroenteritis NOS
,,333952004,Acquired nonhypertrophic constriction of pylorus (disorder),J436000,Colitis - noninfective
,,367403001,Pyloric stenosis (disorder),J436100,Non-infective colitis NOS
,,416605008,Acquired obstruction of pylorus (disorder),J436.00,Inflammatory bowel disease
,,25948008,Pyloric antral stenosis (disorder),J4z..00,Non-infective ileitis NOS
,,53313006,Hourglass contraction of stomach (disorder),J4zz.00,Noninfective diarrhoea
,,54051005,Cascade stomach (disorder),J4...11,Presumed noninfectious diarrhoea
,,55860008,Stenosis of stomach (disorder),J4z3.00,Other non-infective inflammatory gastroenteritis and colitis
,,335002,Pylorospasm (disorder),J4...12,Non-infective jejunitis NOS
,,75198005,Gastric diverticulum (disorder),J4z2.00,Chronic diarrhoea
,,717860002,Gastric diverticulum without complication (disorder),J4...13,Noninfective enteritis and colitis
,,17755000,Acquired megaduodenum (disorder),J4z..11,[X]Noninfective enteritis and colitis
,,33812003,Stricture of duodenum (disorder),J43..00,Exacerbation of non-infective colitis
,,34021006,Chronic duodenal ulcer with hemorrhage AND obstruction (disorder),J4z1.00,Epiploic appendagitis
,,36975000,Chronic duodenal ulcer with hemorrhage AND perforation (disorder),J43z.11,Bowel infarction
,,52232007,Chronic duodenal ileus (disorder),J4...00,Mesenteric thrombosis
,,60551006,Chronic duodenal ulcer with perforation AND obstruction (disorder),Jyu4.00,Mesenteric thrombus NOS
,,73120006,Stenosis of duodenum (disorder),J4z5.00,Gangrene - intestine
,,85836000,Congenital duodenal obstruction due to annular pancreas (disorder),J57A.00,Chronic ischaemic colitis
,,86258000,"Chronic duodenal ulcer with hemorrhage, with perforation AND with obstruction (disorder)",J420.12,Chronic ischaemic enterocolitis
,,235975009,Duodenal papillary stenosis (disorder),J420.18,Chronic ischaemic enteritis
,,7780000,Duodenal fistula (disorder),J420y00,Chronic intestinal vascular insufficiency NOS
,,16010007,Duodenocolic fistula (disorder),J420.13,Chronic intestinal vascular insufficiency
,,17206008,Gastroduodenal fistula (disorder),J421300,Chronic ischaemic colitis and/or enteritis
,,25335003,Gastrojejunocolic fistula (disorder),J421200,Superior mesenteric artery syndrome
,,26289005,Low-output external gastrointestinal fistula (disorder),J421100,Angina - abdominal
,,28756003,Gastrocolic fistula (disorder),J421z00,Angiodysplasia of colon
,,32161008,Internal gastrointestinal fistula (disorder),J421.00,Intestinal vascular insufficiency NOS
,,37831005,Gastrointestinal fistula (disorder),J421.12,Ischaemic colitis NOS
,,45743004,Duodenorenal fistula (disorder),J421000,Vascular insufficiency of the intestine
,,79615003,Internal duodenal fistula (disorder),J421.11,Vascular disorders of intestine
,,80641008,External gastrointestinal fistula (disorder),J577000,[X]Other vascular disorders of intestine
,,111342009,High-output external gastrointestinal fistula (disorder),J42z.00,Perforated diverticulum of duodenum
,,196767003,External gastric fistula (disorder),J42z000,Perforated diverticulum of jejunum
,,235671002,Gastric fistula (disorder),J42..00,Perforated diverticulum of ileum
,,235672009,Internal gastric fistula (disorder),J577.00,Perforated diverticulum of small intestine NOS
,,235673004,Gastrojejunal fistula (disorder),Jyu5000,Perforated diverticulum of small intestine unspecified
,,235696004,Duodenoenteric fistula (disorder),J512000,Diverticulitis of the duodenum
,,277540008,Duodenal stump fistula (disorder),J512100,Diverticulitis of the small intestine unspecified
,,717858004,Acquired gastric fistula (disorder),J512200,Diverticulitis of the small intestine NOS
,,73861008,Polyp of duodenum (disorder),J512400,Diverticulitis of the ileum
,,78160009,Inflammatory fibroid polyps of stomach (disorder),J512300,Perforated diverticulum of colon
,,78809005,Gastric polyp (disorder),J511000,Diverticular abscess
,,87252009,Gastric polyposis (disorder),J511300,Perforated diverticulum of large intestine NOS
,,235686008,Fundic gland polyposis of stomach (disorder),J511400,Perforated diverticulum of large intestine unspecified
,,301797007,Duodenal polyposis (disorder),J511200,Diverticulitis of the large intestine unspecified
,,399468008,Solitary fundic gland polyp (disorder),J512500,Diverticulitis of the large intestine NOS
,,717883004,Hyperplastic duodenal polyp (disorder),J513.00,Diverticulitis of the colon
,,724524006,Hamartomatous polyp of stomach (disorder),J512700,Bleeding diverticulosis
,,771474005,Gastric adenocarcinoma and proximal polyposis of stomach (disorder),J512600,Diverticular disease of both small and large intestine with perforation and abscess
,,6.82831E+14,Benign polyp of duodenum (disorder),J511600,Diverticular disease of both small and large intestine without perforation or abscess
,,1208004,Gastroptosis (disorder),J511700,Perforated diverticulum
,,11619008,Gastric dilatation-volvulus-torsion syndrome (disorder),J511500,Perforated diverticulum unspecified
,,11672007,Organoaxial gastric volvulus (disorder),J510900,Perforated diverticulum of intestine NOS
,,13267003,Gastric motor function disorder (disorder),J512800,Diverticulitis
,,18935007,Isolated idiopathic granuloma of stomach (disorder),J510800,Diverticulitis NOS
,,20754004,Achylia gastrica (disorder),J512.00,Diverticulitis unspecified
,,23062000,Passive congestion of stomach (disorder),J512y00,"Neurogenic bowel, not elsewhere classified"
,,23080009,Chronic gastric volvulus (disorder),J512z00,"[X]Neurogenic bowel, not elsewhere classified"
,,28175004,Lymphoid hyperplasia of stomach (disorder),J511.00,Abscess of intestine
,,30874006,Chronic hypertrophic pyloric gastropathy (disorder),J511z00,Rupture of rectum
,,35865007,Mesenteroaxial gastric volvulus (disorder),J511y00,Perforation of colon
,,43935004,Vascular ectasia of gastric antrum (disorder),J5X..00,Perforation of intestine
,,47481007,Achlorhydria (disorder),Jyu5700,Enteroenteric fistula
,,50598000,Gastric rupture (disorder),J575.00,Fistula of intestine
,,55961006,Hypochlorhydria (disorder),J574A00,Fistula of intestine NOS
,,56704004,Mixed gastric volvulus (disorder),J57yQ00,Intestinal fistula NOS excluding ano-rectal fistula
,,60871005,Malakoplakia of stomach (disorder),J57yB00,Ileorectal fistula
,,61627001,Hyperchlorhydria (disorder),J57y200,Enterocolic fistula
,,71851009,Gastric volvulus (disorder),J57yL00,Umbilical fistula
,,72519002,Intestinal metaplasia of gastric mucosa (disorder),J57y.11,Enterocutaneous fistula
,,75994008,Nondiabetic gastroparesis (disorder),J57y700,Ileoumbilical fistula
,,85985006,Chronic torsion of stomach (disorder),J57y500,Colonic fistula
,,109558001,Dieulafoy's vascular malformation (disorder),J57y300,Faecal fistula
,,123600006,Gastromalacia (disorder),J57y000,Abdominal wall fistula
,,196753007,Gastric atonia (disorder),J57y100,Ulceration of colon
,,196754001,Gastric spasm (disorder),J57y400,Ulceration of intestine NOS
,,235674005,Perforation of stomach (disorder),J57y600,Haemoperitoneum - nontraumatic
,,235675006,Gastroparesis (disorder),J57yN00,Retroperitoneal haematoma
,,235683000,Gastric necrosis (disorder),J57yO00,Pneumoperitoneum
,,235700007,Hyperplasia of Brunner glands of duodenum (disorder),J57y900,Peritoneal cyst
,,236054008,Rolling hiatus hernia with gastric volvulus (disorder),J57yA00,Peritoneal granuloma
,,253763002,Dysmotility of stomach (disorder),J56y000,Alcoholic fatty liver
,,262837008,Delayed perforation of stomach (disorder),S780500,Acute alcoholic hepatitis
,,262848001,Delayed perforation of duodenum (disorder),8744,Alcoholic hepatitis
