icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term,Decision
,,235910007,Liver transplant disorder (disorder),14SZ.00,H/O:tissue/organ recipient NOS,Include
,,235911006,Liver transplant rejection (disorder),ZV42.00,[V]Transplanted organ or tissue,Include
,,235912004,Liver transplant failure (disorder),ZV42.11,[V]Transplanted organ,Include
,,431222008,Acute rejection of liver transplant (disorder),ZV42.12,[V]Transplanted tissue,Include
,,432772009,Hyperacute rejection of liver transplant (disorder),ZV42z00,[V]Unspecified transplanted organ or tissue,Include
,,432777003,Accelerated rejection of liver transplant (disorder),8HBB.00,Transplant follow-up,Include
,,432908002,Chronic rejection of liver transplant (disorder),SP08A00,Post-transplant lymphoproliferative disorder,Include
,,8729004,Chronic graft rejection (finding),ZVu6c00,[X]Other transplanted organ and tissue status,Include
,,13160009,Complication of transplanted intestines (disorder),ZVu6d00,"[X]Transplanted organ and tissue status, unspecified",Include
,,22391002,Mechanical complication due to skin graft failure AND/OR rejection (disorder),ZV42y00,[V]Other specified transplanted organ or tissue,Include
,,23991000,Chronic active graft rejection (finding),,,
,,24458006,Primary graft failure (finding),,,
,,26522000,Hyperacute graft rejection (finding),,,
,,35006009,Graft failure due to recurrent recipient disease (finding),,,
,,35390002,Chronic inactive graft rejection (finding),,,
,,40442005,Acute cellular graft rejection (finding),,,
,,41267003,Graft failure due to stenosis (finding),,,
,,44165003,Complication of transplanted lung (disorder),,,
,,50662000,Mild cellular graft rejection (finding),,,
,,73863006,Graft failure due to acute tubular necrosis (finding),,,
,,79369007,Complication of transplanted pancreas (disorder),,,
,,85863004,Graft failure due to thrombosis (finding),,,
,,86825002,Chronic arterial allograft rejection (finding),,,
,,95742008,Corneal graft rejection (disorder),,,
,,112140009,Moderate cellular graft rejection (finding),,,
,,213088004,Rejection of bone allograft (disorder),,,
,,213192008,Skin graft failure (disorder),,,
,,213193003,Flap failure (disorder),,,
,,213195005,Bone graft failure (disorder),,,
,,213198007,Disruption of vessel repair (disorder),,,
,,233634002,Post-lung transplantation bronchiectasis (disorder),,,
,,234079009,Rupture of transplanted vein (disorder),,,
,,239182004,Skin graft hematoma (disorder),,,
,,239183009,Skin graft seroma (disorder),,,
,,239185002,Skin graft displaced (disorder),,,
,,239195009,Flap disorder (disorder),,,
,,239196005,Flap loss (disorder),,,
,,239197001,Full thickness flap loss (disorder),,,
,,239198006,Partial thickness flap loss (disorder),,,
,,239199003,Complete flap loss (disorder),,,
,,239208007,Anastomotic failure of flap (disorder),,,
,,246972003,Graft rejection line (finding),,,
,,271990007,Vascular graft avulsion (disorder),,,
,,281434003,Failure of cartilage graft (disorder),,,
,,281435002,Rejection of bone graft (disorder),,,
,,307210003,Nonunion of bone graft (disorder),,,
,,312603000,Lung transplant rejection (disorder),,,
,,314002005,Corneal allograft rejection (disorder),,,
,,403680004,Skin graft necrosis (disorder),,,
,,403681000,Skin graft hypertrophy (disorder),,,
,,420505005,Corneal endothelial allograft rejection (disorder),,,
,,420571002,Corneal subepithelial allograft rejection (disorder),,,
,,421187003,Corneal epithelial allograft rejection (disorder),,,
,,426768001,Engraftment syndrome (disorder),,,
,,431223003,Acute rejection of lung transplant (disorder),,,
,,431505005,Rejection of intestine transplant (disorder),,,
,,431506006,Rejection of pancreas transplant (disorder),,,
,,431507002,Accelerated rejection of lung transplant (disorder),,,
,,432265007,Rejection of corneal graft after penetrating keratoplasty (disorder),,,
,,432774005,Hyperacute rejection of lung transplant (disorder),,,
,,432958009,Chronic rejection of lung transplant (disorder),,,
,,433087001,Primary failure of corneal graft after penetrating keratoplasty (disorder),,,
,,433592008,Acute rejection of pancreas transplant (disorder),,,
,,433600001,Hyperacute rejection of intestine transplant (disorder),,,
,,433804007,Accelerated rejection of intestine transplant (disorder),,,
,,433809002,Accelerated rejection of pancreas transplant (disorder),,,
,,434202008,Hyperacute rejection of pancreas transplant (disorder),,,
,,434238001,Acute rejection of intestine transplant (disorder),,,
,,434270001,Chronic rejection of intestine transplant (disorder),,,
,,434271002,Chronic rejection of pancreas transplant (disorder),,,
,,439915009,Complication of artificial skin graft and decellularized allodermis (disorder),,,
,,440367008,Complication of artificial skin graft (disorder),,,
,,444547006,Graft versus host disease of skin (disorder),,,
,,698085003,Mechanical complication of tissue graft (disorder),,,
,,714176002,Necrosis of flap (disorder),,,
,,1.60587E+16,Transplant rejection of cornea of left eye (disorder),,,
,,1.60587E+16,Transplant failure of cornea of right eye (disorder),,,
,,1.60588E+16,Transplant rejection of cornea of right eye (disorder),,,
,,1.60589E+16,Transplant failure of cornea of left eye (disorder),,,
,,9950006,Graft failure due to prolonged ischemia (finding),,,
,,25317007,Graft failure due to anastomotic leak (finding),,,
,,47650006,Graft versus host reaction (finding),,,
,,72627004,Graft rejection (finding),,,
,,89842009,Sloughed graft (finding),,,
,,197747000,Renal tubulo-interstitial disorders in transplant rejection (disorder),,,
,,213148006,Transplanted organ rejection (disorder),,,
,,269295009,Transplanted organ failure (disorder),,,
,,445964006,Monomorphic posttransplant lymphoproliferative disorder (disorder),,,
,,705154007,Acute vascular graft rejection (finding),,,
,,733208006,Composite graft failure (disorder),,,
,,161665007,History of renal transplant (situation),,,
,,236436003,End stage renal failure with renal transplant (disorder),,,
,,236584009,Perfusion injury of renal transplant (disorder),,,
,,236586006,De novo glomerulonephritis (disorder),,,
,,428575007,Hypertension secondary to kidney transplant (disorder),,,
,,703048006,Vesicoureteric reflux after renal transplant (disorder),,,
,,714153000,Chronic kidney disease stage 5 with transplant (disorder),,,
,,737295003,Transplanted kidney present (finding),,,
,,161666008,History of heart recipient (situation),,,
,,161681002,History of artificial heart (situation),,,
,,233844002,Accelerated coronary artery disease in transplanted heart (disorder),,,
,,444855007,Arteriosclerosis of coronary artery bypass graft of transplanted heart (disorder),,,
,,739024006,Transplanted heart present (finding),,,
,,792842004,Coronary arteriosclerosis in artery of transplanted heart (disorder),,,
,,161672008,History of being lung transplant recipient (situation),,,
,,737296002,Transplanted lung present (finding),,,
,,739025007,Transplanted heart-lung present (finding),,,
,,784266000,History of heart-lung transplant recipient (situation),,,
,,161671001,History of liver recipient (situation),,,
,,737297006,Transplanted liver present (finding),,,
,,161668009,History of skin recipient (situation),,,
,,733207001,Necrosis of myocutaneous flap (disorder),,,
,,739027004,Transplanted skin present (finding),,,
,,161669001,History of bone tissue recipient (situation),,,
,,737298001,Transplanted bone present (finding),,,
,,161670000,History of cornea recipient (situation),,,
,,314556009,Healthy corneal graft (finding),,,
,,424960002,Penetrating keratoplasty graft in place (finding),,,
,,427435004,Punctate keratopathy after penetrating keratoplasty (disorder),,,
,,698427001,History of grafting of corneal patch to eye (situation),,,
,,737299009,Transplanted cornea present (finding),,,
,,8.6011E+13,History of penetrating keratoplasty (situation),,,
,,1.56514E+16,History of Descemet's membrane endothelial keratoplasty (situation),,,
,,161674009,History of artificial organ or tissue (situation),,,
,,236610003,Escape of urine from transplanted ureter (disorder),,,
,,262945004,Transection of transplanted artery (disorder),,,
,,262947007,Aneurysm of transplanted vein (disorder),,,
,,429362002,Short stature associated with bone marrow transplant (disorder),,,
,,698362007,History of transplantation of pancreas (situation),,,
,,698367001,History of transplantation of intestine (situation),,,
,,698426005,History of grafting of amniotic membrane to eye (situation),,,
,,737300001,Bone marrow transplant present (finding),,,
,,2.631E+12,History of bone marrow transplant (situation),,,
,,8.7331E+13,History of hair transplant (situation),,,
,,1.08631E+14,History of autologous bone marrow transplant (situation),,,
,,1.22491E+14,Lymphoproliferative disorder after transplantation of bone marrow (disorder),,,
,,1.37461E+14,History of allotransplantation of meniscus (situation),,,
,,1.52621E+14,History of allotransplantation of bone marrow (situation),,,
,,1.53351E+14,History of peripheral stem cell transplant (situation),,,
,,2.93711E+14,History of islet cell transplant (situation),,,
,,161663000,History of being a tissue or organ recipient (situation),,,
,,183655000,Transplant follow-up (finding),,,
,,254289008,Post-transplant neoplasia (disorder),,,
,,254290004,Lymphoproliferative disorder following transplantation (disorder),,,
,,427889009,Hypertension associated with transplantation (disorder),,,
,,445261005,Posttransplant hyperlipidemia (disorder),,,
,,720587009,Donor derived melanoma (disorder),,,
,,722956007,Early post-transplant lymphoproliferative disorder (disorder),,,
,,722957003,Reactive plasmacytic hyperplasia post-transplant lymphoproliferative disorder (disorder),,,
,,722958008,Infectious mononucleosis-like post-transplant lymphoproliferative disorder (disorder),,,
,,737294004,Transplant present (finding),,,
,,762316003,Polymorphic lymphoproliferative disorder following transplant (disorder),,,
,,213180008,Total failure replanted forearm (disorder),,,
