icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
,,8961006,Mechanical complication due to repair of ureter without resection (disorder),,
,,213065000,Mechanical complication of ureter repair graft (disorder),,
,,236723002,Disorder of urinary sphincter implant (disorder),,
,,236724008,Disorder of urinary stent (disorder),,
,,236725009,Obstruction of urinary stent (disorder),,
,,236726005,Migration of urinary stent (disorder),,
,,262906009,Perforation of urinary conduit (disorder),,
,,309784007,Blocked ureteric stent (disorder),,
,,271975008,Disorder of ureter repair graft (disorder),,
,,79767006,Mechanical complication due to prosthetic reconstruction of vas deferens (disorder),,
,,213064001,Mechanical complication of prosthetic reconstruction of vas deferens (disorder),,
,,236733005,Extrusion of penile prosthesis (disorder),,
,,236761004,Malfunction of penile prosthesis (disorder),,
,,271974007,Disorder of prosthetic reconstruction of vas deferens (disorder),,
,,213137004,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system (disorder)",,
,,213138009,"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract (disorder)",,
,,236729003,Testicular prosthesis infection (disorder),,
,,404192008,Penile prosthesis infection (disorder),,
,,236727001,Disorder of testicular prosthesis (disorder),,
,,236728006,Testicular prosthesis displacement (disorder),,
,,236730008,Testicular prosthesis extrusion (disorder),,
,,236734004,Displacement of penile prosthesis (disorder),,
,,236731007,Disorder of implanted penile prosthesis (disorder),,
,,271987001,Disorders of urogenital prostheses or implants (disorder),,
,,278534004,Disorder of cystostomy catheter (disorder),,
,,NA,NA,,
,,183214006,Ileostomy bag changed (finding),,
,,287285004,Cardiac pacemaker replaced (situation),,
,,302108003,Tracheostomy present (finding),,
,,443737000,Total neck breather following laryngectomy (finding),,
,,443879001,Partial neck breather following laryngectomy (finding),,
,,302109006,Gastrostomy present (finding),,
,,309773000,Complication of gastrostomy (disorder),,
,,426032000,Malfunction of gastrostomy tube (disorder),,
,,432511006,Abscess of gastrostomy button site (disorder),,
,,442858008,Infection of gastrostomy site (disorder),,
,,443181001,Obstruction of percutaneous endoscopic gastrostomy tube (finding),,
,,700078003,Gastrostomy tube in situ (finding),,
,,5.221E+12,Stomach dysfunction following gastrostomy (disorder),,
,,1.47881E+14,Mechanical complication of gastrostomy (disorder),,
,,1.08696E+15,Gastrostomy hemorrhage (disorder),,
,,236050004,Para-ileostomy hernia (disorder),,
,,302111002,Ileostomy present (finding),,
,,402279000,Irritant contact dermatitis due to ileostomy (disorder),,
,,236049004,Paracolostomy hernia (disorder),,
,,302112009,Colostomy present (finding),,
,,307235009,Colostomy necrosis (disorder),,
,,402280002,Irritant contact dermatitis due to colostomy (disorder),,
,,403704000,Dermatosis resulting from colostomy (disorder),,
,,712646007,Gangrene of colostomy (disorder),,
,,763657009,Sigmoid colostomy present (finding),,
,,302110001,Jejunostomy present (finding),,
,,737293005,Bladder stoma present (finding),,
,,298136004,Parastomal urostomy hernia (disorder),,
,,302113004,Urostomy present (finding),,
,,402281003,Irritant contact dermatitis due to urostomy (disorder),,
,,402282005,Chronic papillomatous dermatitis due to urostomy (disorder),,
,,698526007,Appendicovesicostomy present (finding),,
,,407673002,On examination - stoma (finding),,
,,7.9021E+13,Dependence on aspirator (finding),,
,,371820004,Patient ventilated (finding),,
,,429487005,Dependence on continuous positive airway pressure ventilation (finding),,
,,444932008,Dependence on ventilator (finding),,
,,8.771E+12,Uses home continuous positive airway pressure ventilation supply (finding),,
,,6.0631E+13,Dependence on home ventilator (finding),,
,,7.9031E+13,Dependence on respirator (finding),,
,,1.52921E+14,Dependence on respiratory device (finding),,
,,1.64197E+16,Dependence on biphasic positive airway pressure ventilation due to central sleep apnea syndrome (finding),,
,,105502003,Dependence on renal dialysis (finding),,
,,236435004,End stage renal failure on dialysis (disorder),,
,,428937001,Dependence on peritoneal dialysis due to end stage renal disease (finding),,
,,428982002,Dependence on hemodialysis due to end stage renal disease (finding),,
,,429075005,Dependence on dialysis due to end stage renal disease (finding),,
,,439073006,Peritoneal dialysis catheter in situ (finding),,
,,439784005,Surgically constructed arteriovenous fistula (finding),,
,,442566005,Surgically constructed radioulnar arteriovenous fistula (finding),,
,,443143006,Dependence on hemodialysis (finding),,
,,443596009,Dependence on peritoneal dialysis (finding),,
,,704308002,Difficulty managing peritoneal dialysis (finding),,
,,714152005,Chronic kidney disease stage 5 on dialysis (disorder),,
,,9.6701E+13,Hypertensive heart AND chronic kidney disease on dialysis (disorder),,
,,1.53891E+14,End stage renal disease on dialysis due to hypertension (disorder),,
,,2.86371E+14,Malignant hypertensive end stage renal disease on dialysis (disorder),,
,,1.10007E+16,Dependence on continuous ambulatory peritoneal dialysis (finding),,
,,1.10008E+16,Dependence on continuous cycling peritoneal dialysis (finding),,
,,1.62187E+16,Hyperparathyroidism due to end stage renal disease on dialysis (disorder),,
,,1.63206E+16,Dependence on continuous ambulatory peritoneal dialysis due to end stage renal disease (finding),,
,,105503008,Dependence on wheelchair (finding),,
,,788900007,Dependence on artificial heart (finding),,
,,105501005,Dependence on enabling machine or device (finding),,
,,371818002,Patient on intra-aortic balloon pump assist (finding),,
,,371819005,Patient on circulatory assist (finding),,
,,429091008,Dependence on biphasic positive airway pressure ventilation (finding),,
,,713655003,Dependence on non-invasive ventilation (finding),,
,,716366009,Requires continuous home oxygen supply (finding),,
,,3.41E+11,Peritoneal dialysis finding (finding),,
,,9.31E+11,Dependence on supplemental oxygen (finding),,
,,6.0651E+13,Dependence on continuous supplemental oxygen (finding),,
,,8.9201E+13,Dependence on supplemental oxygen when ambulating (finding),,
,,8.9241E+13,Dependence on nocturnal oxygen therapy (finding),,
,,449886004,Hydrocephalic shunt catheter in situ (finding),,
,,699006006,Ventricular shunt in situ (finding),,
,,700132008,Ventriculoperitoneal shunt in situ (finding),,
,,737289004,Cerebrospinal fluid drainage device in situ (finding),,
,,1.37471E+14,Programmable ventricular shunt valve in situ (finding),,
