icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
M051,Seropositive rheumatoid arthritis: Rheumatoid lung disease,238678009,Chronic skin sarcoidosis (disorder),M154100,Discoid lupus erythematosus
M052,Rheumatoid vasculitis,238680003,Papular sarcoidosis (disorder),M154200,Lupus erythematosus migrans
M053,Rheumatoid arthritis with involvement of other organs and systems,238681004,Lichenoid sarcoidosis (disorder),M154300,Lupus erythematosus nodularis
M058,Other seropositive rheumatoid arthritis,400127001,Sarcoidal granuloma of skin (disorder),M154600,Lupus erythematosus unguium mutilans
M059,"Seropositive rheumatoid arthritis, unspecified",402368008,Ichthyosiform sarcoidosis (disorder),M154700,Subacute cutaneous lupus erythematosus
M06,Other rheumatoid arthritis,402370004,Ulcerative sarcoidosis (disorder),Myu7800,[X]Other local lupus erythematosus
M060,Seronegative rheumatoid arthritis,402371000,Verrucous sarcoidosis (disorder),M154400,Lupus erythematosus profundus
M061,Adult-onset Still disease,402372007,Subcutaneous nodular sarcoidosis (disorder),N000500,Neonatal lupus erythematosus
M062,Rheumatoid bursitis,870334009,Palmoplantar sarcoidosis (disorder),M154000,Lupus erythematosus chronicus
M063,Rheumatoid nodule,4416007,Heerfordt's syndrome (disorder),M154500,Lupus erythematosus tumidus
M064,Inflammatory polyarthropathy,17363001,Splenic sarcoidosis (disorder),M2y0211,Atrophie blanche
M068,Other specified rheumatoid arthritis,37061001,Granulomatous sarcoid nephropathy (disorder),M2y0200,Livedoid vasculitis
M069,"Rheumatoid arthritis, unspecified",39041004,Restrictive cardiomyopathy secondary to sarcoidosis (disorder),M2y0300,Erythema elevatum diutinum
M07,Psoriatic and enteropathic arthropathies,58870009,"Sarcoidosis, anular type (disorder)",M152.11,Nodular vasculitis
M070,Distal interphalangeal psoriatic arthropathy,111936002,Cerebral sarcoidosis (disorder),Myu7G00,"[X]Vasculitis limited to skin, unspecified"
M071,Arthritis mutilans,111937006,"Sarcoidosis, nodular type (disorder)",M2y0X00,"Vasculitis limited to skin, unspecified"
M072,Psoriatic spondylitis,193101001,Multiple cranial nerve palsies in sarcoidosis (disorder),M2y8.00,Mucinosis of skin
M073,Other psoriatic arthropathies,193195000,Sarcoid neuropathy (disorder),M2y9.00,Amyloidosis of skin
M074,Arthropathy in Crohn disease [regional enteritis],193251003,Sarcoid myopathy (disorder),M2y9100,Cutaneous amyloidosis
M075,Arthropathy in ulcerative colitis,195033009,Sarcoid heart muscle disease (disorder),N061600,Traumatic arthropathy of the lower leg
M076,Other enteropathic arthropathies,197368002,Hepatic granulomas in sarcoidosis (disorder),Nyu3.00,[X]Other joint disorders
M08,Juvenile arthritis,203042003,Myositis in sarcoidosis (disorder),N0...00,Arthropathies and related disorders
M080,Juvenile rheumatoid arthritis,230193008,Neurosarcoidosis (disorder),N0z..00,Arthropathies NOS
M081,Juvenile ankylosing spondylitis,232368009,Nasal sarcoidosis (disorder),N22yz00,"Other synovial, tendon or bursa disorder NOS"
M082,Juvenile arthritis with systemic onset,232458003,Laryngeal sarcoidosis (disorder),Nyu2.00,[X]Arthrosis
M083,Juvenile polyarthritis (seronegative),234524009,Sarcoid dactylitis (disorder),Nyu2100,[X]Other primary coxarthrosis
M084,Pauciarticular juvenile arthritis,234526006,Ocular sarcoidosis (disorder),Nyu2200,[X]Other dysplastic coxarthrosis
M088,Other juvenile arthritis,234527002,Lacrimal and parotid gland sarcoidosis (disorder),Nyu2300,[X]Other post-traumatic coxarthrosis
M089,"Juvenile arthritis, unspecified",234530009,Chronic sarcoid myopathy (disorder),Nyu2400,"[X]Other secondary coxarthrosis, bilateral"
M09,Juvenile arthritis in diseases classified elsewhere,310607007,Sarcoidosis of inferior turbinates (disorder),Nyu2600,[X]Other post-traumatic gonarthrosis
M090,Juvenile arthritis in psoriasis,312930008,Sarcoid chorioretinitis (disorder),Nyu2700,"[X]Other secondary gonarthrosis, bilateral"
M091,Juvenile arthritis in Crohn disease [regional enteritis],361197009,Sarcoid arthropathy (disorder),Nyu2800,[X]Other secondary gonarthrosis
M092,Juvenile arthritis in ulcerative colitis,361198004,Sarcoid arthritis (disorder),Nyu2811,[X] Unilateral secondary gonarthrosis
M098,Juvenile arthritis in other diseases classified elsewhere,402369000,Atrophic sarcoidosis (disorder),Nyu2900,[X]Other primary arthrosis of first carpometacarpal joint
M10,Gout,402373002,Hypomelanotic sarcoidosis (disorder),Nyu2A00,[X]Other post-traumatic arthrosis of first carpometacarpal joint
M100,Idiopathic gout,415359008,Sarcoid uveitis (disorder),Nyu2B00,"[X]Other secondary arthrosis of first carpometacarpal joints, bilateral"
M101,Lead-induced gout,707238003,Sarcoidosis of oral cavity (disorder),Nyu2C00,[X]Other secondary arthrosis of first carpometacarpal joint
M103,Gout due to impairment of renal function,724780002,Demyelination of central nervous system co-occurrent and due to neurosarcoidosis (disorder),Nyu2E00,[X]Other secondary coxarthrosis
M104,Other secondary gout,726078000,Sporadic Blau syndrome (disorder),Nyu2E11,[X] Unilateral secondary coxarthrosis
M109,"Gout, unspecified",735433009,Sarcoidosis of digestive system (disorder),Nyu2F00,[X]Post-traumatic arthrosis of other joints
M11,Other crystal arthropathies,3.52941E+14,Sarcoid iridocyclitis (disorder),Nyu4B00,[X]Arthropathy in hypersensitivity reactions classified elsewhere
M110,Hydroxyapatite deposition disease,6022005,Dilated cardiomyopathy secondary to sarcoidosis (disorder),Nyu4A00,[X]Arthropathy in other blood disorders classified elsewhere
M111,Familial chondrocalcinosis,7085002,Hypercalcemia due to sarcoidosis (disorder),N06..00,Other and unspecified arthropathies
M112,Other chondrocalcinosis,21787007,"Sarcoidosis, Darier-Roussy type (disorder)",N065100,Unspecified polyarthropathy of the shoulder region
M118,Other specified crystal arthropathies,31541009,Sarcoidosis (disorder),N065200,Unspecified polyarthropathy of the upper arm
M119,"Crystal arthropathy, unspecified",75403004,Cardiac sarcoidosis (disorder),N065300,Unspecified polyarthropathy of the forearm
M12,Other specific arthropathies,78574007,Hypothyroidism due to sarcoidosis (disorder),N065400,Unspecified polyarthropathy of the hand
M120,Chronic postrheumatic arthropathy [Jaccoud],91259005,"Sarcoidosis, angiolupoid type (disorder)",N065500,Unspecified polyarthropathy of the pelvic region and thigh
M121,Kaschin-Beck disease,238675007,Sarcoidosis-induced erythema nodosum (disorder),N065600,Unspecified polyarthropathy of the lower leg
M122,Villonodular synovitis (pigmented),238676008,Lofgrens syndrome (disorder),N065700,Unspecified polyarthropathy of the ankle and foot
M123,Palindromic rheumatism,238679001,Sarcoidosis in scar (disorder),N065800,Unspecified polyarthropathy of other specified site
M124,Intermittent hydrarthrosis,402374008,Nail dystrophy due to sarcoidosis (disorder),N06y.00,Other specified arthropathy
M125,Traumatic arthropathy,425384007,Sarcoidosis with glomerulonephritis (disorder),N06y000,Other specified arthropathy of unspecified site
M128,"Other specific arthropathies, not elsewhere classified",11352009,Primary cryoglobulinemia (disorder),N06y200,Other specified arthropathy of the upper arm
M13,Other arthritis,28807005,Secondary cryoglobulinemia (disorder),N06y300,Other specified arthropathy of the forearm
M131,"Monoarthritis, not elsewhere classified",30911005,Cryoglobulinemia (disorder),N06y400,Other specified arthropathy of the hand
M138,Other specified arthritis,38675009,Monoclonal cryoimmunoglobulinemia (disorder),N06y500,Other specified arthropathy of the pelvic region and thigh
M139,"Arthritis, unspecified",44371002,Mixed polyclonal cryoimmunoglobulinemia (disorder),N06y600,Other specified arthropathy of the lower leg
M14,Arthropathies in other diseases classified elsewhere,57390009,Mixed cryoimmunoglobulinemia with monoclonal component (disorder),N06y700,Other specified arthropathy of the ankle and foot
M140,Gouty arthropathy due to enzyme defects and other inherited disorders,80988005,Mixed cryofibrinogenemia (disorder),N06y800,Other specified arthropathy of other specified site
M141,Crystal arthropathy in other metabolic disorders,190814002,Cryoglobulinemic purpura (disorder),N06y900,Other specified arthropathy of multiple sites
M142,Diabetic arthropathy,190815001,Cryoglobulinemic vasculitis (disorder),N06yz00,Other specified arthropathy NOS
M143,Lipoid dermatoarthritis,230589005,Neuropathy in cryoglobulinemia (disorder),N06z.00,Arthropathy NOS
M144,Arthropathy in amyloidosis,236505008,Cryoglobulinemic glomerulonephritis (disorder),N06z000,"Arthropathy NOS, of unspecified site"
M145,"Arthropathies in other endocrine, nutritional and metabolic disorders",239947001,Essential mixed cryoglobulinemia (disorder),N06z200,"Arthropathy NOS, of the upper arm"
M146,Neuropathic arthropathy,402662002,Necrotizing vasculitis due to mixed cryoglobulinemia (disorder),N06z300,"Arthropathy NOS, of the forearm"
M148,Arthropathies in other specified diseases classified elsewhere,723674005,Simple cryoglobulinemia (disorder),N06z500,"Arthropathy NOS, of the pelvic region and thigh"
M30,Polyarteritis nodosa and related conditions,1.28971E+14,Cryoglobulinemia due to chronic hepatitis C (disorder),N06z600,"Arthropathy NOS, of the lower leg"
M300,Polyarteritis nodosa,200936003,Lupus erythematosus (disorder),N06z800,"Arthropathy NOS, of other specified site"
M301,Polyarteritis with lung involvement [Churg-Strauss],200938002,Discoid lupus erythematosus (disorder),N06zz00,Arthropathy NOS
M302,Juvenile polyarteritis,200939005,Lupus erythematosus migrans (disorder),N09y.00,Other specified joint disorders
M308,Other conditions related to polyarteritis nodosa,200940007,Lupus erythematosus nodularis (disorder),N09y000,Other specified joint disorders of unspecified site
M31,Other necrotizing vasculopathies,200942004,Lupus erythematosus unguium mutilans (disorder),N09y100,Other specified joint disorders of the shoulder region
M310,Hypersensitivity angiitis,238927000,Chronic discoid lupus erythematosus (disorder),N09y200,Other specified joint disorders of the upper arm
M311,Thrombotic microangiopathy,402711009,Lupus erythematosus overlap syndrome (disorder),N09y300,Other specified joint disorders of the forearm
M312,Lethal midline granuloma,403492006,Hypertrophic type discoid lupus erythematosus (disorder),N09y400,Other specified joint disorders of the hand
M313,Wegener granulomatosis,403495008,Discoid lupus erythematosus of oral mucosa (disorder),N09y500,Other specified joint disorders of the pelvic region and thigh
M314,Aortic arch syndrome [Takayasu],403496009,Discoid lupus erythematosus of genital mucous membranes (disorder),N09y600,Other specified joint disorders of the lower leg
M315,Giant cell arteritis with polymyalgia rheumatica,403497000,Discoid lupus erythematosus of scalp (disorder),N09y700,Other specified joint disorders of the ankle and foot
M316,Other giant cell arteritis,403499002,Discoid lupus erythematosus of lip (disorder),N09y800,Other specified joint disorders of other specified site
M317,Microscopic polyangiitis,403500006,Discoid lupus erythematosus of hands (disorder),N09y900,Other specified joint disorders of multiple sites
M318,Other specified necrotizing vasculopathies,403501005,Discoid lupus erythematosus of foot (disorder),N09yz00,Other specified joint disorders NOS
M319,"Necrotizing vasculopathy, unspecified",403506000,Lupus erythematosus-associated papulonodular mucinosis (disorder),N0y..00,Other specified arthropathies
M32,Systemic lupus erythematosus,403507009,Lupus erythematosus-associated hypermelanosis (disorder),N22y.00,"Other synovial, tendon and bursa disorders"
M321,Systemic lupus erythematosus with organ or system involvement,403512005,Lupus erythematosus-associated poikiloderma (disorder),N22z.00,"Synovial, tendon or bursa disorder NOS"
M328,Other forms of systemic lupus erythematosus,403513000,Lupus erythematosus-associated nail dystrophy (disorder),Nyu2D00,[X]Other specified arthrosis
M329,"Systemic lupus erythematosus, unspecified",239891002,Subacute cutaneous lupus erythematosus (disorder),N09..00,Other and unspecified joint disorders
M33,Dermatopolymyositis,403489007,"Subacute cutaneous lupus erythematosus, annular/polycyclic type (disorder)",N09z.00,Joint disorders NOS
M330,Juvenile dermatomyositis,403490003,"Subacute cutaneous lupus erythematosus, papulosquamous type (disorder)",N09zz00,Joint disorders NOS
M331,Other dermatomyositis,7119001,Cutaneous lupus erythematosus (disorder),Nyu3D00,[X]Other specified joint disorders
M332,Polymyositis,15084002,Lupus erythematosus profundus (disorder),N030011,Diabetic cheiropathy
M339,"Dermatopolymyositis, unspecified",95609003,Neonatal lupus erythematosus (disorder),N030000,Diabetic cheiroarthropathy
M34,Systemic sclerosis,200937007,Lupus erythematosus chronicus (disorder),C10EH11,Type I diabetes mellitus with arthropathy
M340,Progressive systemic sclerosis,200941006,Lupus erythematosus tumidus (disorder),C10EH00,Type 1 diabetes mellitus with arthropathy
M341,CR(E)ST syndrome,238926009,Lupus erythematosus and erythema multiforme-like syndrome (disorder),C108H12,Type 1 diabetes mellitus with arthropathy
M342,Systemic sclerosis induced by drugs and chemicals,238928005,Chilblain lupus erythematosus (disorder),C108H11,Type I diabetes mellitus with arthropathy
M348,Other forms of systemic sclerosis,239888002,Lupus panniculitis (disorder),C109G11,Type II diabetes mellitus with arthropathy
M349,"Systemic sclerosis, unspecified",403491004,Erythema multiforme-like lupus erythematosus (disorder),C10FG00,Type 2 diabetes mellitus with arthropathy
M35,Other systemic involvement of connective tissue,403493001,Rosaceous type discoid lupus erythematosus (disorder),C10FG11,Type II diabetes mellitus with arthropathy
M350,Sicca syndrome [Sjögren],403494007,Discoid lupus erythematosus of mucous membranes (disorder),C109G00,Non-insulin dependent diabetes mellitus with arthropathy
M351,Other overlap syndromes,403498005,Discoid lupus erythematosus of face (disorder),C109G12,Type 2 diabetes mellitus with arthropathy
M352,Behçet disease,403503008,Lupus erythematosus-associated anetoderma (disorder),C32y200,Lipoid dermatoarthritis
M353,Polymyalgia rheumatica,707301001,Lupus erythematosus of oral mucous membrane (disorder),N039.00,Beta-2 microglobulin arthropathy
M354,Diffuse (eosinophilic) fasciitis,838359008,Acute cutaneous lupus erythematosus (disorder),N030200,Arthropathy in amyloidosis
M355,Multifocal fibrosclerosis,238762002,Livedoid vasculitis (disorder),N030211,Articular amyloid
M356,Relapsing panniculitis [Weber-Christian],762537007,Livedoid vasculitis of lower limb due to varicose veins of lower limb (disorder),N030212,Amyloid arthropathy
M357,Hypermobility syndrome,58872001,Erythema elevatum diutinum (disorder),N030.00,Arthropathy associated with endocrine and metabolic disorder
M358,Other specified systemic involvement of connective tissue,9177003,Histiocytic vasculitis of skin (disorder),C108H00,Insulin dependent diabetes mellitus with arthropathy
M359,"Systemic involvement of connective tissue, unspecified",46286007,Lymphocytic vasculitis of skin (disorder),C10EH12,Insulin dependent diabetes mellitus with arthropathy
M36,Systemic disorders of connective tissue in diseases classified elsewhere,55275006,Nodular vasculitis (disorder),N067.00,Ochronotic arthropathy
M360,Dermato(poly)myositis in neoplastic disease,56780006,Segmental hyalinizing vasculitis (disorder),N035.00,Neuropathic arthropathy
M361,Arthropathy in neoplastic disease,64832003,Neutrophilic vasculitis of skin (disorder),N035.12,Neuropathic arthritis
M362,Haemophilic arthropathy,238785001,Primary cutaneous vasculitis (disorder),N030100,Diabetic Charcot arthropathy
M363,Arthropathy in other blood disorders,238786000,Gougerot-Ruiter purpura (disorder),C108J00,Insulin dependent diabetes mellitus with neuropathic arthropathy
M364,Arthropathy in hypersensitivity reactions classified elsewhere,254757003,Extracellular cholesterosis (disorder),C10EJ12,Insulin dependent diabetes mellitus with neuropathic arthropathy
M401,Other secondary kyphosis,402664001,Localized cutaneous vasculitis (disorder),N035.11,Charcot's arthropathy
M402,Other and unspecified kyphosis,403189002,Erythrocyanosis with nodules (disorder),C10EJ00,Type 1 diabetes mellitus with neuropathic arthropathy
M403,Flatback syndrome,427356003,Eosinophilic vasculitis of skin (disorder),C10EJ11,Type I diabetes mellitus with neuropathic arthropathy
M404,Other lordosis,722020006,Juvenile temporal arteritis (disorder),C108J11,Type I diabetes mellitus with neuropathic arthropathy
M405,"Lordosis, unspecified",769036006,Acroangiodermatitis of skin (disorder),C108J12,Type 1 diabetes mellitus with neuropathic arthropathy
M41,Scoliosis,840455002,Cutaneous vasculitis due to childhood type dermatomyositis (disorder),N03y.00,Arthropathy associated with other conditions EC
M410,Infantile idiopathic scoliosis,870336006,Necrotizing cutaneous vasculitis due to childhood type dermatomyositis (disorder),N03..00,Arthropathy associated with disorders EC
M411,Juvenile idiopathic scoliosis,53312001,Vasculitis of the skin (disorder),N014x00,"Arthropathy associated with other bacterial disease, of multiple sites"
M412,Other idiopathic scoliosis,238787009,Secondary cutaneous vasculitis (disorder),N014y00,"Arthropathy associated with other bacterial disease, of other specified site"
M413,Thoracogenic scoliosis,110981005,Cutaneous focal mucinosis (disorder),N03z.00,Arthropathy associated with disorders EC NOS
M414,Neuromuscular scoliosis,111197009,Lichen myxedematosus (disorder),N011.11,Arthropathy in nonspecific urethritis
M415,Other secondary scoliosis,238945000,Diffuse cutaneous mucinosis (disorder),AA26.13,Hydrarthroses of yaws
M418,Other forms of scoliosis,238946004,Reticular erythematous mucinosis (disorder),N014800,Arthropathy in Whipple's disease
M419,"Scoliosis, unspecified",238947008,Self-healing juvenile cutaneous mucinosis (disorder),N031200,Arthropathy in Whipple's disease
M42,Spinal osteochondrosis,238948003,Idiopathic benign cutaneous mucinosis (disorder),N031.00,Arthropathy associated with non-infective gastrointestinal disorders
M420,Juvenile osteochondrosis of spine,238949006,Acral persistent papular mucinosis (disorder),N033.00,Arthropathy associated with dermatological disorders
M421,Adult osteochondrosis of spine,402468007,Scleromyxedema (disorder),N034.00,Arthropathy associated with respiratory disorders
M429,"Spinal osteochondrosis, unspecified",402721001,Mucinosis affecting skin (disorder),G750.00,Polyarteritis nodosa
M430,Spondylolysis,402722008,Focal primary mucinosis of skin (disorder),Nyu4000,[X]Other conditions related to polyarteritis nodosa
M431,Spondylolisthesis,402723003,Secondary catabolic mucinosis of skin (disorder),G75..00,Polyarteritis nodosa and allied conditions
M432,Other fusion of spine,717257000,Nodular lichen myxedematosus (disorder),G75z.00,Polyarteritis nodosa and allied conditions NOS
M433,Recurrent atlantoaxial subluxation with myelopathy,717258005,Discrete papular lichen myxedematosus (disorder),F371100,Polyneuropathy in polyarteritis nodosa
M434,Other recurrent atlantoaxial subluxation,717259002,Papular mucinosis of infancy (disorder),F396300,Myopathy due to polyarteritis nodosa
M435,Other recurrent vertebral subluxation,725148000,Atypical lichen myxedematosus (disorder),K01x300,Nephrotic syndrome in polyarteritis nodosa
M438,Other specified deforming dorsopathies,111032003,Macular cutaneous amyloidosis (disorder),G758.00,Churg-Strauss vasculitis
M439,"Deforming dorsopathy, unspecified",111390002,Dominant primary localized cutaneous amyloidosis (disorder),G759.00,Juvenile polyarteritis
M45,Ankylosing spondylitis,201337008,Amyloidosis of skin (disorder),G752000,Goodpasture's syndrome
M46,Other inflammatory spondylopathies,237870002,Familial lichen amyloidosis (disorder),G752z00,Hypersensitivity angiitis NOS
M460,Spinal enthesopathy,237872005,Poikilodermal cutaneous amyloid (disorder),G752.00,Hypersensitivity angiitis
M461,"Sacroiliitis, not elsewhere classified",402456003,Pseudoscleroderma due to amyloid light-chain amyloidosis (disorder),G752.11,Hypersensitivity arteritis
M468,Other specified inflammatory spondylopathies,402459005,Heredofamilial systemic amyloidosis affecting skin (disorder),G752100,Goodpasture's disease
M469,"Inflammatory spondylopathy, unspecified",402464009,Secondary localized cutaneous amyloidosis (disorder),G752111,Antiglomerular basement membrane disease
M47,Spondylosis,402719006,Systemic amyloidosis affecting skin (disorder),G752112,Anti GBM disease - Antiglomerular basement membrane disease
M470,Anterior spinal and vertebral artery compression syndromes,402720000,Amyloidosis limited to skin (disorder),G756000,Moschcowitz syndrome
M471,Other spondylosis with myelopathy,716704007,Primary localized cutaneous nodular amyloidosis (disorder),G756100,Thrombotic thrombocytopenic purpura
M472,Other spondylosis with radiculopathy,718105008,Lichen amyloidosis (disorder),G756z00,Thrombotic microangiopathy NOS
M478,Other spondylosis,733729003,Primary localized cutaneous amyloidosis (disorder),G756.00,Thrombotic microangiopathy
M479,"Spondylosis, unspecified",764849002,Amyloidosis cutis dyschromia (disorder),G753.00,Lethal midline granuloma
M48,Other spondylopathies,49807009,Tuberculous dactylitis (disorder),G754.11,Granulomatosis with polyangiitis
M480,Spinal stenosis,239813000,Psoriatic dactylitis (disorder),G754.00,Wegener's granulomatosis
M481,Ankylosing hyperostosis [Forestier],373574007,Traumatic arthropathy of upper extremity (disorder),G757.00,Takayasu's disease
M482,Kissing spine,373575008,Traumatic arthropathy of lower extremity (disorder),G757.11,Aortic arch arteritis
M483,Traumatic spondylopathy,128268005,Arthropathy of pelvis (disorder),G757.12,Pulseless disease
M484,Fatigue fracture of vertebra,250131003,Lower limb joint arthritis (disorder),N200.00,Giant cell arteritis with polymyalgia rheumatica
M485,"Collapsed vertebra, not elsewhere classified",399269003,Arthropathy (disorder),G755200,Horton's disease
M488,Other specified spondylopathies,429554009,Arthropathy of elbow (disorder),G755000,Cranial arteritis
M489,"Spondylopathy, unspecified",201723002,Cheiroarthropathy due to diabetes mellitus (disorder),G755100,Temporal arteritis
M490,Tuberculosis of spine,314893005,Arthropathy due to type 1 diabetes mellitus (disorder),N000100,Libman-Sacks disease
M495,Collapsed vertebra in diseases classified elsewhere,314903002,Arthropathy due to type 2 diabetes mellitus (disorder),K01x400,Nephrotic syndrome in systemic lupus erythematosus
M50,Cervical disc disorders,3.68591E+14,Cheiropathy due to type 2 diabetes mellitus (disorder),K01x411,Lupus nephritis
M500,Cervical disc disorder with myelopathy,84241008,Lipoid dermatoarthritis (disorder),N000600,Cerebral lupus
M501,Cervical disc disorder with radiculopathy,236543006,Beta-2 microglobulin arthropathy (disorder),N000611,Systemic lupus erythematosus encephalitis
M502,Other cervical disc displacement,237876008,Arthritis secondary to amyloidosis (disorder),F371000,Polyneuropathy in disseminated lupus erythematosus
M503,Other cervical disc degeneration,707090004,Spondyloarthropathy due to hemodialysis-associated amyloidosis (disorder),F396100,Myopathy due to disseminated lupus erythematosus
M508,Other cervical disc disorders,27713005,Arthropathy associated with acromegaly (disorder),H57y400,Lung disease with systemic lupus erythematosus
M509,"Cervical disc disorder, unspecified",39710007,Arthropathy associated with an endocrine AND/OR metabolic disorder (disorder),K0B4000,Renal tubulo-interstitial disorder in systemic lupus erythematosus
M51,Other intervertebral disc disorders,39838007,Ochronotic arthritis (disorder),N000400,Systemic lupus erythematosus with pericarditis
M510,Lumbar and other intervertebral disc disorders with myelopathy,698940002,Arthropathy associated with cystic fibrosis (disorder),N000z00,Systemic lupus erythematosus NOS
M511,Lumbar and other intervertebral disc disorders with radiculopathy,838361004,Arthropathy due to hemochromatosis (disorder),N000000,Disseminated lupus erythematosus
M512,Other specified intervertebral disc displacement,3.24301E+14,Arthropathy due to metabolic disorder (disorder),N000.00,Systemic lupus erythematosus
M513,Other specified intervertebral disc degeneration,3.24311E+14,Arthropathy due to endocrine disorder (disorder),Nyu4300,[X]Other forms of systemic lupus erythematosus
M514,Schmorl nodes,39510005,Neurogenic ossifying arthropathy (disorder),N003000,Juvenile dermatomyositis
M518,Other specified intervertebral disc disorders,67536000,Arthropathy associated with a neurological disorder (disorder),N003.00,Dermatomyositis
M519,"Intervertebral disc disorder, unspecified",201724008,Neuropathic arthropathy due to diabetes mellitus (disorder),N003.11,Poikilodermatomyositis
M53,"Other dorsopathies, not elsewhere classified",309255002,Charcot's joint of foot (disorder),N003X00,"Dermatopolymyositis, unspecified"
M530,Cervicocranial syndrome,359554008,Charcot's arthropathy (disorder),Nyu4E00,"[X]Dermatopolymyositis, unspecified"
M531,Cervicobrachial syndrome,427925000,Arthropathy of the wrist associated with a neurological disorder (disorder),Nyu4400,[X]Other dermatomyositis
M532,Spinal instabilities,428106000,Arthropathy of multiple joints associated with a neurological disorder (disorder),N004.00,Polymyositis
M538,Other specified dorsopathies,428779003,Arthropathy of the knee associated with a neurological disorder (disorder),H57y100,Lung disease with polymyositis
M539,"Dorsopathy, unspecified",429643006,Arthropathy of the elbow associated with a neurological disorder (disorder),N001000,Progressive systemic sclerosis
M54,Dorsalgia,430428000,Arthropathy of the ankle AND/OR foot associated with a neurological disorder (disorder),N001100,CREST syndrome
M540,Panniculitis affecting regions of neck and back,700077008,Charcot arthropathy of joint of ankle (disorder),F396600,Myopathy due to scleroderma
M541,Radiculopathy,700437007,Charcot arthropathy of midfoot (disorder),H572.00,Lung disease with systemic sclerosis
M542,Cervicalgia,700438002,Charcot arthropathy of hindfoot (disorder),K0H..00,Acute scleroderma renal crisis
M543,Sciatica,705058008,Charcot arthropathy of forefoot (disorder),N001.12,Systemic sclerosis
M544,Lumbago with sciatica,7.81E+11,Neuropathic arthropathy due to type 2 diabetes mellitus (disorder),N001.00,Scleroderma
M545,Low back pain,8.191E+12,Arthropathy of wrist due to neurological disorder (disorder),Nyu4500,[X]Other forms of systemic sclerosis
M60,Myositis,7.1771E+13,Neuropathic arthropathy due to type 1 diabetes mellitus (disorder),K0J0.00,Renal involvement in scleroderma
M601,Interstitial myositis,9.8071E+13,Arthropathy of shoulder due to neurological disorder (disorder),N001.11,Acrosclerosis
M608,Other myositis,1.04471E+14,Charcot arthropathy due to syphilis (disorder),N002.00,Sicca (Sjogren's) syndrome
M609,"Myositis, unspecified",1.87331E+14,Arthropathy of pelvis due to neurological disorder (disorder),F396700,Myopathy due to Sjogren's disease
