icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term,Decision
,,1.03761E+14,Paralytic syndrome of all four limbs as sequela of stroke (disorder),,,
,,6481005,Diplegia (disorder),,,
,,54099005,Diplegia of upper limbs (disorder),,,
,,281411007,Spastic diplegia (disorder),,,
,,723156000,Flaccid diplegia of upper limbs (disorder),,,
,,723157009,Spastic diplegia of upper limbs (disorder),,,
,,54314008,Putti-Chavany syndrome (disorder),,,
,,80420005,Monoplegia of lower limb (disorder),,,
,,249945007,Monoparesis - leg (disorder),,,
,,425642008,Monoplegia of dominant lower limb as a late effect of cerebrovascular accident (disorder),,,
,,426167003,Monoplegia of lower limb affecting dominant side (disorder),,,
,,426934001,Monoplegia of lower limb affecting non-dominant side (disorder),,,
,,441887006,Monoplegia of lower limb as late effect of cerebrovascular disease (disorder),,,
,,441894009,Monoplegia of nondominant lower limb as a late effect of cerebrovascular accident (disorder),,,
,,723161003,Flaccid monoplegia of lower limb (disorder),,,
,,723162005,Spastic monoplegia of lower limb (disorder),,,
,,1.8751E+13,Monoplegia of leg dominant side as sequela of cerebrovascular disease (disorder),,,
,,2.90311E+14,Monoplegia of left dominant lower limb (disorder),,,
,,2.90321E+14,Monoplegia of left nondominant lower limb (disorder),,,
,,2.90331E+14,Monoplegia of right dominant lower limb (disorder),,,
,,2.90341E+14,Monoplegia of right nondominant lower limb (disorder),,,
,,2.90931E+14,Monoplegia of lower limb due to and following cerebrovascular accident (disorder),,,
,,41764006,Monoplegia of upper limb (disorder),,,
,,249944006,Monoparesis - arm (disorder),,,
,,426536006,Monoplegia of upper limb affecting non-dominant side (disorder),,,
,,427065003,Monoplegia of dominant upper limb as a late effect of cerebrovascular accident (disorder),,,
,,441951003,Monoplegia of upper limb of dominant side (disorder),,,
,,442097001,Monoplegia of upper limb as late effect of cerebrovascular disease (disorder),,,
,,442181008,Monoplegia of nondominant upper limb as a late effect of cerebrovascular accident (disorder),,,
,,723159007,Flaccid monoplegia of upper limb (disorder),,,
,,723160002,Spastic monoplegia of upper limb (disorder),,,
,,1.8761E+13,Monoplegia of arm dominant side as sequela of cerebrovascular disease (disorder),,,
,,2.91091E+14,Monoplegia of left nondominant upper limb due to and following cerebrovascular accident (disorder),,,
,,2.91111E+14,Monoplegia of right nondominant upper limb due to and following cerebrovascular accident (disorder),,,
,,2.91121E+14,Monoplegia of upper limb due to and following cerebrovascular accident (disorder),,,
,,3.30311E+14,Monoplegia of right upper limb (disorder),,,
,,3.30321E+14,Monoplegia of left upper limb (disorder),,,
,,6.74161E+14,Monoplegia of upper limb due to and following ischemic cerebrovascular accident (disorder),,,
,,79520009,Monoparesis (disorder),,,
,,86022000,Monoplegia (disorder),,,
,,609609004,Paralytic syndrome of one limb (disorder),,,
,,4523006,Babinski-Nageotte syndrome (disorder),,,
,,9753004,Triplegia (disorder),,,
,,27982003,Brown-Séquard syndrome (disorder),,,
,,48163001,Triparesis (disorder),,,
,,432991000,Organophosphate induced paralysis Type II (disorder),,,
,,698754002,Chronic paralysis due to lesion of spinal cord (disorder),,,
,,702463005,Paralytic syndrome of two limbs (disorder),,,
,,702464004,Paralytic syndrome of three limbs (disorder),,,
,,702465003,Paralytic syndrome on both sides of the body (disorder),,,
,,721398001,Brown-Sequard syndrome of cervical spinal cord (disorder),,,
,,721399009,Brown-Sequard syndrome at first cervical level (disorder),,,
,,721400002,Brown-Sequard syndrome at second cervical level (disorder),,,
,,721401003,Brown-Sequard syndrome at third cervical level (disorder),,,
,,721402005,Brown-Sequard syndrome at fourth cervical level (disorder),,,
,,721403000,Brown-Sequard syndrome at fifth cervical level (disorder),,,
,,721404006,Brown-Sequard syndrome at sixth cervical level (disorder),,,
,,721405007,Brown-Sequard syndrome at seventh cervical level (disorder),,,
,,721406008,Brown-Sequard syndrome at eighth cervical level (disorder),,,
,,721481000,Brown-Séquard syndrome of thoracic spinal cord (disorder),,,
,,721482007,Brown-Séquard syndrome at first thoracic level (disorder),,,
,,721483002,Brown-Séquard syndrome at second thoracic level (disorder),,,
,,721484008,Brown-Séquard syndrome at third thoracic level (disorder),,,
,,721485009,Brown-Séquard syndrome at fourth thoracic level (disorder),,,
,,721486005,Brown-Séquard syndrome at fifth thoracic level (disorder),,,
,,721487001,Brown-Séquard syndrome at sixth thoracic level (disorder),,,
,,721488006,Brown-Séquard syndrome at seventh thoracic level (disorder),,,
,,721489003,Brown-Séquard syndrome at eighth thoracic level (disorder),,,
,,721490007,Brown-Séquard syndrome at ninth thoracic level (disorder),,,
,,721491006,Brown-Séquard syndrome at tenth thoracic level (disorder),,,
,,721492004,Brown-Séquard syndrome at eleventh thoracic level (disorder),,,
,,721493009,Brown-Séquard syndrome at twelfth thoracic level (disorder),,,
,,721523001,Brown-Séquard syndrome of lumbar spinal cord (disorder),,,
,,721524007,Brown-Séquard syndrome at first lumbar level (disorder),,,
,,721525008,Brown-Séquard syndrome at second lumbar level (disorder),,,
,,721526009,Brown-Séquard syndrome at third lumbar level (disorder),,,
,,721527000,Brown-Séquard syndrome at fourth lumbar level (disorder),,,
,,721528005,Brown-Séquard syndrome at fifth lumbar level (disorder),,,
,,23728006,Partial bilateral paralysis (disorder),,,
,,29188005,Complete bilateral paralysis (disorder),,,
,,29426003,Paralytic syndrome (disorder),,,
,,59103002,Cerebral paralysis with homolateral ataxia (disorder),,,
,,372310001,Paralysis due to lesion of spinal cord (disorder),,,
,,425491009,Contracture of gastrocnemius muscle due to paralysis (disorder),,,
,,425882004,Paralytic syndrome as late effect of stroke (disorder),,,
,,427432001,Paralytic syndrome as late effect of thalamic stroke (disorder),,,
,,698755001,Acute paralysis due to lesion of spinal cord (disorder),,,
