icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term,Decision
D641,Secondary sideroblastic anaemia due to disease,234388009,Delta-beta-Lepore thalassemia (disorder),Dyu1200,[X]Other sickle-cell disorders,Include
D642,Secondary sideroblastic anaemia due to drugs and toxins,788944005,Gamma delta beta thalassemia (disorder),D106400,Sickle-cell anaemia with haemoglobin D disease,Include
D643,Other sideroblastic anaemias,5967006,A gamma beta^+^ hereditary persistence of fetal hemoglobin AND beta^0^ thalassemia in cis (disorder),D106300,Sickle-cell anaemia with haemoglobin C disease,Include
D644,Congenital dyserythropoietic anaemia,16964007,Hereditary persistence of fetal hemoglobin thalassemia (disorder),D106500,Sickle-cell anaemia with haemoglobin E disease,Include
D648,Other specified anaemias,39586009,Hereditary persistence of fetal hemoglobin A gamma beta^+^ thalassemia (disorder),D104211,Sickle-cell thalassaemia,Include
D66,Hereditary factor VIII deficiency,61395005,Hereditary persistence of fetal hemoglobin G gamma beta plus thalassemia (disorder),D104200,Thalassaemia with haemoglobin S disease,Include
D67,Hereditary factor IX deficiency,89459006,Hereditary persistence of fetal hemoglobin linked to beta-globulin gene cluster (disorder),D100.11,Acholuric familial jaundice,Include
D680,Von Willebrand disease,783254003,Hereditary persistence of fetal hemoglobin with sickle cell disease syndrome (disorder),D100.00,Hereditary spherocytosis,Include
D681,Hereditary factor XI deficiency,16427007,Delta thalassemia (disorder),D100.12,Minkowski - Chauffard syndrome,Include
D682,Hereditary deficiency of other clotting factors,62074008,Delta zero thalassemia (disorder),D107000,Congenital Heinz-body anaemia,Include
D684,Acquired coagulation factor deficiency,69216008,Hb Lepore thalassemia (disorder),D107.00,Other haemoglobinopathies,Include
D685,Primary Thrombophilia,234389001,Alpha-beta thalassemia (disorder),D107y00,Other specified other haemoglobinopathy,Include
D686,Other Thrombophilia,234390005,Gamma thalassemia (disorder),D107z00,Other haemoglobinopathy NOS,Include
D688,Other specified coagulation defects,40108008,Thalassemia (disorder),Dyu1300,[X]Other haemoglobinopathies,Include
D689,"Coagulation defect, unspecified",47047009,Thalassemia with other hemoglobinopathy (disorder),D107600,Haemoglobin Zurich disease,Include
D690,Allergic purpura,61777009,Thalassemia-hemoglobin C disease (disorder),N334C00,Osteonecrosis due to haemoglobinopathy,Include
D691,Qualitative platelet defects,84188003,Thalassemia syndrome (disorder),NyuCB00,[X]Osteonecrosis due to haemoglobinopathy classified elsewhere,Include
D692,Other nonthrombocytopenic purpura,7.2331E+13,Thalassemia in mother complicating pregnancy (disorder),D10y000,Stomatocytosis,Include
D693,Idiopathic thrombocytopenic purpura,1.08062E+16,Thalassemia in mother complicating childbirth (disorder),D103.00,Other enzyme deficiency haemolytic anaemia,Include
D694,Other primary thrombocytopenia,371104006,Hand-foot syndrome in sickle cell anemia (disorder),D10yz00,Other specified hereditary haemolytic anaemia NOS,Include
D695,Secondary thrombocytopenia,372146004,Acute chest syndrome (disorder),D10y.00,Other specified hereditary haemolytic anaemias,Include
D696,"Thrombocytopenia, unspecified",416484003,Sickle cell-hemoglobin E disease with crisis (disorder),D103z00,Enzyme deficiency haemolytic anaemia NOS,Include
D698,Other specified haemorrhagic conditions,417279003,Hemoglobin S sickling disorder with crisis (disorder),D10z.00,Hereditary haemolytic anaemia NOS,Include
D699,"Haemorrhagic condition, unspecified",417425009,Hemoglobin SS disease with crisis (disorder),D10..00,Hereditary haemolytic anaemias,Include
D70,Agranulocytosis,417748003,Sickle cell-hemoglobin D disease with crisis (disorder),Dyu1400,[X]Other specified hereditary haemolytic anaemias,Include
D71,Functional disorders of polymorphonuclear neutrophils,440206000,Hemoglobin SS disease with vasoocclusive crisis (disorder),D1...00,Haemolytic anaemias,Include
D720,Genetic anomalies of leukocytes,444108000,Acute sickle cell splenic sequestration crisis (disorder),Dyu1.00,[X]Haemolytic anaemias,Include
D721,Eosinophilia,769167005,Vaso-occlusive pain co-occurrent and due to sickle cell disease (disorder),D1z..00,Haemolytic anaemias NOS,Include
D728,Other specified disorders of white blood cells,11603001,Sickle cell retinopathy (disorder),D1y..00,Other specified haemolytic anaemias,Include
D729,"Disorder of white blood cells, unspecified",13886001,Sickle cell nephropathy (disorder),D200011,Constitutional aplastic anaemia without mention of malformation,Include
D730,Hyposplenism,127040003,Sickle cell-hemoglobin SS disease (disorder),D200.00,Constitutional aplastic anaemia,Include
D731,Hypersplenism,193370005,Proliferative retinopathy due to sickle cell disease (disorder),D200.15,Hypoplastic anaemia - familial,Include
D732,Chronic congestive splenomegaly,416180004,Hemoglobin SS disease without crisis (disorder),D200000,Congenital hypoplastic anaemia,Include
D734,Cyst of spleen,416290001,Hemoglobin S sickling disorder without crisis (disorder),D200111,Fanconi's hypoplastic anaemia,Include
D735,Infarction of spleen,417357006,Sickling disorder due to hemoglobin S (disorder),D200100,Fanconi's familial refractory anaemia,Include
D738,Other diseases of spleen,471863000,Disorder of myocardium due to sickle cell hemoglobinopathy (disorder),D200312,Congenital pure red cell aplasia,Include
D739,"Disease of spleen, unspecified",709142003,Arthropathy due to sickle cell disease (disorder),D200314,Congenital red cell hypoplasia,Include
D740,Congenital methaemoglobinaemia,722085003,Renal papillary necrosis due to sickle cell disease (disorder),D200400,Erythrogenesis imperfecta,Include
D748,Other methaemoglobinaemias,722147003,Focal segmental glomerulosclerosis due to sickle cell disease (disorder),PJ53500,Shwachman-Diamond syndrome,Include
D749,"Methaemoglobinaemia, unspecified",763096004,Disorder of liver due to sickle cell disease (disorder),D200313,Constitutional red cell hypoplasia,Include
D750,Familial erythrocytosis,3.67061E+14,Priapism due to sickle cell disease (disorder),D200200,Constitutional aplastic anaemia with malformation,Include
D751,Secondary polycythaemia,1.07594E+16,Sickle cell anemia in mother complicating childbirth (disorder),D200.12,Pancytopenia with malformations,Include
D758,Other specified diseases of blood and blood-forming organs,23269001,Double heterozygous sickling disorder (disorder),D200z00,Constitutional aplastic anaemia NOS,Include
D759,"Disease of blood and blood-forming organs, unspecified",25472008,Sickle cell-hemoglobin D disease (disorder),D200y00,Other specified constitutional aplastic anaemia,Include
D761,Haemophagocytic lymphohistiocytosis,35434009,Sickle cell-hemoglobin C disease (disorder),D200300,Constitutional red cell aplasia and hypoplasia,Include
D762,"Haemophagocytic syndrome, infection-associated",36472007,Sickle cell-thalassemia disease (disorder),D200211,Pancytopenia-dysmelia,Include
D763,Other histiocytosis syndromes,47024008,Sickle cell-hemoglobin E disease (disorder),D21y200,Leukoerythroblastic anaemia,Include
,,127041004,Sickle cell-beta-thalassemia (disorder),D201500,Pancytopenia - acquired,Include
,,127042006,Sickle cell beta plus thalassemia (disorder),D201600,Pancytopenia NOS,Include
,,127043001,Sickle cell-beta^0^-thalassemia (disorder),D201611,Pancytopenia with malformation,Include
,,127044007,Sickle cell-delta beta^0^-thalassemia (disorder),D201612,Pancytopenia with pancreatitis,Include
,,127045008,Sickle cell anemia with coexistent alpha-thalassemia (disorder),D20z.00,Aplastic anaemia NOS,Include
,,234391009,Sickle cell anemia with high hemoglobin F (disorder),D20..00,Aplastic anaemia,Include
,,416214006,Sickle cell-hemoglobin D disease without crisis (disorder),Dyu2100,[X]Other specified aplastic anaemias,Include
,,416826005,Sickle cell-thalassemia disease with crisis (disorder),D212.00,Anaemia in neoplastic disease,Include
,,417048006,Sickle cell-thalassemia disease without crisis (disorder),D212000,Anaemia in ovarian carcinoma,Include
,,417517009,Sickle cell-hemoglobin C disease with crisis (disorder),D215000,Anaemia secondary to chronic renal failure,Include
,,417683006,Sickle cell-hemoglobin C disease without crisis (disorder),Dyu2200,[X]Anaemia in other chronic diseases classified elsewhere,Include
,,127047000,Sickle cell-hemoglobin Lepore disease (disorder),D210000,Congenital sideroblastic anaemia,Include
,,127048005,Sickle cell-Hemoglobin O Arab disease (disorder),D210300,Secondary sideroblastic anaemia due to disease,Include
,,232033003,Sickle cell-hemoglobin C retinopathy (disorder),D210.00,Sideroblastic anaemia,Include
,,416638004,Sickle cell-hemoglobin E disease without crisis (disorder),D210z00,Sideroblastic anaemia NOS,Include
,,10564005,Severe hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin (disorder),Dyu2300,[X]Other sideroblastic anaemias,Include
,,24975009,Mild hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin (disorder),D210100,Acquired sideroblastic anaemia,Include
,,25266006,Hereditary spherocytosis due to spectrin deficiency (disorder),D210200,Pyridoxine-responsive sideroblastic anaemia,Include
,,32648007,Mild hereditary spherocytosis due to spectrin deficiency (disorder),D21y000,Congenital dyshaematopoietic anaemia,Include
,,33905008,Hereditary spherocytosis due to deficiency of protein 4.2 (disorder),D21y012,Congenital dyserythropoiesis NEC,Include
,,47516005,Hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin (disorder),D21y011,Congenital dyserythropoietic anaemia,Include
,,55995005,Hereditary spherocytosis (disorder),D21y300,Hereditary erythroblast multinuclearity with positive acid serum test,Include
,,69981004,Hereditary spherocytosis due to beta spectrin defect (disorder),D21y.11,Von Jaksch's anaemia,Include
,,77413008,Severe hereditary spherocytosis due to spectrin deficiency (disorder),D300.11,Antihaemophilic globulin deficiency,Include
,,5994005,Hereditary elliptocytosis due to deficiency of protein 4.1 (disorder),D300.00,Haemophilia-A (factor VIII deficiency),Include
,,8857001,Hereditary elliptocytosis due to alpha spectrin defect (disorder),D300.12,Haemophilia A,Include
,,15121005,Hereditary elliptocytosis due to glycophorin C deficiency (disorder),N032000,Arthropathy due to haemophilia,Include
,,66262001,Hereditary elliptocytosis due to beta spectrin-ankyrin interaction (disorder),N068.00,Haemophilic arthropathy,Include
,,73073009,Hereditary elliptocytosis due to beta spectrin defect in self-association (disorder),D301.12,Haemophilia B,Include
,,75443009,Hereditary elliptocytosis due to abnormal protein 4.1 (disorder),D301.00,Haemophilia-B (factor IX deficiency),Include
,,18273004,Unstable hemoglobin disease (disorder),D301.11,Christmas disease,Include
,,18662002,Acquired Heinz body anemia (disorder),D304.00,Von Willebrand's disease,Include
,,38589006,Mixed hemoglobin disorder (disorder),D302.12,Rosenthal's disease,Include
,,46248003,Hemoglobin E trait (disorder),D302.00,Haemophilia-C (factor XI deficiency),Include
,,76050008,Hemoglobin C trait (disorder),D302.11,Haemophilia C,Include
,,80141007,Hemoglobinopathy (disorder),D303200,Deficiency of factor V or labile factor,Include
,,84260001,Hemoglobinopathy with cyanosis (disorder),D303600,Deficiency of factor XIII or fibrin stabilizing factor,Include
,,111575000,Anemia due to membrane defect (disorder),D303611,Fibrin stabilising factor deficiency,Include
,,123772008,Homozygous hemoglobinopathy (disorder),D303000,Congenital afibrinogenaemia,Include
,,123773003,Heterozygous hemoglobinopathy (disorder),D303300,Deficiency of factor VII or stable factor,Include
,,127038008,Hereditary hemoglobinopathy due to globin chain mutation (disorder),D303500,Deficiency of factor XII or Hageman factor,Include
,,127039000,Acquired hemoglobinopathy (disorder),D303111,Hypoprothrombinaemia,Include
,,191202009,Hemoglobin Zurich disease (disorder),D303100,Deficiency of factor II or prothrombin,Include
,,203486002,Osteonecrosis due to hemoglobinopathy (disorder),D303400,Deficiency of factor X or Stuart-Prower factor,Include
,,234392002,Hemoglobin E/beta thalassemia disease (disorder),D30C.00,Hypofibrinogenaemia,Include
,,234393007,Low affinity hemoglobin (disorder),D303700,Factor V Leiden mutation,Include
,,234394001,High affinity hemoglobin (disorder),D303800,Homozygous factor V Leiden mutation,Include
,,275325009,Arthropathy secondary to hemoglobinopathy (disorder),D303900,Heterozygous factor V Leiden mutation,Include
,,427306008,Hereditary hemoglobinopathy (disorder),D307.00,Acquired coagulation factor deficiency,Include
,,445542007,Hemoglobin O-Arab trait (disorder),D307y00,Other specified acquired coagulation factor deficiency,Include
,,782880001,Hemoglobinopathy Toms River (disorder),D307000,Deficiency of coagulation factor due to liver disease,Include
,,3272007,Stomatocytosis (disorder),D307100,Deficiency of coagulation factor due to vitamin K deficiency,Include
,,9434008,Hereditary pyropoikilocytosis (disorder),D307211,Acquired prothrombin deficiency,Include
,,14087004,Hereditary stomatocytosis (disorder),D307212,Acquired hypoprothrombinaemia,Include
,,37272000,Rh deficiency syndrome (disorder),D307200,Acquired factor II deficiency,Include
,,74789008,Coombs positive hemolytic anemia (disorder),D309.00,Protein S deficiency,Include
,,111576004,Acquired stomatocytosis (disorder),D30B.00,Protein C deficiency,Include
,,322699009,Intracorpuscular hemolytic anemia (disorder),D30A000,Primary thrombophilia,Include
,,715526002,Dehydrated hereditary stomatocytosis (disorder),N006.00,Antiphospholipid syndrome,Include
,,717254007,Familial pseudohyperkalemia (disorder),D30A.00,Thrombophilia,Include
,,719402008,Lethal hemolytic anemia and genital anomaly syndrome (disorder),D3...00,Clotting and bleeding disorders,Include
,,722125003,Overhydrated hereditary stomatocytosis (disorder),D31yz00,Other specified haemorrhagic condition NOS,Include
,,773489008,Hereditary cryohydrocytosis with normal stomatin (disorder),D303.00,Congenital deficiency of other clotting factors,Include
,,782911008,Hereditary cryohydrocytosis with reduced stomatin (disorder),D3z..00,Clotting or bleeding disorder NOS,Include
,,38911009,Hereditary hemolytic anemia (disorder),D30z.00,Coagulation defect NOS,Include
,,42601008,Congenital hemolytic anemia (disorder),D31y.00,Other specified haemorrhagic conditions,Include
,,47844003,Megaloblastic anemia due to chronic hemolytic anemia (disorder),D3y..00,Other specified disorders of clotting or bleeding,Include
,,60805002,Hemolytic anemia with emphysema AND cutis laxa (disorder),D31z.00,Haemorrhagic condition NOS,Include
,,61261009,Hemolytic anemia (disorder),D303z00,Congenital deficiency of other clotting factor NOS,Include
,,697908003,Pulmonary arterial hypertension associated with chronic hemolytic anemia (disorder),D303y00,Other specified congenital deficiency of other clotting factor,Include
,,707480001,Chronic hemolytic anemia (disorder),D30..11,Bleeding disorders,Include
,,28975000,Constitutional aplastic anemia (disorder),D30..00,Coagulation defects,Include
,,30575002,Fanconi's anemia (disorder),Dyu3000,[X]Other specified coagulation defects,Include
,,46760003,Estren-Dameshek anemia (disorder),D307z00,Acquired coagulation factor deficiency NOS,Include
,,71988008,Aase syndrome (disorder),Dyu3.00,"[X]Coagulation defects, purpura and other haemorrhagic conditions",Include
,,88854002,Congenital hypoplastic anemia (disorder),D310100,Henoch-Schonlein nephritis,Include
,,89454001,Shwachman syndrome (disorder),D311000,Hereditary haemorrhagic thrombasthenia,Include
,,234373004,Constitutional red cell hypoplasia (disorder),D311011,Glanzmann's syndrome,Include
,,267524009,Constitutional aplastic anemia with malformation (disorder),D311.11,Bernard - Soulier thrombopathy,Include
,,267525005,Constitutional red cell aplasia and hypoplasia (disorder),D311z00,Qualitative platelet deficiency NOS,Include
,,275523003,Pancytopenia-dysmelia (disorder),D311.00,Qualitative platelet defects,Include
,,716336002,Congenital amegakaryocytic thrombocytopenia (disorder),Q416500,Perinatal purpura,Include
,,719019000,WT limb blood syndrome (disorder),D312.12,Gardner-Diamond syndrome,Include
,,768556005,Ataxia pancytopenia syndrome (disorder),D313000,Idiopathic thrombocytopenic purpura,Include
,,774071007,Pancytopenia with developmental delay syndrome (disorder),D313.12,Idiopathic thrombocytopenic purpura,Include
,,778006008,Autosomal dominant aplasia and myelodysplasia (disorder),D313012,ITP - idiopathic thrombocytopenic purpura,Include
,,783255002,Hereditary isolated aplastic anemia (disorder),D313.14,Megakaryocytic hypoplasia,Include
,,2694001,Myelophthisic anemia (disorder),D313y00,Other specified primary thrombocytopenia,Include
,,5876000,Acquired pancytopenia (disorder),D313.15,Thrombocytopenic purpura,Include
,,41614006,Hypoplastic anemia (disorder),D313.11,Evan's syndrome,Include
,,43858000,Secondary aplastic anemia (disorder),D313z11,Essential thrombocytopenia NOS,Include
,,59106005,Anemia due to decreased red cell production (disorder),D313.00,Primary thrombocytopenia,Include
,,127034005,Pancytopenia (disorder),D313z00,Primary thrombocytopenia NOS,Include
,,234367000,Pancytopenia with pancreatitis (disorder),Dyu3200,[X]Other primary thrombocytopenia,Include
,,303266002,Aplastic bone marrow (disorder),D313100,Congenital thrombocytopenic purpura,Include
,,304132006,Hematopoietic aplasia (disorder),D313111,Hereditary thrombocytopenia NEC,Include
,,306058006,Aplastic anemia (disorder),D314y00,Other specified secondary thrombocytopenia,Include
,,413566007,Aplastic anemia associated with pancreatitis (disorder),D314z00,Secondary thrombocytopenia NOS,Include
,,413567003,Aplastic anemia associated with pregnancy (disorder),D314.00,Secondary thrombocytopenia,Include
,,421102007,Aplastic anemia associated with acquired immunodeficiency syndrome (disorder),42P2.11,Auto-immune thrombocytopenia,Include
,,713508003,Aplastic anemia co-occurrent with human immunodeficiency virus infection (disorder),42P2.00,Thrombocytopenia,Include
,,721840000,"Hyperuricemia, anemia, renal failure syndrome (disorder)",D315.00,Thrombocytopenia NOS,Include
,,723512008,Revesz syndrome (disorder),D313300,[X]Essential thrombocytopenia NOS,Include
,,723829000,"Pulmonary fibrosis, hepatic hyperplasia, bone marrow hypoplasia syndrome (disorder)",D31y000,Hereditary vascular fragility,Include
,,191265009,Anemia in neoplastic disease (disorder),D31y011,Capillary fragility - hereditary,Include
,,307726001,Anemia in ovarian carcinoma (disorder),D400511,Congenital agranulocytosis NEC,Include
,,703135009,Anemia in malignant neoplastic disease (disorder),D400.11,Kostmann's syndrome,Include
,,49708008,Anemia of chronic renal failure (disorder),D400500,Congenital neutropenia,Include
,,234347009,Anemia of chronic disorder (disorder),D400100,Primary splenic neutropenia,Include
,,444271000,Erythropoietin resistance in anemia of chronic kidney disease (disorder),D400900,Cyclical neutropenia,Include
,,707323002,Anemia co-occurrent and due to chronic kidney disease (disorder),D400011,Idiopathic neutropenia,Include
,,707324008,Anemia co-occurrent and due to end stage renal disease (disorder),D400000,Idiopathic agranulocytosis,Include
,,788865000,Anemia due to chronic infectious disease (disorder),D400300,Agranulocytosis due to irradiation,Include
,,1.801E+12,"Anemia, pre-end stage renal disease on erythropoietin protocol (disorder)",D400312,Neutropenia due to irradiation,Include
,,6.91401E+14,Anemia co-occurrent and due to chronic kidney disease stage 4 (disorder),D400311,Radiation agranulocytosis,Include
,,6.91411E+14,Anemia co-occurrent and due to chronic kidney disease stage 5 (disorder),D400800,Acquired neutropenia NEC,Include
,,6.91421E+14,Anemia co-occurrent and due to chronic kidney disease stage 3 (disorder),D400y00,Other specified agranulocytosis,Include
,,14126008,Autosomal-linked pyridoxine refractory sideroblastic anemia (disorder),D400z00,Agranulocytosis NOS,Include
,,21412009,X chromosome-linked pyridoxine refractory sideroblastic anemia (disorder),D401.00,Functional disorders of polymorphonuclear neutrophils,Include
,,25443007,X chromosome-linked pyridoxine responsive sideroblastic anemia (disorder),D401200,Chronic granulomatous disease,Include
,,48983004,X chromosome-linked sideroblastic anemia (disorder),D401000,Congenital dysphagocytosis,Include
,,237985009,Pearson's syndrome (disorder),D402.00,Genetic leukocyte anomalies,Include
,,717050005,Autosomal recessive sideroblastic anemia (disorder),D402.13,Genetic leucocyte anomalies,Include
,,719816006,X-linked sideroblastic anemia with spinocerebellar ataxia (disorder),D403000,Hereditary eosinophilia,Include
,,720465002,Adult-onset autosomal recessive sideroblastic anemia (disorder),D40y200,Plasmacytosis,Include
,,724138007,Mitochondrial myopathy with sideroblastic anemia syndrome (disorder),D415A00,Hyposplenism,Include
,,725463007,Severe congenital hypochromic anemia with ringed sideroblasts (disorder),D415400,Splenic atrophy,Include
,,765327005,"Congenital sideroblastic anemia, B-cell immunodeficiency, periodic fever, developmental delay syndrome (disorder)",D414.00,Hypersplenism,Include
,,191261000,Secondary sideroblastic anemia due to disease (disorder),D415100,Chronic congestive splenamegaly,Include
,,234366009,Alcohol-related sideroblastic anemia (disorder),D415700,Splenic infarction,Include
,,41841004,Sideroblastic anemia (disorder),D415800,Non-traumatic rupture of spleen,Include
,,90175006,Secondary acquired sideroblastic anemia (disorder),D415600,Splenic fibrosis,Include
,,191260004,Pyridoxine-responsive sideroblastic anemia (disorder),D415900,Wandering spleen,Include
,,276448005,Idiopathic sideroblastic anemia (disorder),D415000,Disease of spleen unspecified,Include
,,26409005,"Congenital dyserythropoietic anemia, type III (disorder)",D415z00,Disease of spleen NOS,Include
,,52951008,Congenital dyserythropoietic anemia (disorder),D415.00,Other diseases of spleen,Include
,,59548005,"Congenital dyserythropoietic anemia, type I (disorder)",Dyu4100,[X]Other diseases of spleen,Include
,,68870007,"Congenital dyserythropoietic anemia, type II (disorder)",D417012,Congenital methaemoglobinaema with defective methaemoglobin-reducing system,Include
,,703540008,"Chronic recurrent multifocal osteomyelitis, congenital dyserythropoietic anemia and neutrophilic dermatosis (disorder)",D417011,Congenital methaemoglobinaemia with abnormal methaemoglobins,Include
,,719453009,Congenital dyserythropoietic anemia type IV (disorder),D417000,Congenital methaemoglobinaemia,Include
,,722207000,"Pancreatic insufficiency, dyserythropoietic anemia, calvarial hyperostosis syndrome (disorder)",D417.11,Stokvis' disease,Include
,,782759001,X-linked dyserythropoietic anemia with abnormal platelets and neutropenia (disorder),D417100,Familial methaemoglobinaemia,Include
,,9764001,Anemia caused by radiation (disorder),D417200,Idiopathic methaemoglobinaemia,Include
,,14514008,Anemia due to disturbance of hemoglobin synthesis (disorder),D417500,Acquired methaemoglobinaemia,Include
,,16645003,Anemia caused by insect venom (disorder),NA,NA,Include
,,21914002,Anemia of thyroid dysfunction (disorder),D417.00,Methaemoglobinaemia,Include
,,22347002,Anemia of gonadal dysfunction (disorder),D417z00,Methaemoglobinaemia NOS,Include
,,29551000,Anemia caused by oxygen (disorder),Dyu4200,[X]Other methaemoglobinaemias,Include
,,30418008,Anemia of adrenal dysfunction (disorder),D416.00,Familial polycythaemia,Include
,,31820007,Anemia of endocrine disorder (disorder),D410200,Polycythaemia due to cyanotic heart disease,Include
,,43707008,Anemia caused by heat (disorder),D410300,Polycythaemia due to cyanotic respiratory disease,Include
,,60138009,Anemia of pituitary deficiency (disorder),D410400,Renal polycythaemia,Include
,,69574002,Anemia of parathyroid dysfunction (disorder),D41z.00,Blood dyscrasia NOS,Include
,,86325007,Non megaloblastic anemia due to alcoholism (disorder),D41y.00,Other specified diseases of blood and blood forming organs,Include
,,87994004,Xerocytosis (disorder),Dy...00,Other specified disorders of blood or blood forming organ,Include
,,89112009,Aregenerative anemia (disorder),D41..00,Other diseases of blood or blood forming organs,Include
,,105599000,Anemia related to disturbed deoxyribonucleic acid synthesis (disorder),D41yz00,Other specified disease of blood or blood forming organ NOS,Include
,,115963009,Regenerative anemia (disorder),Dyu4.00,[X]Other diseases of blood and blood-forming organs,Include
,,234345001,von Jaksch's anemia (disorder),Dyu4300,[X]Other specified diseases of blood and blood-forming organs,Include
,,323666000,Anemia due to intrinsic red cell abnormality (disorder),Dyu4500,[X]Other disorders of the blood and blood-forming organs in diseases classified elsewhere,Include
,,422167001,Mycoplasmal anemia (disorder),D41yy00,Other specified other disease of blood or blood forming organ,Include
,,16872008,Severe hereditary factor VIII deficiency disease (disorder),D....00,Diseases of blood and blood-forming organs,Include
,,26029002,Mild hereditary factor VIII deficiency disease (disorder),Dz...00,Blood/blood forming organ NOS,Include
,,28293008,Hereditary factor VIII deficiency disease (disorder),C37y800,Haemophagocytic lymphohistiocytosis,Include
,,33344008,Moderate hereditary factor VIII deficiency disease (disorder),D401100,Familial erythrophagocytic lymph histiocytosis,Include
,,47307007,Factor VIII inhibitor disorder (disorder),D401111,FEL-Familial erythrophagocytic lymph histiocytosis,Include
,,80813006,Hemophilic arthropathy (disorder),C37y900,"Haemophagocytic syndrome, infection-associated",Include
,,90935002,Hemophilia (disorder),Dyu4400,[X]Other histiocytosis syndromes,Include
,,234440005,Factor VIII deficiency (disorder),D401.12,Lipochrome histiocytosis - familial,Include
,,234442002,Hereditary factor VIII deficiency disease with inhibitor (disorder),C37yE00,Macrophage activation syndrome,Include
,,307514008,Idiopathic factor VIII deficiency (disorder),D400811,Acquired agranulocytosis NEC,Include
,,307515009,Autoimmune factor VIII deficiency (disorder),F100100,Schulz's disease,Include
,,425949001,Mild hereditary factor VIII deficiency disease with inhibitor (disorder),D40yy00,Other specified other white blood cell disease,Include
,,438360006,Hereditary factor VIII deficiency disease without inhibitor (disorder),D40y.00,Other white blood cell disease,Include
,,438373005,Severe hereditary factor VIII deficiency disease with inhibitor (disorder),D40z.00,White blood cell disease NOS,Include
,,438599002,Moderate hereditary factor VIII deficiency disease with inhibitor (disorder),D40yz00,Other white blood cell disease NOS,Include
,,440820004,Mild hereditary factor VIII deficiency disease without inhibitor (disorder),D40..00,Diseases of white blood cells,Include
,,440993008,Severe hereditary factor VIII deficiency disease without inhibitor (disorder),Dyu4000,[X]Other specified disorders of white blood cells,Include
,,441006000,Moderate hereditary factor VIII deficiency disease without inhibitor (disorder),D4...00,White blood cell and other blood disorders,Include
,,733028000,"Multiple sclerosis, ichthyosis, factor VIII deficiency syndrome (disorder)",D4y..00,Other specified white blood cell or other blood diseases,Include
,,41788008,Hereditary factor IX deficiency disease (disorder),D4z..00,White blood cell or other blood diseases NOS,Include
,,234444001,Congenital factor IX deficiency variant (disorder),,,
,,234445000,Congenital factor IX deficiency with inhibitor (disorder),,,
,,234605000,Factor B deficiency (disorder),,,
,,426199009,Congenital factor IX deficiency without inhibitor (disorder),,,
,,438372000,Hereditary factor IX deficiency disease with inhibitor (disorder),,,
