"conceptId","term","read2_code","read2_term","read2_chapter"
"164718005","Neurological diagnostic procedure - abnormal (finding)","3114.00","Neurol.diag.proced.- abnormal","3 - Diagnostic procedures"
"164719002","Sensory mapping carried out (situation)","3115.00","Sensory mapping carried out","3 - Diagnostic procedures"
"164720008","Tendon reflex time recording (procedure)","3116.00","Tendon reflex time recording","3 - Diagnostic procedures"
"164722000","Electromyogram normal (finding)","3117000","EMG - Electromyography normal","3 - Diagnostic procedures"
"164725003","Visual testing not done (situation)","3121.00","Visual testing not done","3 - Diagnostic procedures"
"164726002","Visual testing done (situation)","3122.00","Visual testing done","3 - Diagnostic procedures"
"164727006","Visual testing normal (finding)","3123.00","Visual testing normal","3 - Diagnostic procedures"
"164728001","Visual testing abnormal (finding)","3124.00","Visual testing abnormal","3 - Diagnostic procedures"
"164729009","Tonometry (procedure)","3126Z00","Tonometry NOS","3 - Diagnostic procedures"
"164729009","Tonometry (procedure)","3126.00","Tonometry","3 - Diagnostic procedures"
"164730004","Tonometry normal (finding)","3126000","Tonometry normal","3 - Diagnostic procedures"
"164731000","Tonometry abnormal (finding)","3126100","Tonometry abnormal","3 - Diagnostic procedures"
"164734008","Fundoscopy normal (finding)","3128000","Fundoscopy normal","3 - Diagnostic procedures"
"164735009","Fundoscopy abnormal (finding)","3128100","Fundoscopy abnormal","3 - Diagnostic procedures"
"164740001","Ocular muscle balance testing (procedure)","312B.00","Ocular muscle balance testing","3 - Diagnostic procedures"
"164741002","Eye curvature measurement (procedure)","312C.00","Eye curvature measurement","3 - Diagnostic procedures"
"164742009","Schirmer's test (procedure)","312D.11","Tear secretion test - Schirmer","3 - Diagnostic procedures"
"164742009","Schirmer's test (procedure)","312D.00","Schirmer's test","3 - Diagnostic procedures"
"164746007","Auditory/vestibular test not done (situation)","3131.00","Auditory/vestib. test not done","3 - Diagnostic procedures"
"164747003","Auditory/vestibular test done (situation)","3132.00","Auditory/vestib. test done","3 - Diagnostic procedures"
"164750000","Audiogram bilateral abnormality (finding)","3134000","Audiogram bilateral abnormality","3 - Diagnostic procedures"
"164751001","Audiogram left abnormality (finding)","3134100","Audiogram left abnormality","3 - Diagnostic procedures"
"164752008","Audiogram right abnormality (finding)","3134200","Audiogram right abnormality","3 - Diagnostic procedures"
"164756006","Thermal vestibular function (procedure)","3137.00","Thermal vestibular function","3 - Diagnostic procedures"
"164757002","Rotational test (procedure)","3138.00","Rotator testing","3 - Diagnostic procedures"
"164758007","Tympanogram normal (finding)","3139.00","Tympanogram normal","3 - Diagnostic procedures"
"164759004","Tympanogram abnormal (finding)","313A.00","Tympanogram abnormal","3 - Diagnostic procedures"
"164766003","Special ear, nose and throat procedure not done (situation)","3141.00","Special ENT procedure not done","3 - Diagnostic procedures"
"164767007","Special ear, nose and throat procedure done (situation)","3142.00","Special ENT procedure done","3 - Diagnostic procedures"
"164768002","Special ear, nose and throat procedure normal (finding)","3143.00","Special ENT procedure normal","3 - Diagnostic procedures"
"164769005","Special ear, nose and throat procedure abnormal (finding)","3144.00","Special ENT procedure abnormal","3 - Diagnostic procedures"
"164770006","Magnifying otoscopy (procedure)","3145.00","Magnifying otoscopy","3 - Diagnostic procedures"
"164771005","Examination of pharynx (procedure)","3146.00","Clinical examination pharynx","3 - Diagnostic procedures"
"164772003","Examination of larynx (procedure)","3147.00","Clinical examination larynx","3 - Diagnostic procedures"
"164773008","Sleep studies (procedure)","3148.00","Sleep studies","3 - Diagnostic procedures"
"164776000","Special cardiovascular system test not done (situation)","3151.00","Special CVS test not done","3 - Diagnostic procedures"
"164777009","Special cardiovascular system test done (situation)","3152.00","Special CVS test done","3 - Diagnostic procedures"
"164778004","Special cardiovascular system test normal (finding)","3153.00","Special CVS test normal","3 - Diagnostic procedures"
"164779007","Special cardiovascular system test abnormal (finding)","3154.00","Special CVS test abnormal","3 - Diagnostic procedures"
"164780005","Jugular vein catheterization (procedure)","3156.00","Jugular vein catheterisation","3 - Diagnostic procedures"
"164781009","Inferior vena cava catheterization (procedure)","3157.00","Inf. vena cava catheterisation","3 - Diagnostic procedures"
"164781009","Inferior vena cava catheterization (procedure)","3157.11","IVC catheterization","3 - Diagnostic procedures"
"164782002","Myocardial oxygen consumption (observable entity)","315A.00","Myocardial oxygen consumption","3 - Diagnostic procedures"
"164783007","Ambulatory blood pressure recording (procedure)","315B.00","Ambulatory blood pressure recording","3 - Diagnostic procedures"
"164786004","Special gastrointestinal tract test not done (situation)","3161.00","Special GIT test not done","3 - Diagnostic procedures"
"164787008","Special gastrointestinal tract test done (situation)","3162.00","Special GIT test done","3 - Diagnostic procedures"
"164788003","Special gastrointestinal tract test normal (finding)","3163.00","Special GIT test normal","3 - Diagnostic procedures"
"164789006","Special gastrointestinal tract test abnormal (finding)","3164.00","Special GIT test abnormal","3 - Diagnostic procedures"
"164790002","Breath test (procedure)","3166.00","Breath test","3 - Diagnostic procedures"
"164795007","Special urinary test not done (situation)","3171.00","Special urinary test not done","3 - Diagnostic procedures"
"164796008","Special urinary test done (situation)","3172.00","Special urinary test done","3 - Diagnostic procedures"
"164798009","Cystometry normal (finding)","3173000","Cystometry normal","3 - Diagnostic procedures"
"164800002","Cystometry abnormal (finding)","3174000","Cystometry abnormal","3 - Diagnostic procedures"
"164801003","Detrusor reflex testing (procedure)","3175.00","Detrusor reflex testing","3 - Diagnostic procedures"
"164802005","Residual urine volume (observable entity)","3176.00","Residual urinary volume","3 - Diagnostic procedures"
"164803000","Pad test for incontinence (procedure)","317A.00","Pad test for incontinence","3 - Diagnostic procedures"
"164807004","Special female genital test (procedure)","318..00","Special female genital test","3 - Diagnostic procedures"
"164807004","Special female genital test (procedure)","318Z.00","Female genital test NOS","3 - Diagnostic procedures"
"164808009","Special female test not done (situation)","3181.00","Special female test not done","3 - Diagnostic procedures"
"164810006","Special female test done (situation)","3182.00","Special female test done","3 - Diagnostic procedures"
"164811005","Special female test normal (finding)","3183.00","Special female test normal","3 - Diagnostic procedures"
"164812003","Special female test abnormal (finding)","3184.00","Special female test abnormal","3 - Diagnostic procedures"
"164814002","Postcoital test (procedure)","3186.00","Post-coital test","3 - Diagnostic procedures"
"164815001","Postcoital test abnormal (finding)","3186000","Postcoital test abnormal","3 - Diagnostic procedures"
"164816000","Postcoital test normal (finding)","3186100","Postcoital test normal","3 - Diagnostic procedures"
"164817009","Placental localization (procedure)","3188.00","Placental localisation","3 - Diagnostic procedures"
"164819007","Female infertility test normal (finding)","3189000","Female infertility test normal","3 - Diagnostic procedures"
"164820001","Female infertility test abnormal (finding)","3189100","Female infertility test abnormal","3 - Diagnostic procedures"
"164822009","Special male genital test (procedure)","319Z.00","Special male genital test NOS","3 - Diagnostic procedures"
"164822009","Special male genital test (procedure)","319..00","Special male genital test","3 - Diagnostic procedures"
"164823004","Special male test not done (situation)","3191.00","Special male test not done","3 - Diagnostic procedures"
"164824005","Special male test done (situation)","3192.00","Special male test done","3 - Diagnostic procedures"
"164825006","Special male test normal (finding)","3193.00","Special male test normal","3 - Diagnostic procedures"
"164826007","Special male test abnormal (finding)","3194.00","Special male test abnormal","3 - Diagnostic procedures"
"164827003","Investigations for male infertility (procedure)","3195.11","Infertility investigation-male","3 - Diagnostic procedures"
"164827003","Investigations for male infertility (procedure)","3195.00","Male infertility testing","3 - Diagnostic procedures"
"164830005","Special musculo-skeletal test (procedure)","31A..00","Special musculo-skeletal test","3 - Diagnostic procedures"
"164831009","Musculoskeletal test not done (situation)","31A1.00","Musc.-skeletal test not done","3 - Diagnostic procedures"
"164832002","Musculoskeletal test done (situation)","31A2.00","Musc.-skeletal test done","3 - Diagnostic procedures"
"164833007","Musculoskeletal test normal (finding)","31A3.00","Musc.-skeletal test normal","3 - Diagnostic procedures"
"164834001","Musculoskeletal test abnormal (finding)","31A4.00","Musc.-skeletal test abnormal","3 - Diagnostic procedures"
"164835000","Limb length (observable entity)","31A5.00","Limb length measurement","3 - Diagnostic procedures"
"164836004","Musculoskeletal movement (observable entity)","31A6.00","Movement measurement","3 - Diagnostic procedures"
"164838003","Special dermatological testing (procedure)","31B..00","Special dermatological testing","3 - Diagnostic procedures"
"164838003","Special dermatological testing (procedure)","31BZ.00","Special dermatol tests NOS","3 - Diagnostic procedures"
"164840008","Stereo microscopy (procedure)","31B2.00","Stereo microscopy","3 - Diagnostic procedures"
"164841007","Monochromator phototest (procedure)","31B4.00","Monochromator light test","3 - Diagnostic procedures"
"164846002","Electrocardiogram requested (situation)","3211.00","ECG requested","3 - Diagnostic procedures"
"164847006","Standard electrocardiogram (procedure)","3212.00","Standard ECG","3 - Diagnostic procedures"
"164850009","Ambulatory electrocardiogram (procedure)","3214.00","Ambulatory ECG","3 - Diagnostic procedures"
"164851008","Ambulatory electrocardiogram normal (finding)","3214000","Ambulatory ECG normal","3 - Diagnostic procedures"
"164852001","Ambulatory electrocardiogram abnormal (finding)","3214100","Ambulatory ECG abnormal","3 - Diagnostic procedures"
"164853006","Electrocardiogram not done (situation)","3215.00","ECG not done","3 - Diagnostic procedures"
"164854000","Electrocardiogram normal (finding)","3216.00","ECG normal","3 - Diagnostic procedures"
"164861001","Electrocardiographic myocardial ischemia (finding)","322Z.00","ECG: myocardial ischaemia NOS","3 - Diagnostic procedures"
"164861001","Electrocardiographic myocardial ischemia (finding)","3222.00","ECG:shows myocardial ischaemia","3 - Diagnostic procedures"
"164861001","Electrocardiographic myocardial ischemia (finding)","322..00","ECG: myocardial ischaemia","3 - Diagnostic procedures"
"164862008","Electrocardiogram: no myocardial ischemia (finding)","3221.00","ECG: no myocardial ischaemia","3 - Diagnostic procedures"
"164865005","Electrocardiographic myocardial infarction (finding)","323..00","ECG: myocardial infarction","3 - Diagnostic procedures"
"164865005","Electrocardiographic myocardial infarction (finding)","323Z.00","ECG: myocardial infarct NOS","3 - Diagnostic procedures"
"164866006","Electrocardiogram: no myocardial infarction (finding)","3231.00","ECG: no myocardial infarction","3 - Diagnostic procedures"
"164867002","Electrocardiographic old myocardial infarction (finding)","3232.00","ECG: old myocardial infarction","3 - Diagnostic procedures"
"164868007","Anteroseptal infarction on electrocardiogram (finding)","3233.00","ECG: antero-septal infarct.","3 - Diagnostic procedures"
"164869004","Electrocardiographic posterior/inferior infarct (finding)","3234.00","ECG:posterior/inferior infarct","3 - Diagnostic procedures"
"164870003","Electrocardiographic subendocardial infarct (finding)","3235.00","ECG: subendocardial infarct","3 - Diagnostic procedures"
"164871004","Lateral infarction on electrocardiogram (finding)","3236.00","ECG: lateral infarction","3 - Diagnostic procedures"
"164873001","Electrocardiographic left ventricle hypertrophy (finding)","3242.00","ECG: shows LVH","3 - Diagnostic procedures"
"164873001","Electrocardiographic left ventricle hypertrophy (finding)","324Z.00","ECG: LVH NOS","3 - Diagnostic procedures"
"164873001","Electrocardiographic left ventricle hypertrophy (finding)","324..00","ECG:left ventricle hypertrophy","3 - Diagnostic procedures"
"164874007","Electrocardiogram: no left ventricle hypertrophy (finding)","3241.00","ECG: no LVH","3 - Diagnostic procedures"
"164877000","Electrocardiographic right ventricular hypertrophy (finding)","325Z.00","ECG: RVH NOS","3 - Diagnostic procedures"
"164877000","Electrocardiographic right ventricular hypertrophy (finding)","325..00","ECG:right ventricle hypertrop.","3 - Diagnostic procedures"
"164877000","Electrocardiographic right ventricular hypertrophy (finding)","3252.00","ECG: shows RVH","3 - Diagnostic procedures"
"164878005","Electrocardiogram: no right ventricle hypertrophy (finding)","3251.00","ECG: no RVH","3 - Diagnostic procedures"
"164881000","Electrocardiogram: ectopic beats (finding)","326Z.00","ECG: ectopic beats NOS","3 - Diagnostic procedures"
"164881000","Electrocardiogram: ectopic beats (finding)","326..00","ECG: ectopic beats","3 - Diagnostic procedures"
"164882007","Electrocardiogram: no ectopic beats (finding)","3261.00","ECG: no ectopic beats","3 - Diagnostic procedures"
"164883002","Electrocardiogram: extrasystole (finding)","3262.00","ECG: extrasystole","3 - Diagnostic procedures"
"164884008","Electrocardiogram: ventricular ectopics (finding)","3263.00","ECG: ventricular ectopics","3 - Diagnostic procedures"
"164885009","Electrocardiographic atrial ectopics (finding)","3264.00","ECG: atrial ectopics","3 - Diagnostic procedures"
"164887001","Electrocardiographic supraventricular arrhythmia (finding)","327..00","ECG: supraventricular arrhythmia","3 - Diagnostic procedures"
"164887001","Electrocardiographic supraventricular arrhythmia (finding)","327Z.00","ECG: supraventric. arryth. NOS","3 - Diagnostic procedures"
"164888006","Supraventricular arrhythmia absent on electrocardiogram (finding)","3271.00","ECG: no supraventric. arryth.","3 - Diagnostic procedures"
"164889003","Electrocardiographic atrial fibrillation (finding)","3272.00","ECG: atrial fibrillation","3 - Diagnostic procedures"
"164890007","Electrocardiographic atrial flutter (finding)","3273.00","ECG: atrial flutter","3 - Diagnostic procedures"
"164891006","Electrocardiogram: paroxysmal atrial tachycardia (finding)","3274.00","ECG: paroxysmal atrial tachy.","3 - Diagnostic procedures"
"164893009","Electrocardiographic ventricular arrhythmia (finding)","328Z.00","ECG: ventricular arrhythmia NOS","3 - Diagnostic procedures"
"164893009","Electrocardiographic ventricular arrhythmia (finding)","328..00","ECG: ventricular arrhythmia","3 - Diagnostic procedures"
"164894003","Electrocardiogram: no ventricular arrhythmia (finding)","3281.00","ECG: no ventricular arrhythmia","3 - Diagnostic procedures"
"164895002","Electrocardiographic ventricular tachycardia (finding)","3282.00","ECG: ventricular tachycardia","3 - Diagnostic procedures"
"164896001","Electrocardiographic ventricular fibrillation (finding)","3283.00","ECG: ventricular fibrillation","3 - Diagnostic procedures"
"164898000","Electrocardiographic heart block (finding)","329..00","ECG: heart block","3 - Diagnostic procedures"
"164898000","Electrocardiographic heart block (finding)","329Z.00","ECG: heart block NOS","3 - Diagnostic procedures"
"164899008","Electrocardiogram: no heart block (finding)","3291.00","ECG: no heart block","3 - Diagnostic procedures"
