"conceptId","term","read2_code","read2_term","read2_chapter"
"158844007","Advertisement manager (occupation)","02D4.00","Advertisement manager","0 - Occupations"
"158847000","Purchasing manager (occupation)","02E1.00","Purchasing manager","0 - Occupations"
"158848005","Retail buyer (occupation)","02E2.00","Retail buyer","0 - Occupations"
"158849002","Wholesale buyer (occupation)","02E3.00","Wholesale buyer","0 - Occupations"
"158850002","Purchasing officer (occupation)","02E4.00","Purchasing officer","0 - Occupations"
"158850002","Purchasing officer (occupation)","02E..12","Purchasing officer","0 - Occupations"
"158851003","Buyer - advertising space (occupation)","02E5.00","Buyer - advertising space","0 - Occupations"
"158852005","Print buyer - advertising (occupation)","02E6.00","Print buyer - advertising","0 - Occupations"
"158853000","Trainee buyer (occupation)","02E7.00","Trainee buyer","0 - Occupations"
"158857004","Estate agent (occupation)","02F1.00","Estate agent","0 - Occupations"
"158858009","Land agent (occupation)","02F2.00","Land agent","0 - Occupations"
"158859001","Trainee estate agent (occupation)","02F3.00","Trainee estate agent","0 - Occupations"
"158861005","Librarian/information officer (occupation)","02GZ.00","Librarian/info.officer NOS","0 - Occupations"
"158861005","Librarian/information officer (occupation)","02G..00","Librarian/information officer","0 - Occupations"
"158862003","Information officer (occupation)","02G3.00","Information officer","0 - Occupations"
"158863008","Government intelligence officer (occupation)","02G4.00","Gov't. intelligence officer","0 - Occupations"
"158866000","Statutory inspector (occupation)","02H..00","Statutory inspectors","0 - Occupations"
"158866000","Statutory inspector (occupation)","02HZ.00","Statutory inspector NOS","0 - Occupations"
"158868004","Pollution inspector (occupation)","02H2.00","Pollution inspector","0 - Occupations"
"158869007","Trading standards officer (occupation)","02H3.00","Trading standards officer","0 - Occupations"
"158870008","Inspector of factories (occupation)","02H4.00","Inspector of factories","0 - Occupations"
"158870008","Inspector of factories (occupation)","02H4.11","Factory inspector","0 - Occupations"
"158871007","Ship surveyor (occupation)","02H5.00","Ship surveyor","0 - Occupations"
"158872000","Building inspector (occupation)","02H6.00","Building inspector","0 - Occupations"
"158873005","Public utility inspector (occupation)","02H7.00","Public utility inspector","0 - Occupations"
"158876002","Water bailiff (occupation)","02HA.00","Water bailiff","0 - Occupations"
"158878001","Trainee statutory inspector (occupation)","02HC.00","Trainee statutory inspector","0 - Occupations"
"158881006","Personal assistant (occupation)","02Z1.00","Personal assistant","0 - Occupations"
"158884003","Appraiser (services standards) (occupation)","02Z4.00","Appraiser (services standards)","0 - Occupations"
"158885002","Management consultant (occupation)","02Z5.00","Management consultant","0 - Occupations"
"158888000","University academic staff (occupation)","031..00","University academic staff","0 - Occupations"
"158889008","University vice-chancellor (occupation)","0311.00","University vice-chancellor","0 - Occupations"
"158890004","University professor (occupation)","0312.00","University professor","0 - Occupations"
"158891000","University lecturer (occupation)","0313.00","University lecturer","0 - Occupations"
"158892007","University dean (occupation)","0314.00","University dean","0 - Occupations"
"158895009","Teacher training principal (occupation)","0321.00","Teacher training principal","0 - Occupations"
"158896005","Teacher training teacher (occupation)","032Z.00","Teacher training teacher NOS","0 - Occupations"
"158896005","Teacher training teacher (occupation)","0322.00","Teacher training teacher","0 - Occupations"
"158896005","Teacher training teacher (occupation)","032..00","Teacher training teachers","0 - Occupations"
"158898006","Further education teacher (occupation)","0332.00","Further education teacher","0 - Occupations"
"158898006","Further education teacher (occupation)","033Z.00","Further education teacher NOS","0 - Occupations"
"158898006","Further education teacher (occupation)","033..00","Further education teachers","0 - Occupations"
"158899003","Further education principal (occupation)","0331.00","Further education principal","0 - Occupations"
"158902000","Secondary school head teacher (occupation)","0341.00","Secondary school head teacher","0 - Occupations"
"158903005","Secondary school teacher (occupation)","0342.00","Secondary school teacher","0 - Occupations"
"158905003","Primary school head teacher (occupation)","0351.00","Primary school head teacher","0 - Occupations"
"158906002","Teacher - junior class (occupation)","0352.00","Teacher - junior class","0 - Occupations"
"158907006","Teacher - infant class (occupation)","0353.00","Teacher - infant class","0 - Occupations"
"158910004","Pre-primary head teacher (occupation)","0361.00","Pre-primary head teacher","0 - Occupations"
"158912007","Vocational trainer (occupation)","037Z.00","Vocational trainer NOS","0 - Occupations"
"158912007","Vocational trainer (occupation)","037..00","Vocational trainers","0 - Occupations"
"158913002","Vocational training manager (occupation)","0371.00","Vocational training manager","0 - Occupations"
"158914008","Vocational training instructor (occupation)","0372.00","Vocational training instructor","0 - Occupations"
"158915009","Vocational training trainee (occupation)","0373.00","Vocational training trainee","0 - Occupations"
"158918006","Director of education (occupation)","0381.00","Director of education","0 - Occupations"
"158919003","Education officer (occupation)","0382.00","Education officer","0 - Occupations"
"158921008","Training service inspector (occupation)","0385.00","Training service inspector","0 - Occupations"
"158922001","Physical training teacher (occupation)","0386.00","Physical training teacher","0 - Occupations"
"158923006","Private tutor (occupation)","0387.00","Private tutor","0 - Occupations"
"158924000","Private music teacher (occupation)","0388.00","Private music teacher","0 - Occupations"
"158925004","Private dancing teacher (occupation)","0389.00","Private dancing teacher","0 - Occupations"
"158928002","Social scientist (occupation)","039..00","Social scientists","0 - Occupations"
"158928002","Social scientist (occupation)","039Z.00","Social scientist NOS","0 - Occupations"
"158929005","Archeologist (occupation)","0393.00","Archaeologist","0 - Occupations"
"158932008","Welfare manager (occupation)","03A1.00","Welfare manager","0 - Occupations"
"158933003","Social caseworker (general) (occupation)","03A2.00","Social caseworker (general)","0 - Occupations"
"158934009","Family caseworker (occupation)","03A3.00","Family caseworker","0 - Occupations"
"158935005","Moral welfare worker (occupation)","03A4.00","Moral welfare worker","0 - Occupations"
"158936006","Probation officer (occupation)","03A5.00","Probation officer","0 - Occupations"
"158939004","Child care officer (occupation)","03A8.00","Child care officer","0 - Occupations"
"158940002","Youth leader (occupation)","03A9.00","Youth leader","0 - Occupations"
"158941003","Matron - nursery (occupation)","03AA.00","Matron - nursery","0 - Occupations"
"158942005","Residential child care worker (occupation)","03AB.00","Residential child care worker","0 - Occupations"
"158943000","Residential youth care worker (occupation)","03AC.00","Residential youth care worker","0 - Occupations"
"158944006","Matron (old people's home) (occupation)","03AD.00","Matron (old people's home)","0 - Occupations"
"158946008","Welfare officer - elderly (occupation)","03AE.00","Welfare officer - elderly","0 - Occupations"
"158947004","Welfare officer for the physically handicapped (occupation)","03AF.00","Welfare off.- physic.handicap.","0 - Occupations"
"158948009","Home teacher for the blind (occupation)","03AG.00","Home teacher for the blind","0 - Occupations"
"158949001","Welfare officer to the deaf (occupation)","03AH.00","Welfare officer to the deaf","0 - Occupations"
"158950001","Medical social worker (occupation)","03A..14","Medical social worker","0 - Occupations"
"158950001","Medical social worker (occupation)","03AI.00","Medical social worker","0 - Occupations"
"158951002","Mental welfare officer (occupation)","03AK.00","Mental welfare officer","0 - Occupations"
"158952009","Leader - social group work (occupation)","03AL.00","Leader - social group work","0 - Occupations"
"158953004","Housing manager (occupation)","03AM.00","Housing manager","0 - Occupations"
"158953004","Housing manager (occupation)","03A..12","Housing manager","0 - Occupations"
"158954005","Welfare officer (for staff) (occupation)","03AN.00","Welfare officer (for staff)","0 - Occupations"
"158955006","Safety officer (occupation)","03AO.00","Safety officer","0 - Occupations"
"158956007","Welfare trainee (occupation)","03AP.00","Welfare trainee","0 - Occupations"
"158961009","Career/vocational officer (occupation)","03C..00","Careers/vocational officers","0 - Occupations"
"158961009","Career/vocational officer (occupation)","03CZ.00","Career guidance NOS","0 - Occupations"
"158962002","Career officer (occupation)","03C1.00","Careers officer","0 - Occupations"
"158963007","Vocational guidance specialist (occupation)","03C2.00","Vocational guidance specialist","0 - Occupations"
"158965000","Medical practitioner (occupation)","03D..11","Doctors","0 - Occupations"
"158965000","Medical practitioner (occupation)","03DZ.00","Medical practitioners NOS","0 - Occupations"
"158965000","Medical practitioner (occupation)","03D..00","Medical practitioners","0 - Occupations"
"158966004","Medical administrator - national (occupation)","03D1.00","Medical administrator-national","0 - Occupations"
"158967008","Consultant physician (occupation)","03D4.00","Consultant physician","0 - Occupations"
"158968003","Consultant surgeon (occupation)","03D5.00","Consultant surgeon","0 - Occupations"
"158969006","Consultant gynecology/obstetrics (occupation)","03D6.00","Consultant gynae.+ obstetrics","0 - Occupations"
"158971006","Hospital registrar (occupation)","03DA.00","Hospital registrar","0 - Occupations"
"158972004","House officer (occupation)","03DB.00","Hospital house officer","0 - Occupations"
"158973009","Occupational physician (occupation)","03DD.00","Occupational physician","0 - Occupations"
"158974003","Clinical medical officer (occupation)","03DE.00","Clinical medical officer","0 - Occupations"
"158975002","Medical practitioner - teaching (occupation)","03DF.00","Medical practitioner -teaching","0 - Occupations"
"158977005","Dental administrator (occupation)","03E1.00","Dental administrator","0 - Occupations"
"158978000","Dental consultant (occupation)","03E2.00","Dental consultant","0 - Occupations"
"158979008","Dental general practitioner (occupation)","03E3.00","Dental general practitioner","0 - Occupations"
"158980006","Dental practitioner - teaching (occupation)","03E4.00","Dental practitioner - teaching","0 - Occupations"
"158983008","Nurse administrator - national (occupation)","03F1.00","Nurse administrator - national","0 - Occupations"
"158984002","Nursing officer - region (occupation)","03F2.00","Nursing officer - region","0 - Occupations"
"158985001","Nursing officer - district (occupation)","03F3.00","Nursing officer - district","0 - Occupations"
"158986000","Nursing administrator - professional body (occupation)","03F4.00","Nursing admin.-profession.body","0 - Occupations"
"158987009","Nursing officer - division (occupation)","03F5.00","Nursing officer - division","0 - Occupations"
"158988004","Nurse education director (occupation)","03F6.00","Nurse education director","0 - Occupations"
"158989007","Occupational health nursing officer (occupation)","03F7.00","Occ.health nursing officer","0 - Occupations"
"158990003","Nursing officer (occupation)","03F8.00","Nursing officer","0 - Occupations"
"158992006","Midwifery sister (occupation)","03FA.00","Midwifery sister","0 - Occupations"
"158993001","Nursing sister (theater) (occupation)","03FB.00","Nursing sister (theatre)","0 - Occupations"
"158994007","Staff nurse (occupation)","03FC.00","Staff nurse","0 - Occupations"
"158995008","Staff midwife (occupation)","03FD.00","Staff midwife","0 - Occupations"
"158996009","State enrolled nurse (occupation)","03FE.00","State enrolled nurse","0 - Occupations"
"158997000","District nurse (occupation)","03FG.00","District nurse","0 - Occupations"
"158998005","Private nurse (occupation)","03FH.00","Private nurse","0 - Occupations"
"158999002","Community midwife (occupation)","03FI.00","District midwife","0 - Occupations"
"159001001","Clinic nurse (occupation)","03FK.00","Clinic nurse","0 - Occupations"
"159002008","Practice nurse (occupation)","03FL.00","Practice nurse","0 - Occupations"
"159003003","School nurse (occupation)","03FN.00","School nurse","0 - Occupations"
"159004009","Nurse teacher (occupation)","03FO.00","Nurse - teaching","0 - Occupations"
"159005005","Student nurse (occupation)","03FP.00","Student nurse","0 - Occupations"
"159006006","Dental nurse (occupation)","03FQ.00","Dental nurse","0 - Occupations"
"159007002","Community pediatric nurse (occupation)","03FR.00","Community paediatric nurse","0 - Occupations"
"159010009","Hospital pharmacist (occupation)","03G1.00","Hospital pharmacist","0 - Occupations"
"159011008","Retail pharmacist (occupation)","03G2.00","Retail pharmacist","0 - Occupations"
"159012001","Industrial pharmacist (occupation)","03G3.00","Industrial pharmacist","0 - Occupations"
"159014000","Trainee pharmacist (occupation)","03G5.00","Trainee pharmacist","0 - Occupations"
"159016003","Medical radiographer (occupation)","03H..00","Medical radiographers","0 - Occupations"
"159016003","Medical radiographer (occupation)","03HZ.00","Medical radiographer NOS","0 - Occupations"
"159017007","Diagnostic radiographer (occupation)","03H1.00","Diagnostic radiographer","0 - Occupations"
"159018002","Therapeutic radiographer (occupation)","03H2.00","Therapeutic radiographer","0 - Occupations"
"159019005","Trainee radiographer (occupation)","03H3.00","Trainee radiographer","0 - Occupations"
"159021000","Ophthalmic optician (occupation)","03I1.00","Ophthalmic optician","0 - Occupations"
"159022007","Trainee optician (occupation)","03I3.00","Trainee optician","0 - Occupations"
"159025009","Remedial gymnast (occupation)","03J2.00","Remedial gymnast","0 - Occupations"
"159026005","Speech/language therapist (occupation)","03J6.00","Speech therapist","0 - Occupations"
"159027001","Orthoptist (occupation)","03J7.00","Orthoptist","0 - Occupations"
"159028006","Trainee remedial therapist (occupation)","03J8.00","Trainee remedial therapist","0 - Occupations"
"159033005","Dietitian (occupation)","03K1.00","Dietician","0 - Occupations"
"159034004","Podiatrist (occupation)","03K2.00","Chiropodist","0 - Occupations"
"159035003","Dental auxiliary (occupation)","03K..11","Dental auxilliary","0 - Occupations"
"159035003","Dental auxiliary (occupation)","03K3.00","Dental auxiliary","0 - Occupations"
"159036002","Electrocardiogram technician (occupation)","03K5.00","ECG technician","0 - Occupations"
"159037006","Electroencephalogram technician (occupation)","03K6.00","EEG technician","0 - Occupations"
"159038001","Artificial limb fitter (occupation)","03K7.00","Artificial limb fitter","0 - Occupations"
"159039009","Audiology technician (occupation)","03K8.00","Audiology technician","0 - Occupations"
"159040006","Pharmacy technician (occupation)","03K9.00","Pharmacy technician","0 - Occupations"
"159041005","Trainee medical technician (occupation)","03KA.00","Trainee medical technician","0 - Occupations"
"159044002","Animal health attendant (occupation)","03L2.00","Animal health attendant","0 - Occupations"
"159045001","Animal laboratory technician (occupation)","03L3.00","Animal laboratory technician","0 - Occupations"
"159046000","Trainee - animal health (occupation)","03L4.00","Trainee - animal health","0 - Occupations"
"159049007","Literary/artistic/sports occupation (occupation)","04Z..00","Literary/artistic/sport NOS","0 - Occupations"
"159049007","Literary/artistic/sports occupation (occupation)","04...00","Literary/artistic/sports occ.","0 - Occupations"
"159049007","Literary/artistic/sports occupation (occupation)","049Z.00","Other performing/arts NOS","0 - Occupations"
"159049007","Literary/artistic/sports occupation (occupation)","049..00","Other performing/arts occup.","0 - Occupations"
"159051006","Editor - radio or television programs (occupation)","0413.00","Editor - radio/t.v.programmes","0 - Occupations"
"159052004","Writer - journalism (occupation)","0417.00","Writer - journalism","0 - Occupations"
"159053009","Instruction writer (occupation)","041B.00","Instruction writer","0 - Occupations"
"159054003","Process description writer (occupation)","041C.00","Process description writer","0 - Occupations"
"159055002","Program writer (occupation)","041D.00","Programme writer","0 - Occupations"
"159057005","Monitor (radio broadcasts) (occupation)","041F.00","Monitor (radio broadcasts)","0 - Occupations"
"159058000","Literary agent (occupation)","041G.00","Literary agent","0 - Occupations"
"159059008","Trainee writer (occupation)","041H.00","Trainee writer","0 - Occupations"
"159062006","Artist (occupation)","0421.00","Artist","0 - Occupations"
"159062006","Artist (occupation)","042..11","Artists","0 - Occupations"
"159064007","Set designer - theatre/television (occupation)","0426.00","Set designer - theatre/t.v.","0 - Occupations"
"159065008","Art director (films) (occupation)","0427.00","Art director (films)","0 - Occupations"
"159066009","Trainee artist (occupation)","0429.00","Trainee artist","0 - Occupations"
"159069002","Industrial design manager (occupation)","0431.00","Industrial design manager","0 - Occupations"
"159070001","Industrial designer (occupation)","043..00","Industrial designers","0 - Occupations"
"159070001","Industrial designer (occupation)","0432.00","Industrial designer","0 - Occupations"
"159070001","Industrial designer (occupation)","043Z.00","Industrial designer NOS","0 - Occupations"
"159073004","Director - films (occupation)","0443.00","Director - films","0 - Occupations"
"159074005","General manager theater (occupation)","0444.00","General manager - theatre","0 - Occupations"
"159075006","Stage manager theater (occupation)","0445.00","Stage manager - theatre","0 - Occupations"
"159076007","Touring manager -entertainment (occupation)","0446.00","Touring manager -entertainment","0 - Occupations"
"159077003","Lighting manager - television (occupation)","0447.00","Lighting manager - t.v.","0 - Occupations"
"159078008","Stage manager - television (occupation)","0448.00","Stage manager - t.v.","0 - Occupations"
"159079000","Chief cameraman - films (occupation)","044A.00","Chief cameraman - films","0 - Occupations"
"159080002","Film editor (occupation)","044B.00","Film editor","0 - Occupations"
"159081003","Casting director (occupation)","044C.00","Casting director","0 - Occupations"
"159085007","Musical composer/choreographer (occupation)","045..00","Musical composers/choreograph.","0 - Occupations"
"159085007","Musical composer/choreographer (occupation)","045Z.00","Musical composer NOS","0 - Occupations"
"159088009","Conductor (musical) (occupation)","0461.00","Conductor (musical)","0 - Occupations"
"159090005","Conjurer (occupation)","0468.00","Conjurer","0 - Occupations"
"159091009","Trainer - performing animals (occupation)","0469.00","Trainer - performing animals","0 - Occupations"
"159092002","Trainee entertainer (occupation)","046A.00","Trainee entertainer","0 - Occupations"
"159095000","Photographer (still camera) (occupation)","0471.00","Photographer (still camera)","0 - Occupations"
"159096004","Graphic reproduction operator (occupation)","0472.00","Graphic reproduction operator","0 - Occupations"
"159097008","Television cameraman (occupation)","0473.00","Television cameraman","0 - Occupations"
"159098003","Film cameraman (occupation)","0474.00","Film cameraman","0 - Occupations"
"159099006","Optical printer (line-film) (occupation)","0475.00","Optical printer (line-film)","0 - Occupations"
"159100003","Trainee photographer (occupation)","0476.00","Trainee photographer","0 - Occupations"
"159103001","Audiovisual aids operator (occupation)","0481.00","Audio-visual aids operator","0 - Occupations"
"159104007","Telecine operator (occupation)","0483.00","Telecine operator","0 - Occupations"
"159106009","Video tape recorder operator (occupation)","0484.00","Video tape recorder operator","0 - Occupations"
"159107000","Film recorder operator (occupation)","0485.00","Film recorder operator","0 - Occupations"
"159108005","Sound recordist (occupation)","0486.00","Sound recordist","0 - Occupations"
"159109002","Sound mixer (occupation)","0487.00","Sound mixer","0 - Occupations"
"159110007","Dubbing mixer (occupation)","0488.00","Dubbing mixer","0 - Occupations"
"159113009","Newsreader (radio/television) (occupation)","0492.00","Newsreader (radio/t.v.)","0 - Occupations"
"159114003","Theatrical agent (occupation)","0493.00","Theatrical agent","0 - Occupations"
"159115002","Window dresser (occupation)","0494.00","Window dresser","0 - Occupations"
"159116001","Florist (occupation)","0495.00","Florist","0 - Occupations"
"159117005","Artist's model (occupation)","0496.00","Artist's model","0 - Occupations"
"159120002","Sports team manager (occupation)","04A1.00","Sports team manager","0 - Occupations"
"159121003","Professional association soccer player (occupation)","04A2.00","Prof. association footballer","0 - Occupations"
"159122005","Jockey (occupation)","04A3.00","Jockey","0 - Occupations"
"159123000","Racing car driver (occupation)","04A4.00","Racing car driver","0 - Occupations"
"159124006","Racing motor cyclist (occupation)","04A5.00","Racing motor cyclist","0 - Occupations"
"159126008","Sports instructor (occupation)","04A7.00","Sports instructor","0 - Occupations"
"159127004","Sport trainee (occupation)","04AA.00","Sport trainee","0 - Occupations"
"159128009","Professional boxer (occupation)","04AB.00","Professional boxer","0 - Occupations"
"159133008","Biological science manager (occupation)","0511.00","Biological science manager","0 - Occupations"
"159134002","Hydrobiologist (occupation)","0515.00","Hydrobiologist","0 - Occupations"
"159135001","Parasitologist (occupation)","0516.00","Parasitologist","0 - Occupations"
"159136000","Mycologist (occupation)","0517.00","Mycologist","0 - Occupations"
"159137009","Entomologist (occupation)","0518.00","Entomologist","0 - Occupations"
"159138004","Microbiologist (occupation)","0519.00","Microbiologist","0 - Occupations"
"159139007","Taxonomist (occupation)","051A.00","Taxonomist","0 - Occupations"
"159140009","Ecologist (occupation)","051B.00","Ecologist","0 - Occupations"
"159141008","Geneticist (occupation)","051D.00","Geneticist","0 - Occupations"
"159142001","Cytologist (occupation)","051E.00","Cytologist","0 - Occupations"
"159143006","Histologist (occupation)","051F.00","Histologist","0 - Occupations"
"159144000","Agricultural scientist (occupation)","051I.00","Agricultural scientist","0 - Occupations"
"159145004","Trainee biological scientist (occupation)","051K.00","Trainee biological scientist","0 - Occupations"
"159147007","Chemical scientist manager (occupation)","0521.00","Chemical scientist manager","0 - Occupations"
"159148002","Research chemist (occupation)","0523.00","Research chemist","0 - Occupations"
"159149005","Consultancy/advice chemist (occupation)","0525.00","Consultancy/advice chemist","0 - Occupations"
"159150005","Trainee chemical scientist (occupation)","0527.00","Trainee chemical scientist","0 - Occupations"
"159152002","Physical scientist manager (occupation)","0531.00","Physical scientist manager","0 - Occupations"
"159153007","Atomic/molecular physicist (occupation)","0535.00","Atomic/molecular physicist","0 - Occupations"
"159154001","Radiation protection physicist (occupation)","0536.00","Radiation protection physicist","0 - Occupations"
"159155000","Hospital physicist (occupation)","0537.00","Hospital physicist","0 - Occupations"
"159156004","Biophysicist (occupation)","053B.00","Biophysicist","0 - Occupations"
"159157008","Trainee physicist (occupation)","053C.00","Trainee physicist","0 - Occupations"
"159159006","Geological scientist manager (occupation)","0541.00","Geological scientist manager","0 - Occupations"
"159160001","Geologist (occupation)","0542.00","Geologist","0 - Occupations"
"159161002","Mineralogist (occupation)","0543.00","Mineralogist","0 - Occupations"
"159162009","Paleontologist (occupation)","0544.00","Palaeontologist","0 - Occupations"
"159163004","Trainee geological scientist (occupation)","0545.00","Trainee geological scientist","0 - Occupations"
"159165006","Mathematician (occupation)","055..11","Mathematician","0 - Occupations"
"159165006","Mathematician (occupation)","055..00","Mathematicians","0 - Occupations"
"159165006","Mathematician (occupation)","055Z.00","Mathematician NOS","0 - Occupations"
"159166007","Mathematician manager (occupation)","0551.00","Mathematician manager","0 - Occupations"
"159169000","Natural scientist manager (occupation)","0561.00","Natural scientist manager","0 - Occupations"
"159170004","Trainee natural scientist (occupation)","0562.00","Trainee natural scientist","0 - Occupations"
"159173002","Civil engineer manager (occupation)","0571.00","Civil engineer manager","0 - Occupations"
"159174008","Civil engineer - research (occupation)","0573.00","Civil engineer - research","0 - Occupations"
"159175009","Civil engineer - design (occupation)","0574.00","Civil engineer - design","0 - Occupations"
"159176005","Civil engineer - feasibility studies (occupation)","0575.00","Civil eng.-feasability studies","0 - Occupations"
"159177001","Civil engineer - liaison (occupation)","0576.00","Civil engineer - liaison","0 - Occupations"
"159178006","Civil engineer - consultancy/advice (occupation)","0577.00","Civil eng.- consultancy/advice","0 - Occupations"
"159179003","Civil engineer - trainee (occupation)","0578.00","Civil engineer - trainee","0 - Occupations"
"159183003","Mining engineer manager (occupation)","0581.00","Mining engineer manager","0 - Occupations"
"159184009","Quarrying engineer (occupation)","058..13","Quarrying engineers","0 - Occupations"
"159184009","Quarrying engineer (occupation)","0584.00","Quarrying engineer","0 - Occupations"
"159185005","Natural gas engineer (occupation)","0585.00","Natural gas engineer","0 - Occupations"
"159186006","Oil well engineer (occupation)","0586.00","Oil well engineer","0 - Occupations"
"159188007","Mechanical engineer manager (occupation)","0591.00","Mechanical engineer manager","0 - Occupations"
"159189004","Mechanical engineer - research/development (occupation)","0593.00","Mech.eng.- research/develop.","0 - Occupations"
"159190008","Mechanical engineer - design (occupation)","0594.00","Mechanical engineer - design","0 - Occupations"
"159191007","Mechanical engineer - feasibility studies (occupation)","0595.00","Mech.eng.- feasability studies","0 - Occupations"
"159192000","Mechanical engineer - applications (occupation)","0596.00","Mech.eng.- applications","0 - Occupations"
"159193005","Mechanical engineer - liaison (occupation)","0597.00","Mechanical engineer - liaison","0 - Occupations"
"159194004","Mechanical engineer - consultancy/advice (occupation)","0598.00","Mech.eng.- consultancy/advice","0 - Occupations"
"159195003","Mechanical engineer - trainee (occupation)","0599.00","Mechanical engineer - trainee","0 - Occupations"
"159197006","Aeronautical engineer - manager (occupation)","05A1.00","Aeronautical eng.- manager","0 - Occupations"
"159198001","Aeronautical engineer - general (occupation)","05A2.00","Aeronautical eng.- general","0 - Occupations"
"159199009","Aeronautical engineer - research/development (occupation)","05A3.00","Aero.eng.- research/develop.","0 - Occupations"
"159200007","Aeronautical engineer - design (occupation)","05A4.00","Aeronautical eng.- design","0 - Occupations"
"159201006","Aeronautical engineer - feasibility studies (occupation)","05A5.00","Aero.eng. feasability studies","0 - Occupations"
"159202004","Aeronautical engineer - applications (occupation)","05A6.00","Aero.eng.- applications","0 - Occupations"
"159203009","Aeronautical engineer - liaison (occupation)","05A7.00","Aeronautical eng.- liaison","0 - Occupations"
"159204003","Aeronautical engineer - consultancy/advice (occupation)","05A8.00","Aero.eng.- consultancy/advice","0 - Occupations"
"159205002","Aeronautical engineer - trainee (occupation)","05A9.00","Aeronautical eng.- trainee","0 - Occupations"
"159207005","Electrical engineer - manager (occupation)","05B1.00","Electr.engineer - manager","0 - Occupations"
"159208000","Electrical engineer - research/development (occupation)","05B3.00","Electr.eng.- research/develop.","0 - Occupations"
"159209008","Electrical engineer - design (occupation)","05B4.00","Electr.engineer - design","0 - Occupations"
"159210003","Electrical engineer - feasibility studies (occupation)","05B5.00","Electr.eng-feasability studies","0 - Occupations"
"159211004","Electrical engineer - applications (occupation)","05B6.00","Electr.eng.- applications","0 - Occupations"
"159212006","Electrical engineer - liaison (occupation)","05B7.00","Electr.engineer - liaison","0 - Occupations"
"159213001","Electrical engineer - consultancy/advice (occupation)","05B8.00","Elec.eng.- consultancy/advice","0 - Occupations"
"159214007","Electrical engineer - trainee (occupation)","05B9.00","Elect.engineer - trainee","0 - Occupations"
"159216009","Chemical engineer manager (occupation)","05C1.00","Chemical engineer manager","0 - Occupations"
"159217000","Chemical engineer - research/development (occupation)","05C3.00","Chem.eng.- research/develop.","0 - Occupations"
"159218005","Chemical engineer - design (occupation)","05C4.00","Chemical engineer - design","0 - Occupations"
"159219002","Chemical engineer - feasibility studies (occupation)","05C5.00","Chem.eng.- feasability studies","0 - Occupations"
"159220008","Chemical engineer - applications (occupation)","05C6.00","Chem.engineer - applications","0 - Occupations"
"159221007","Chemical engineer - liaison (occupation)","05C7.00","Chemical engineer - liaison","0 - Occupations"
"159222000","Chemical engineer - consultancy/advice (occupation)","05C8.00","Chem.eng.- consultancy/advice","0 - Occupations"
"159223005","Chemical engineer trainee (occupation)","05C9.00","Chemical engineer trainee","0 - Occupations"
"159226002","Production engineer (occupation)","05D1.00","Production engineer","0 - Occupations"
"159226002","Production engineer (occupation)","05D..00","Production engineers","0 - Occupations"
"159226002","Production engineer (occupation)","05DZ.00","Production engineer NOS","0 - Occupations"
"159227006","Production engineer trainee (occupation)","05D2.00","Production engineer trainee","0 - Occupations"
"159230004","Instrumentation engineer (occupation)","05E3.00","Instrumentation engineer","0 - Occupations"
"159231000","Refrigeration engineer (occupation)","05E5.00","Refrigeration engineer","0 - Occupations"
"159232007","Traffic engineer (occupation)","05E6.00","Traffic engineer","0 - Occupations"
"159233002","General engineer (occupation)","05E7.00","General engineer","0 - Occupations"
"159233002","General engineer (occupation)","05EZ.00","General/other engineer NOS","0 - Occupations"
"159234008","Trainee engineer (occupation)","05E8.00","Trainee engineer","0 - Occupations"
"159236005","Technologist (occupation)","05...13","Technologists - professional","0 - Occupations"
"159236005","Technologist (occupation)","05FZ.00","Technologist NOS","0 - Occupations"
"159236005","Technologist (occupation)","05F..00","Technologists","0 - Occupations"
"159237001","Technology manager (occupation)","05F1.00","Technology manager","0 - Occupations"
"159238006","Glass technologist (occupation)","05F3.00","Glass technologist","0 - Occupations"
"159239003","Ceramics technologist (occupation)","05F4.00","Ceramics technologist","0 - Occupations"
"159240001","Rubber technologist (occupation)","05F5.00","Rubber technologist","0 - Occupations"
"159242009","Textile technologist (occupation)","05F7.00","Textile technologist","0 - Occupations"
"159243004","Fuel technologist (occupation)","05F6.11","Fuel technologist","0 - Occupations"
"159243004","Fuel technologist (occupation)","05F8.00","Fuel technologist","0 - Occupations"
"159244005","Brewer (occupation)","05FA.00","Brewer","0 - Occupations"
"159245006","Trainee technologist (occupation)","05FB.00","Trainee technologist","0 - Occupations"
"159248008","Airplane pilot (occupation)","05G1.00","Aeroplane pilot","0 - Occupations"
"159249000","Helicopter pilot (occupation)","05G2.00","Helicopter pilot","0 - Occupations"
"159250000","Airplane co-pilot (occupation)","05G3.00","Aeroplane co-pilot","0 - Occupations"
"159251001","Helicopter co-pilot (occupation)","05G4.00","Helicopter co-pilot","0 - Occupations"
"159252008","Aircraft test pilot (occupation)","05G5.00","Aircraft test pilot","0 - Occupations"
"159253003","Trainee flight deck officer (occupation)","05G9.00","Trainee flight deck officer","0 - Occupations"
"159256006","Flight planner (occupation)","05H1.00","Flight planner","0 - Occupations"
"159257002","Air traffic control officer (occupation)","05H3.00","Air traffic control officer","0 - Occupations"
"159258007","Trainee air traffic controller (occupation)","05H4.00","Trainee air traffic controller","0 - Occupations"
"159261008","Ship master (occupation)","05I1.00","Ship master","0 - Occupations"
