"","code","description","tag"
"136",3200003,"Sacrocoxalgia (finding)","finding"
"137",3219008,"Disease type AND/OR category unknown (finding)","finding"
"138",3253007,"Discoloration of skin (finding)","finding"
"139",3277001,"Terminal mood insomnia (finding)","finding"
"140",3283003,"Feeling of sand or foreign body in eye (finding)","finding"
"141",3286006,"Patient status determination, greatly improved (finding)","finding"
"142",3368006,"Dull chest pain (finding)","finding"
"143",3391005,"Negative for tumor cells (finding)","finding"
"144",3415004,"Cyanosis (finding)","finding"
"145",3424008,"Tachycardia (finding)","finding"
"146",3434004,"Myotonia (finding)","finding"
"147",3449007,"Finger agnosia (finding)","finding"
"148",3528008,"Restricted carbohydrate fat controlled diet (finding)","finding"
"149",3531009,"Intrapsychic conflict (finding)","finding"
"150",3544004,"Hair-splitting (finding)","finding"
"151",3545003,"Diastolic dysfunction (finding)","finding"
"152",3570003,"Increased blood erythrocyte volume (finding)","finding"
"153",3585009,"Blinking (finding)","finding"
"154",3644009,"Macerated skin (finding)","finding"
"155",3677008,"Academic problem (finding)","finding"
"156",3720003,"Abnormal presence of hemoglobin (finding)","finding"
"157",3747008,"Ejection click (finding)","finding"
"158",3750006,"Arteriospasm (finding)","finding"
"159",3756000,"Static ataxia (finding)","finding"
"160",3763000,"Expected bereavement due to life event (finding)","finding"
"161",3798002,"Premature birth of identical twins, both stillborn (finding)","finding"
"162",3909009,"Coeur en sabot (finding)","finding"
"163",3939004,"Bacterial colony density, transparent (finding)","finding"
"164",3950001,"Birth (finding)","finding"
"165",4017007,"Increased stratum corneum adhesiveness (finding)","finding"
"166",4063001,"Achillodynia (finding)","finding"
"167",4070001,"Palinphrasia (finding)","finding"
"168",4129001,"Argyll-Robertson pupil (finding)","finding"
"169",4142001,"Muscular asthenopia (finding)","finding"
"170",4181001,"Normal peak expiratory flow rate (finding)","finding"
"171",4197006,"Disability evaluation, impairment, class 5 (finding)","finding"
"172",4301008,"Autoimmune state (finding)","finding"
"173",4364002,"Structure of associations (finding)","finding"
"174",4367009,"Hoover's sign (finding)","finding"
"175",4381006,"Verbal paraphasia (finding)","finding"
"176",4386001,"Bronchospasm (finding)","finding"
"177",4426000,"Ten previous induced terminations of pregnancy (finding)","finding"
"178",4468000,"Oppenheim's gait (finding)","finding"
"179",4470009,"Blanching of skin (finding)","finding"
"180",4481007,"Abnormal gastric secretion regulation (finding)","finding"
"181",4506002,"Educational problem (finding)","finding"
"182",4512007,"Group sex play (finding)","finding"
"183",4547004,"Determination of outcome, satisfactory to physician (finding)","finding"
"184",4550001,"Special infant formula (finding)","finding"
"185",4565000,"Decreased oxygen affinity (finding)","finding"
"186",4568003,"Retrosternal pain (finding)","finding"
"187",4592006,"Fourth sound gallop (finding)","finding"
"188",4637005,"Intrahepatic cholestasis (finding)","finding"
"189",4665007,"Thoracic breathing (finding)","finding"
"190",4708004,"Disability evaluation, disability 35% (finding)","finding"
"191",4721006,"Basic motor learning problem (finding)","finding"
"192",4800001,"Pyuria (finding)","finding"
"193",4805006,"Functional aphasia (finding)","finding"
"194",4806007,"Bjerrum scotoma (finding)","finding"
"195",4853005,"Dry coitus (finding)","finding"
"196",4886009,"Premature birth of newborn male (finding)","finding"
"197",4951008,"Nervous asthenopia (finding)","finding"
"198",4967002,"Disability evaluation, disability 99% (finding)","finding"
"199",4969004,"Sinus headache (finding)","finding"
"200",5006002,"Organ or tissue vascular perfusion decreased (finding)","finding"
"201",5033003,"Absent excretory function (finding)","finding"
"202",5049001,"Abnormal angle of erection (finding)","finding"
"203",5088004,"Spontaneous fetal evolution, Douglas' method (finding)","finding"
"204",5090003,"Mannerism (finding)","finding"
"205",5096009,"Abdominal friction rub (finding)","finding"
"206",5125001,"Habitual eating of own hair (finding)","finding"
"207",5149003,"Abnormal hair texture (finding)","finding"
"208",5152006,"Illusions (finding)","finding"
"209",5156009,"Skin rolling (finding)","finding"
"210",5177007,"Electrocardiographic axis finding (finding)","finding"
"211",5240007,"Inappropriate jocularity (finding)","finding"
"212",5248000,"Supraglottic edema (finding)","finding"
"213",5258001,"Pharyngeal gag reflex negative (finding)","finding"
"214",5277004,"Urinary casts (finding)","finding"
"215",5283001,"Hound-dog facies (finding)","finding"
"216",5332004,"Oculogyric crisis (finding)","finding"
"217",5349006,"Weber's test, central (finding)","finding"
"218",5380001,"On ground bystander victim in aircraft accident (finding)","finding"
"219",5413009,"Abnormal male sexual function (finding)","finding"
"220",5467003,"Normal respiratory rhythm (finding)","finding"
"221",5535003,"Repetition failure (finding)","finding"
"222",5549007,"Living in temporary quarters (finding)","finding"
"223",5559008,"Normal cytology findings (finding)","finding"
"224",5591009,"Right homonymous hemianopsia (finding)","finding"
"225",5594001,"Biphasic movement of lower ribs (finding)","finding"
"226",5631002,"Abnormal gastric motility (finding)","finding"
"227",5701003,"Lymphoma stage IIe (finding)","finding"
"228",5754000,"Victim of land warfare (finding)","finding"
"229",5758002,"Bacteremia (finding)","finding"
"230",5794003,"Country dweller (finding)","finding"
"231",5799008,"Hypoactive gag reflex (finding)","finding"
"232",5805002,"Bolus impaction (finding)","finding"
"233",5838006,"Dicrotic pulse (finding)","finding"
"234",5850000,"Suggest repeat smears (finding)","finding"
"235",5852008,"Acromion right anterior position (finding)","finding"
"236",5856006,"N3 category (finding)","finding"
"237",5874002,"Anticipatory anxiety, severe (finding)","finding"
"238",5917004,"Geophagia (finding)","finding"
"239",5934007,"Subcortical aphasia (finding)","finding"
"240",5935008,"Oral contraception (finding)","finding"
"241",5972002,"Delay when starting to pass urine (finding)","finding"
"242",5973007,"Right mentoposterior position (finding)","finding"
"243",5987007,"Recognition odor (finding)","finding"
"244",5988002,"Lack of intuition (finding)","finding"
"245",5999000,"Glasgow coma scale, 9 (finding)","finding"
"246",6049005,"Negativism in catatonia (finding)","finding"
"247",6051009,"Articulatory defect secondary to dental defect (finding)","finding"
"248",6077001,"Foot-drop (finding)","finding"
"249",6096002,"Breech presentation (finding)","finding"
"250",6123003,"pT4 category (finding)","finding"
"251",6140007,"Blunted affect (finding)","finding"
"252",6149008,"Amnesia for remote events (finding)","finding"
"253",6208003,"Clonic seizure (finding)","finding"
"254",6214005,"Normal small intestine secretion (finding)","finding"
"255",6224002,"Decreased hormonal resistance (finding)","finding"
"256",6276003,"Abnormal infradian biorhythm (finding)","finding"
"257",6292008,"Obturator sign (finding)","finding"
"258",6329009,"Lean meat exchange list (finding)","finding"
"259",6334008,"Cervical inunction (finding)","finding"
"260",6346007,"Leukocyte maturation arrest (finding)","finding"
"261",6349000,"Projection - mental defense mechanism (finding)","finding"
"262",6383007,"Premature labor (finding)","finding"
"263",6389006,"Disturbance in physical behavior (finding)","finding"
"264",6390002,"Fine dispersion (finding)","finding"
"265",6391003,"Disability evaluation, disability 75% (finding)","finding"
"266",6412007,"Digitalis toxicity by electrocardiogram (finding)","finding"
"267",6442005,"Intercostal recession (finding)","finding"
"268",6471006,"Suicidal thoughts (finding)","finding"
"269",6494007,"Normal hair texture (finding)","finding"
"270",6497000,"Decreased body mass index (finding)","finding"
"271",6510002,"VX stage (finding)","finding"
"272",6528000,"Cholesterol crystal nucleation in bile (finding)","finding"
"273",6534007,"Epithelial ovarian tumor, International Federation of Gynecology and Obstetrics stage IIA (finding)","finding"
"274",6548007,"Rectal tenesmus (finding)","finding"
"275",6552007,"Lactose free infant formula (finding)","finding"
"276",6561007,"Pain in urethra (finding)","finding"
"277",6575000,"Disinterment (finding)","finding"
"278",6617009,"Referred pain (finding)","finding"
"279",6678005,"Gestation period, 15 weeks (finding)","finding"
"280",6679002,"Specimen less than optimal for diagnosis (finding)","finding"
"281",6686005,"Blood streaked sputum (finding)","finding"
"282",6718007,"Patient status determination, slightly worse (finding)","finding"
"283",6744007,"Painful bladder spasm (finding)","finding"
"284",6762003,"Impaired intestinal epithelial cell transport of amino acids (finding)","finding"
"285",6800004,"Weak E phenotype (finding)","finding"
"286",6810008,"Hypoalgesia (finding)","finding"
"287",6811007,"Prejudice (finding)","finding"
"288",6867004,"Previous pregnancies more than 10 (finding)","finding"
"289",6893006,"First stage of labor (finding)","finding"
"290",6907002,"Hemolysin factor (finding)","finding"
"291",6908007,"Menolipsis (finding)","finding"
"292",6913006,"Decreased exocrine gland secretion (finding)","finding"
"293",6950007,"Dyspraxia (finding)","finding"
"294",6998003,"Vocal fold underadduction (finding)","finding"
"295",7006003,"Clumsiness (finding)","finding"
"296",7011001,"Hallucinations (finding)","finding"
"297",7013003,"Cluster breathing (finding)","finding"
"298",7036007,"Pericardial friction rub (finding)","finding"
"299",7058009,"Noncompliance with treatment (finding)","finding"
"300",7075003,"Normal reproductive state (finding)","finding"
"301",7093002,"Renal colic (finding)","finding"
"302",7114006,"Hypersensitivity to foreign antigen (finding)","finding"
"303",7142008,"Cough at rest (finding)","finding"
"304",7206008,"Decreased peak expiratory flow rate (finding)","finding"
"305",7262008,"Hormone increase (finding)","finding"
"306",7267002,"Narcissistic character (finding)","finding"
"307",7285009,"Milk free infant formula (finding)","finding"
"308",7326005,"Inferior myocardial infarction on electrocardiogram (finding)","finding"
"309",7487003,"200 milligram calcium diet (finding)","finding"
"310",7501002,"Increased lactic acid level (finding)","finding"
"311",7520000,"Pyrexia of unknown origin (finding)","finding"
"312",7545002,"Foot licking (finding)","finding"
"313",7564008,"Liquid cardiac diet (finding)","finding"
"314",7571003,"Feeling guilt (finding)","finding"
"315",7584007,"Occupational maladjustment (finding)","finding"
"316",7595001,"Maternal deprivation (finding)","finding"
"317",7599007,"Genetic behavior (finding)","finding"
"318",7612009,"Functional disorder present, investigation negative (finding)","finding"
"319",7631003,"Infant formula with medium chain triglycerides (finding)","finding"
"320",7653001,"Self-feeding deficit (finding)","finding"
"321",7667005,"Specimen shows excessive cytolysis (finding)","finding"
"322",7668000,"Pseudomasturbation (finding)","finding"
"323",7684004,"Fantasizing (finding)","finding"
"324",7688001,"Ether apnea (finding)","finding"
"325",7689009,"Reading seizure (finding)","finding"
"326",7705008,"Specimen inadequate for hormonal evaluation (finding)","finding"
"327",7707000,"Gestation period, 32 weeks (finding)","finding"
"328",7751009,"Visual discomfort (finding)","finding"
"329",7766007,"Cloudy urine (finding)","finding"
"330",7860005,"Stillbirth of mature male (2500 gms. or more) (finding)","finding"
"331",7862002,"Prolonged loss of consciousness (finding)","finding"
"332",7865000,"Reality testing (finding)","finding"
"333",7888004,"Term birth of newborn quadruplets (finding)","finding"
"334",7919002,"Impaired skin integrity (finding)","finding"
"335",7923005,"Molecular cloning (finding)","finding"
"336",7956006,"Psychogenic vertigo (finding)","finding"
"337",7973008,"Abnormal vision (finding)","finding"
"338",7996008,"Fetal intrauterine distress first noted during labor AND/OR delivery in liveborn infant (finding)","finding"
"339",8004003,"Teething syndrome (finding)","finding"
"340",8009008,"Nocturnal enuresis (finding)","finding"
"341",8011004,"Dysarthria (finding)","finding"
"342",8014007,"Brow presentation (finding)","finding"
"343",8015008,"Absenteeism (finding)","finding"
"344",8022000,"Exercise proteinuria (finding)","finding"
"345",8034008,"Painful penile erection (finding)","finding"
"346",8066003,"Normal chronobiologic state (finding)","finding"
"347",8114009,"Diverticulosis of small intestine (finding)","finding"
"348",8116006,"Phenotype finding (finding)","finding"
"349",8117002,"Gait normal (finding)","finding"
"350",8130001,"Fish-mouthing (finding)","finding"
"351",8228006,"Family disruption with separation (finding)","finding"
"352",8273004,"Intelligence quotient high (finding)","finding"
"353",8298003,"Sheathing of arterioles (finding)","finding"
"354",8317005,"At risk for deficient parenting (finding)","finding"
"355",8330006,"Delusion of infidelity (finding)","finding"
"356",8333008,"Term birth of newborn triplets (finding)","finding"
"357",8349005,"Sexual exposure (finding)","finding"
"358",8357008,"Reduced libido (finding)","finding"
"359",8381001,"Sunken fontanelle (finding)","finding"
"360",8392000,"Non-smoker (finding)","finding"
"361",8399009,"Skin test reaction conversion (finding)","finding"
"362",8453006,"Subcostal recession (finding)","finding"
"363",8461001,"Heel toe gait (finding)","finding"
"364",8466006,"Rapid gastric emptying (finding)","finding"
"365",8480004,"Agnosia for smell (finding)","finding"
"366",8488006,"Synesthesia (finding)","finding"
"367",8510008,"Reduced mobility (finding)","finding"
"368",8517006,"Ex-smoker (finding)","finding"
"369",8614008,"Vocal fatigue (finding)","finding"
"370",8619003,"Infertile (finding)","finding"
"371",8622001,"Normal gallbladder function (finding)","finding"
"372",8644006,"Epigastric fullness (finding)","finding"
"373",8652009,"Opisthotonus (finding)","finding"
"374",8659000,"Ectopic production of endocrine substance (finding)","finding"
"375",8684002,"Disturbance in judgement (finding)","finding"
"376",8686000,"Cocaine-induced sexual dysfunction (finding)","finding"
"377",8702009,"Diurnal only enuresis (finding)","finding"
"378",8708008,"Sharp pain (finding)","finding"
"379",8729004,"Chronic graft rejection (finding)","finding"
"380",8769003,"Abnormal urine odor (finding)","finding"
"381",8794002,"Increased cardiac stroke volume (finding)","finding"
"382",8797009,"Abnormal endochondral bone formation (finding)","finding"
"383",8799007,"Posterior heel pain (finding)","finding"
"384",8866002,"Vague functional signs and symptoms (finding)","finding"
"385",8875000,"Colliquative proteinuria (finding)","finding"
"386",8913004,"Primary physiologic amenorrhea (finding)","finding"
"387",8943002,"Weight gain (finding)","finding"
"388",8955008,"Mucopurulent sputum (finding)","finding"
"389",8971008,"Psychalgia (finding)","finding"
"390",8972001,"Post-hemiplegic tremor (finding)","finding"
"391",9027003,"Normal pulmonary arterial wedge pressure (finding)","finding"
"392",9032002,"Disinterment for recovery of tissues (finding)","finding"
"393",9042000,"Cicatricial lagophthalmos (finding)","finding"
"394",9053006,"Impaired gastric mucosal defense (finding)","finding"
"395",9066006,"Feeling of discouragement (finding)","finding"
"396",9097005,"Stigma (finding)","finding"
"397",9109004,"Genetic alleles (finding)","finding"
"398",9111008,"Glucoglycinuria (finding)","finding"
"399",9112001,"Puerperal convulsion (finding)","finding"
"400",9123002,"Increased turbidity (finding)","finding"
"401",9126005,"Menstrual spotting (finding)","finding"
"402",9140006,"Skin sensitivity to radiation (finding)","finding"
"403",9168005,"Abnormal gastric electrical activity (finding)","finding"
"404",9182005,"Argumentative behavior (finding)","finding"
"405",9224001,"Abnormal precordial pulsation (finding)","finding"
"406",9236007,"Alexia (finding)","finding"
"407",9267009,"Chest pain at rest (finding)","finding"
"408",9272000,"Passes stool completely (finding)","finding"
"409",9279009,"Extra-amniotic pregnancy (finding)","finding"
"410",9288000,"Irrelevant answer (finding)","finding"
"411",9295009,"Subinvolution of breast (finding)","finding"
"412",9331004,"Unidentified body (finding)","finding"
"413",9343003,"Term birth of newborn female (finding)","finding"
"414",9346006,"Normal vital capacity (finding)","finding"
"415",9368001,"Circumoral rhytides (finding)","finding"
"416",9402004,"Five previous induced terminations of pregnancy (finding)","finding"
"417",9431000,"Phase of life problem (finding)","finding"
"418",9437001,"Abnormal presence of myoglobin (finding)","finding"
"419",9447003,"Spastic gait (finding)","finding"
"420",9559002,"Early diastolic murmur (finding)","finding"
"421",9594009,"Cervical conglutination (finding)","finding"
"422",9617008,"Hyperlipoproteinemia diet, type I (finding)","finding"
"423",9619006,"Aseptic fever (finding)","finding"
"424",9626006,"Mechanical pain (finding)","finding"
"425",9653005,"Decreased granulocyte destruction (finding)","finding"
"426",9686009,"Goodell's sign (finding)","finding"
"427",9733003,"Duodenogastric reflux (finding)","finding"
"428",9748009,"Dyskinesia (finding)","finding"
"429",9757003,"Delayed skin test reaction (finding)","finding"
"430",9763007,"Expiratory wheezing (finding)","finding"
"431",9773009,"External migration (finding)","finding"
"432",9789007,"Natural sterility (finding)","finding"
"433",9799002,"Burn patient diet, high calorie, high protein (finding)","finding"
"434",9814003,"Violent retching (finding)","finding"
"435",9828009,"Right atrial to left ventricular shunt (finding)","finding"
"436",9851009,"Body position finding (finding)","finding"
"437",9857008,"Determination of outcome, death avoidable, error in diagnosis (finding)","finding"
"438",9872007,"Normal translucency (finding)","finding"
"439",9906005,"Trial separation (finding)","finding"
"440",9908006,"Normal psychomotor development (finding)","finding"
"441",9950006,"Graft failure due to prolonged ischemia (finding)","finding"
"442",9957009,"Urethral discharge (finding)","finding"
"443",9972008,"Radiating pain (finding)","finding"
"444",9991008,"Abdominal colic (finding)","finding"
"445",10000006,"Radiating chest pain (finding)","finding"
"446",10037000,"Akatonoesis (finding)","finding"
"447",10051000,"Mitral facies (finding)","finding"
"448",10085004,"Metatarsalgia (finding)","finding"
"449",10114008,"Female sterility (finding)","finding"
"450",10139004,"Difficulty adjusting to work situation (finding)","finding"
"451",10152009,"Postpartum state, 4 weeks (finding)","finding"
"452",10191004,"Anticoagulant effect (finding)","finding"
"453",10212000,"Kocher's sign (finding)","finding"
"454",10260002,"Uterine dysfunction (finding)","finding"
"455",10298002,"Victim, motorcycle rider in vehicular AND/OR traffic accident (finding)","finding"
"456",10318004,"Apgar score 6 (finding)","finding"
"457",10325006,"Anomic aphasia (finding)","finding"
"458",10337008,"Incompetence of any valvular structure (finding)","finding"
"459",10360000,"Crow's feet (finding)","finding"
"460",10361001,"Exhaustion delirium (finding)","finding"
"461",10370003,"Rhythm from artificial pacing (finding)","finding"
"462",10379002,"Musculoskeletal hypomobility (finding)","finding"
"463",10387001,"Drug-induced autoimmune reaction (finding)","finding"
"464",10396001,"Radiation diet (finding)","finding"
"465",10423003,"Braun von Fernwald's sign (finding)","finding"
"466",10503001,"Normal voice (finding)","finding"
"467",10579003,"Finding of odor of urine (finding)","finding"
"468",10589004,"Genetic transcription (finding)","finding"
"469",10593005,"Posttransfusion state (finding)","finding"
"470",10601006,"Pain in lower limb (finding)","finding"
"471",10602004,"Diphonia (finding)","finding"
"472",10675001,"Normal pulse rate (finding)","finding"
"473",10835007,"Polycrotic pulse (finding)","finding"
"474",10857000,"Subjective carotid bruit (finding)","finding"
"475",10867005,"Buffalo hump (finding)","finding"
"476",10885003,"Premenstrual symptom (finding)","finding"
"477",10888001,"Liquid diet (finding)","finding"
"478",10904000,"Orthostatic body position (finding)","finding"
"479",10951003,"Pronation of foot (finding)","finding"
"480",11033009,"Courvoisier's sign (finding)","finding"
"481",11072008,"Nonspecific abdominal symptom (finding)","finding"
"482",11082009,"Abnormal pregnancy (finding)","finding"
"483",11092001,"Sinus tachycardia (finding)","finding"
"484",11110006,"Autoimmune reaction mediated by antibody to tissue element without complement (finding)","finding"
"485",11114002,"Sore gums (finding)","finding"
"486",11145003,"Single limb ataxia (finding)","finding"
"487",11172006,"Double step gait (finding)","finding"
"488",11187001,"Bacterial colony hemolysis, alpha prime (finding)","finding"
"489",11193009,"Metallic taste (finding)","finding"
"490",11216008,"Fernandez reaction to lepromin (finding)","finding"
"491",11237000,"4 point gait (finding)","finding"
"492",11246006,"Brow left anterior position (finding)","finding"
"493",11308001,"Compensatory phonatory substitution (finding)","finding"
"494",11337002,"Quickening of fetus (finding)","finding"
"495",11368003,"Prenatal state of fetus, first trimester (finding)","finding"
"496",11403006,"Financially poor (finding)","finding"
"497",11409005,"Left occipitoanterior position (finding)","finding"
"498",11411001,"Disability evaluation, disability 20% (finding)","finding"
"499",11418007,"Legal prosecution (finding)","finding"
"500",11421009,"Fremitus (finding)","finding"
"501",11443001,"Akinetic apraxia (finding)","finding"
"502",11458009,"Anticipatory anxiety, mild (finding)","finding"
"503",11483009,"Ventilatory defect (finding)","finding"
"504",11512006,"Normal sexual function (finding)","finding"
"505",11530004,"Brittle diabetes mellitus (finding)","finding"
"506",11535009,"Leonine facies (finding)","finding"
"507",11542009,"Loss of affect (finding)","finding"
"508",11635001,"Adult antisocial behavior (finding)","finding"
"509",11636000,"Decreased venous wedge pressure (finding)","finding"
"510",11642001,"Intelligence, above average (Intelligence Quotient....) (finding)","finding"
"511",11664005,"Alternately sitting and standing (finding)","finding"
"512",11674008,"Parenteral nutrient (finding)","finding"
"513",11679003,"Radicular pain (finding)","finding"
"514",11739001,"High residue diet (finding)","finding"
"515",11764003,"Postconcussion state (finding)","finding"
"516",11779005,"Normal number (finding)","finding"
"517",11800000,"Subcortical alexia (finding)","finding"
"518",11833005,"Dry cough (finding)","finding"
"519",11834004,"Post-translational genetic ribonucleic acid processing (finding)","finding"
"520",11835003,"Normal bone turnover rate (finding)","finding"
"521",11867000,"Disability evaluation, disability 9% (finding)","finding"
"522",11882005,"Juvenile masturbation (finding)","finding"
"523",11937007,"Disturbance in life pattern associated with recreation (finding)","finding"
"524",11961000,"Disability evaluation, disability 30% (finding)","finding"
"525",11975007,"Paroxysmal vascular dilatation (finding)","finding"
"526",12025005,"Paradoxical respiration (finding)","finding"
"527",12048000,"Homans' sign (finding)","finding"
"528",12136001,"Anal psychosexual phase (finding)","finding"
"529",12141009,"Determination of outcome, death avoidable (finding)","finding"
"530",12146004,"Normal pulse (finding)","finding"
"531",12178007,"Nephrogenous proteinuria (finding)","finding"
"532",12184005,"Visual field defect (finding)","finding"
"533",12200008,"Impaired insight (finding)","finding"
