"conceptId","term","read2_code","read2_term","read2_chapter"
"42351005","Basophil count (procedure)","42LZ.00","Basophil count NOS","4 - Laboratory procedures"
"43355006","Eosinopenia (disorder)","42K2.00","Eosinopenia","4 - Laboratory procedures"
"43516009","Foul smelling sputum (finding)","4E26.00","Sputum: fetid/offensive","4 - Laboratory procedures"
"45154002","Glycosuria (finding)","4668.00","Glycosuria","4 - Laboratory procedures"
"46049004","Reticulocytosis (finding)","42E8.00","RBC's - reticulocytes present","4 - Laboratory procedures"
"46898007","Serologic test for herpes simplex (procedure)","43bS.00","Serologic test for herpes simplex","4 - Laboratory procedures"
"47758006","Hepatitis B surface antigen measurement (procedure)","43BZ.00","SH-antigen test NOS","4 - Laboratory procedures"
"48188009","Azoospermia (finding)","4935.00","Sperm absent - azoospermia","4 - Laboratory procedures"
"50110003","Cervical smear - endocervical cells absent (finding)","4K2B.00","Cervical smear endocervical cells absent","4 - Laboratory procedures"
"50542000","Clark melanoma level 2 (finding)","4M71.00","Clark melanoma level 2","4 - Laboratory procedures"
"50684000","Butyrylcholinesterase measurement (procedure)","44Cl.00","Cholinesterase level","4 - Laboratory procedures"
"51384001","Burr cell (cell)","42D5.00","RBC's - Burr cells present","4 - Laboratory procedures"
"53362006","Basophilic stippling (morphologic abnormality)","42E7.00","RBC's - punctate basophilia","4 - Laboratory procedures"
"54495009","Antibody to thyroid stimulating hormone receptor measurement (procedure)","43mq.00","Thyroid receptor antibody level","4 - Laboratory procedures"
"54706004","Mean corpuscular hemoglobin determination (procedure)","428Z.00","MCH - NOS","4 - Laboratory procedures"
"56944001","Lymphoma stage III (finding)","4M22.00","Lymphoma stage III","4 - Laboratory procedures"
"56953008","Osmolality (observable entity)","4Q41.00","Osmolality","4 - Laboratory procedures"
"58460004","Blood group O (finding)","4315.00","Blood group O","4 - Laboratory procedures"
"59614000","Occult blood in stools (finding)","4794.00","Faecal occult blood: positive","4 - Laboratory procedures"
"60923009","Cell count of synovial fluid (procedure)","4B6Z.00","Synovial fluid cell count NOS","4 - Laboratory procedures"
"61281005","Bloodstained sputum (finding)","4E2G.00","Bloodstained sputum","4 - Laboratory procedures"
"61373006","Bacteriuria (finding)","46B3.00","Urine bacteria test: positive","4 - Laboratory procedures"
"61373006","Bacteriuria (finding)","46U8.00","Urine culture - Bacteria OS","4 - Laboratory procedures"
"64302003","Calculus analysis (procedure)","4G9Z.00","Calculus analysis NOS","4 - Laboratory procedures"
"64435009","Amylase measurement (procedure)","4Q9C.00","Amylase level","4 - Laboratory procedures"
"65209002","Basophilia (finding)","42L2.00","Basophilia","4 - Laboratory procedures"
"66445009","Lymphoma stage IV (finding)","4M23.00","Lymphoma stage IV","4 - Laboratory procedures"
"68793005","Serologic test (procedure)","4JDZ.00","Serology: organism NOS","4 - Laboratory procedures"
"72680000","Lipase measurement (procedure)","4I3H.11","Lipase in sample","4 - Laboratory procedures"
"73512001","Electron microscopic study (procedure)","4I15300","Electron microscopy","4 - Laboratory procedures"
"73718004","Urine protein electrophoresis (procedure)","46OZ.00","Urine protein electrop. NOS","4 - Laboratory procedures"
"74765001","Lymphocyte count (procedure)","42MZ.00","Lymphocyte count NOS","4 - Laboratory procedures"
"75295004","Hard stool (finding)","4745.00","Faeces consistency: hard","4 - Laboratory procedures"
"76422004","Lymphoma stage II (finding)","4M21.00","Lymphoma stage II","4 - Laboratory procedures"
"77020008","Direct Coombs test (procedure)","437Z.00","Coombs test NOS","4 - Laboratory procedures"
"77161005","Cerebrospinal fluid protein electrophoresis (procedure)","48BZ.00","CSF: electrophoresis NOS","4 - Laboratory procedures"
"78304005","Pituitary gonadotropin measurement (procedure)","443Z.00","Gonadotrophin levels NOS","4 - Laboratory procedures"
"80274001","Glomerular filtration rate (observable entity)","451F.00","Glomerular filtration rate","4 - Laboratory procedures"
"80952000","Microbial smear, light microscopy examination (procedure)","4J7..00","Sample: direct micr. organism","4 - Laboratory procedures"
"80952000","Microbial smear, light microscopy examination (procedure)","4J7Z.00","Sample: dir.micr.organism NOS","4 - Laboratory procedures"
"82962001","Protein electrophoresis (procedure)","44NZ.00","Protein electrophoresis NOS","4 - Laboratory procedures"
"83284001","Clark melanoma level 1 (finding)","4M70.00","Clark melanoma level 1","4 - Laboratory procedures"
"83729008","Vitamin D measurement (procedure)","4QB4.00","Vitamin D level","4 - Laboratory procedures"
"84130004","Measurement of protein in cerebrospinal fluid specimen (procedure)","487Z.00","CSF: protein level NOS","4 - Laboratory procedures"
"86189008","Cerebrospinal fluid pressure (observable entity)","483..00","CSF pressure","4 - Laboratory procedures"
"87115003","Resorption rate measurement, renal tubule (procedure)","4514.00","Tubular reabsorption - renal","4 - Laboratory procedures"
"88705004","Insulin C-peptide measurement (procedure)","449A.00","C-peptide level","4 - Laboratory procedures"
"88856000","Glucose measurement, 2 hour post prandial (procedure)","44T3.00","2 hours post food blood sugar","4 - Laboratory procedures"
"102848005","Fat globules in urine (finding)","46TA.00","Urine: fat globules","4 - Laboratory procedures"
"102850002","Urinary reducing substance (finding)","46SZ.00","Urine reducing substances NOS","4 - Laboratory procedures"
"103228002","Hemoglobin saturation with oxygen (observable entity)","44YA.00","Blood oxygen saturation","4 - Laboratory procedures"
"103419001","Clark's melanoma level (observable entity)","4M7..00","Clark staging levels","4 - Laboratory procedures"
"103611008","Specimen too thick for optimal interpretation (finding)","4KM..00","Specimen too thick for optimal interpretation","4 - Laboratory procedures"
"104109009","Cell count, cerebrospinal fluid (procedure)","484Z.00","CSF cell content NOS","4 - Laboratory procedures"
"104133003","Erythrocyte mean corpuscular volume determination (procedure)","42AZ.00","MCV - NOS","4 - Laboratory procedures"
"104150001","Sucrose hemolysis test (procedure)","42YC.00","Sucrose haemolysis test","4 - Laboratory procedures"
"104173009","Microbial culture of sputum (procedure)","4E4..00","Sputum culture","4 - Laboratory procedures"
"104178000","Bacterial culture (procedure)","4J2..12","Culture - bacteriology","4 - Laboratory procedures"
"104381000","Allergen specific immunoglobulin E antibody measurement (procedure)","43Wi.00","Allergen specific IgE antibody level","4 - Laboratory procedures"
"104404005","Alpha-1-fetoprotein measurement, serum (procedure)","44BZ.00","Alpha-feto protein NOS","4 - Laboratory procedures"
"104435004","Screening for occult blood in feces (procedure)","479Z.00","Faecal occult blood NOS","4 - Laboratory procedures"
"104513009","Amniotic fluid appearance, evaluation (procedure)","4H2Z.00","Amniotic fluid appearance NOS","4 - Laboratory procedures"
"104686004","Glucose measurement, blood, test strip (procedure)","44T4.00","Dip-stick blood sugar","4 - Laboratory procedures"
"105002006","Trypsin measurement (procedure)","4I3I.11","Trypsin in sample","4 - Laboratory procedures"
"106221001","Genetic finding (finding)","4L...00","Genetic observations","4 - Laboratory procedures"
"106243009","Breslow depth staging for melanoma (observable entity)","4M3..00","Breslow depth staging for melanoma","4 - Laboratory procedures"
"106252000","Staging classification for lymphoma (tumor staging)","4M2..00","Lymphoma staging system","4 - Laboratory procedures"
"108252007","Laboratory procedure (procedure)","41G..00","Laboratory administration procedures","4 - Laboratory procedures"
"108252007","Laboratory procedure (procedure)","4Z...00","Laboratory procedure NOS","4 - Laboratory procedures"
"112144000","Blood group A (finding)","4312.00","Blood group A","4 - Laboratory procedures"
"112149005","Blood group B (finding)","4313.00","Blood group B","4 - Laboratory procedures"
"113073005","Cerebrospinal fluid oligoclonal bands (procedure)","48F..00","Cerebrospinal fluid oligoclonal bands","4 - Laboratory procedures"
"113076002","Glucose tolerance test (procedure)","44VZ.00","Glucose tolerance test NOS","4 - Laboratory procedures"
"113334004","Orthochromic normoblast (cell)","42E4.11","Normoblast","4 - Laboratory procedures"
"115340009","Ratio measurement (procedure)","44l..00","Biochemical ratio","4 - Laboratory procedures"
"115340009","Ratio measurement (procedure)","44lz.00","Additional biochemical ratios","4 - Laboratory procedures"
"117787001","Measurement of Human coxsackievirus B antibody (procedure)","43dl.00","Coxsackie B antibody level","4 - Laboratory procedures"
"117902003","Measurement of ganglioside GD1a antibody (procedure)","43rB.00","Anti GD1a antibody level","4 - Laboratory procedures"
"117940000","Measurement of ganglioside GQ1b antibody (procedure)","43rG.00","Anti GQ1b antibody level","4 - Laboratory procedures"
"118120009","Measurement of bacterial antibody (procedure)","43e..00","Bacterial antibody level","4 - Laboratory procedures"
"118120009","Measurement of bacterial antibody (procedure)","43n..00","Other bacterial antibody level","4 - Laboratory procedures"
"118121008","Measurement of parasite antibody (procedure)","43g..00","Parasitic antibody level","4 - Laboratory procedures"
"118122001","Measurement of fungal antibody (procedure)","43f..00","Fungal antibody level","4 - Laboratory procedures"
"118144006","Screening test for red cell enzyme deficiency (procedure)","42GZ.00","Red blood cell enzymes NOS","4 - Laboratory procedures"
"118218001","Cell count (procedure)","4KH..00","Cell count","4 - Laboratory procedures"
"119247004","Hypoalbuminemia (disorder)","44M4100","Serum albumin low","4 - Laboratory procedures"
"119328004","Mother's milk specimen (specimen)","4I2A.00","Maternal milk sample","4 - Laboratory procedures"
"119328004","Mother's milk specimen (specimen)","4I2A.11","Breast milk sample","4 - Laboratory procedures"
"119332005","Synovial fluid specimen (specimen)","4B2..00","Synovial fluid source","4 - Laboratory procedures"
"119332005","Synovial fluid specimen (specimen)","4B2Z.00","Synovial fluid: joint NOS","4 - Laboratory procedures"
"119332005","Synovial fluid specimen (specimen)","4B2..11","Synovial fluid sample","4 - Laboratory procedures"
"119342007","Saliva specimen (specimen)","4I28.00","Saliva sample","4 - Laboratory procedures"
"119359002","Bone marrow specimen (specimen)","4C2Z.00","Bone marrow source NOS","4 - Laboratory procedures"
"121258006","Procedure to identify antibody (procedure)","43DZ.00","Legionella antibody test NOS","4 - Laboratory procedures"
"121276004","Antigen assay (procedure)","43k..00","Antigen level","4 - Laboratory procedures"
"121868005","Total cholesterol measurement (procedure)","44PH.00","Total cholesterol measurement","4 - Laboratory procedures"
"122069003","Parasite identification (procedure)","4J52.00","Sample: parasite identified","4 - Laboratory procedures"
"122082006","Rotavirus antigen assay (procedure)","43k6.00","Rotavirus antigen level","4 - Laboratory procedures"
"122444009","Enzyme measurement (procedure)","44CZ.00","Enzymes/specific proteins NOS","4 - Laboratory procedures"
"122444009","Enzyme measurement (procedure)","4Q9..00","Enzyme level","4 - Laboratory procedures"
"122445005","Hormone measurement (procedure)","44AZ.00","Blood hormones NOS","4 - Laboratory procedures"
"122445005","Hormone measurement (procedure)","44A..00","Blood hormone levels NOS","4 - Laboratory procedures"
"122446006","Vitamin measurement (procedure)","4QB..00","Vitamin level","4 - Laboratory procedures"
"122565001","Urinary catheter specimen (specimen)","461C.00","Catheter urine sample","4 - Laboratory procedures"
"122568004","Exudate specimen from wound (specimen)","4I2D.00","Wound exudate sample","4 - Laboratory procedures"
"122569007","Sweat specimen (specimen)","4I21.00","Sweat sample","4 - Laboratory procedures"
"122571007","Pericardial fluid specimen (specimen)","4I2C.00","Pericardial fluid sample","4 - Laboratory procedures"
"122574004","Duodenal fluid specimen (specimen)","4I24.00","Duodenal juice sample","4 - Laboratory procedures"
"122574004","Duodenal fluid specimen (specimen)","4I24.11","Duodenal fluid sample","4 - Laboratory procedures"
"122609004","Specimen from lung obtained by bronchial washing procedure (specimen)","4I2F000","Bronchial washings","4 - Laboratory procedures"
"123038009","Specimen (specimen)","4I2..00","Type of sample","4 - Laboratory procedures"
"125154007","Specimen unsatisfactory for evaluation (finding)","4IA6.00","Specimen unsatisfactory for evaluation","4 - Laboratory procedures"
"127791007","Laboratory test related to hemostasis (procedure)","42QZ.00","Coag./bleeding test NOS","4 - Laboratory procedures"
"128091003","Autoimmune thrombocytopenia (disorder)","42P2.11","Auto-immune thrombocytopenia","4 - Laboratory procedures"
"128091003","Autoimmune thrombocytopenia (disorder)","42P2.11","Auto-immune thrombocytopenia","4 - Laboratory procedures"
"131008004","Increased prolactin level (finding)","4435100","Prolactin level raised","4 - Laboratory procedures"
"131089005","Increased thyroid hormone level (finding)","4422.00","Thyroid hormone tests high","4 - Laboratory procedures"
"131141003","Increased hemoglobin (finding)","4239.00","Haemoglobin high","4 - Laboratory procedures"
"135839007","Sample rejected (finding)","4110.00","Sample rejected","4 - Laboratory procedures"
"135866007","Partially informed of test results (situation)","41C4.00","Partially informed of test results","4 - Laboratory procedures"
"165330008","Laboratory test not necessary (situation)","411..00","Laboratory test not necessary","4 - Laboratory procedures"
"165331007","Laboratory procedure performed (situation)","412..00","Laboratory procedure performed","4 - Laboratory procedures"
"165332000","Laboratory test requested (situation)","413..00","Laboratory test requested","4 - Laboratory procedures"
"165333005","Sample sent to laboratory for test (situation)","4145.00","Blood sample -> Lab NOS","4 - Laboratory procedures"
"165333005","Sample sent to laboratory for test (situation)","414..00","Sample sent to lab. for test","4 - Laboratory procedures"
"165334004","Stool sample sent to laboratory (situation)","4141.00","Stool sample sent to lab.","4 - Laboratory procedures"
"165335003","Blood sample sent to hematology laboratory (situation)","4142.00","Blood sample -> Haematol Lab","4 - Laboratory procedures"
"165336002","Blood sample sent to biochemistry laboratory (situation)","4143.00","Blood sample -> Biochem Lab","4 - Laboratory procedures"
"165337006","Blood sample sent to microbiology laboratory (situation)","4144.00","Blood sample -> Microbiol Lab","4 - Laboratory procedures"
"165339009","Urine sample sent to Lab (situation)","4146.00","Urine sample sent to Lab","4 - Laboratory procedures"
"165340006","Swab sent to Lab (situation)","4147.00","Swab sent to Lab","4 - Laboratory procedures"
"165342003","Patient refused laboratory test (situation)","415..00","Patient refused lab. test","4 - Laboratory procedures"
"165343008","Laboratory test requested - not done (situation)","416..00","Lab. test requested - not done","4 - Laboratory procedures"
"165346000","Laboratory test result abnormal (situation)","419..00","Lab. test result abnormal","4 - Laboratory procedures"
"165347009","Laboratory test result borderline (navigational concept)","41A..00","Lab. test result borderline","4 - Laboratory procedures"
"165348004","Laboratory test due (situation)","41BZ.00","Laboratory test NOS due","4 - Laboratory procedures"
"165348004","Laboratory test due (situation)","41B..00","Laboratory test due","4 - Laboratory procedures"
"165349007","Blood test due (situation)","41B1.00","Blood test due","4 - Laboratory procedures"
"165350007","Urine test due (situation)","41B2.00","Urine test due","4 - Laboratory procedures"
"165351006","Feces test due (situation)","41B3.00","Faeces test due","4 - Laboratory procedures"
"165352004","Cerebrospinal fluid test due (situation)","41B4.00","CSF test due","4 - Laboratory procedures"
"165353009","Semen analysis due (situation)","41B5.00","Semen analysis due","4 - Laboratory procedures"
"165355002","Patient informed - test result (situation)","41CZ.00","Test result to patient NOS","4 - Laboratory procedures"
"165355002","Patient informed - test result (situation)","41C..00","Patient informed - test result","4 - Laboratory procedures"
"165356001","Test result by letter to patient (situation)","41C1.00","Test result by letter to pat.","4 - Laboratory procedures"
"165357005","Test result to patient by telephone (situation)","41C2.00","Test result to pat.by 'phone","4 - Laboratory procedures"
"165358000","Test result to patient personally (situation)","41C3.00","Test result to pat.personally","4 - Laboratory procedures"
"165372009","Hematology test not needed (situation)","4211.00","Haematology test not needed","4 - Laboratory procedures"
"165373004","Hematology test performed (situation)","4212.00","Haematology test performed","4 - Laboratory procedures"
"165374005","Hematology test requested (situation)","4213.00","Haematology test requested","4 - Laboratory procedures"
"165375006","Blood sent for hematology test (situation)","4214.00","Blood sent for haemat. test","4 - Laboratory procedures"
"165376007","Patient refused hematology test (situation)","4215.00","Patient refused haemat. test","4 - Laboratory procedures"
"165377003","Hematology test request - not done (situation)","4216.00","Haemat. test request -not done","4 - Laboratory procedures"
"165378008","Hematology result not back yet (situation)","4217.00","Haematology res. not back yet","4 - Laboratory procedures"
"165384006","On examination - inspection of blood (finding)","422..00","O/E: inspection of blood","4 - Laboratory procedures"
"165384006","On examination - inspection of blood (finding)","422Z.00","O/E: inspection of blood NOS","4 - Laboratory procedures"
"165385007","On examination - blood looks normal (finding)","4221.00","O/E: blood looks normal","4 - Laboratory procedures"
"165386008","On examination - blood looks pale (finding)","4222.00","O/E: blood looks pale","4 - Laboratory procedures"
"165387004","On examination - blood looks deep yellow (finding)","4223.00","O/E: blood looks deep yellow","4 - Laboratory procedures"
"165388009","On examination - blood fails to clot (finding)","4224.00","O/E: blood fails to clot","4 - Laboratory procedures"
"165389001","On examination - retraction of blood clot (finding)","4225.00","O/E: retraction of blood clot","4 - Laboratory procedures"
"165390005","On examination - fat globules in blood (finding)","4226.00","O/E: fat globules in blood","4 - Laboratory procedures"
"165393007","Hemoglobin not estimated (situation)","4231.00","Haemoglobin not estimated","4 - Laboratory procedures"
"165394001","Hemoglobin requested (situation)","4232.00","Haemoglobin requested","4 - Laboratory procedures"
"165395000","Hemoglobin - sample sent (situation)","4233.00","Haemoglobin - sample sent","4 - Laboratory procedures"
"165396004","Hemoglobin very low (finding)","4234.00","Haemoglobin very low","4 - Laboratory procedures"
"165397008","Hemoglobin low (finding)","4235.00","Haemoglobin low","4 - Laboratory procedures"
"165398003","Hemoglobin borderline low (finding)","4236.00","Haemoglobin borderline low","4 - Laboratory procedures"
"165399006","Hemoglobin normal (finding)","4237.00","Haemoglobin normal","4 - Laboratory procedures"
"165400004","Hemoglobin borderline high (finding)","4238.00","Haemoglobin borderline high","4 - Laboratory procedures"
"165402007","Hemoglobin very high (finding)","423A.00","Haemoglobin very high","4 - Laboratory procedures"
"165406005","Full blood count normal (finding)","4241.00","Full blood count normal","4 - Laboratory procedures"
"165407001","Full blood count borderline (finding)","4242.00","Full blood count borderline","4 - Laboratory procedures"
"165408006","Full blood count abnormal (finding)","4243.00","Full blood count abnormal","4 - Laboratory procedures"
"165411007","Hematocrit - packed cell volume - normal (finding)","4251.00","Haematocrit - PCV - normal","4 - Laboratory procedures"
"165412000","Hematocrit - borderline high (finding)","4252.00","Haematocrit - borderline high","4 - Laboratory procedures"
"165413005","Hematocrit - packed cell volume - high (finding)","4253.00","Haematocrit - PCV - high","4 - Laboratory procedures"
"165414004","Hematocrit - packed cell volume - low (finding)","4254.00","Haematocrit - PCV - low","4 - Laboratory procedures"
"165415003","Hematocrit - borderline low (finding)","4255.00","Haematocrit - borderline low","4 - Laboratory procedures"
"165416002","Hematocrit - packed cell volume abnormal (finding)","4256.00","Haematocrit - PCV - abnormal","4 - Laboratory procedures"
"165421004","Red blood cell count normal (finding)","4261.00","RBC count normal","4 - Laboratory procedures"
"165422006","Red blood cell count borderline low (finding)","4262.00","RBC count borderline low","4 - Laboratory procedures"
"165423001","Red blood cell count low (finding)","4263.00","RBC count low","4 - Laboratory procedures"
"165424007","Red blood cell count raised (finding)","4264.00","RBC count raised","4 - Laboratory procedures"
"165425008","Red blood cell count borderline raised (finding)","4265.00","RBC count borderline raised","4 - Laboratory procedures"
"165427000","Red blood cell count abnormal (finding)","4267.00","RBC count abnormal","4 - Laboratory procedures"
"165430007","Color index normal (finding)","4271.00","Colour index normal","4 - Laboratory procedures"
"165431006","Color index borderline raised (finding)","4272.00","Colour index borderline raised","4 - Laboratory procedures"
"165432004","Color index raised (finding)","4273.00","Colour index raised","4 - Laboratory procedures"
"165433009","Color index low (finding)","4274.00","Colour index low","4 - Laboratory procedures"
"165434003","Color index borderline low (finding)","4275.00","Colour index borderline low","4 - Laboratory procedures"
"165437005","Mean corpuscular hemoglobin - normal (finding)","4281.00","MCH - normal","4 - Laboratory procedures"
"165438000","Mean corpuscular hemoglobin borderline low (finding)","4282.00","MCH - borderline low","4 - Laboratory procedures"
"165439008","Mean corpuscular hemoglobin low (finding)","4283.00","MCH - low","4 - Laboratory procedures"
"165440005","Mean corpuscular hemoglobin raised (finding)","4284.00","MCH - raised","4 - Laboratory procedures"
"165441009","Mean corpuscular hemoglobin borderline raised (finding)","4285.00","MCH - borderline raised","4 - Laboratory procedures"
"165442002","Mean corpuscular hemoglobin abnormal (finding)","4286.00","MCH - abnormal","4 - Laboratory procedures"
"165445000","Mean corpuscular hemoglobin concentration normal (finding)","4291.00","MCHC - normal","4 - Laboratory procedures"
"165446004","Mean corpuscular hemoglobin concentration borderline low (finding)","4292.00","MCHC - borderline low","4 - Laboratory procedures"
"165447008","Mean corpuscular hemoglobin concentration - low (finding)","4293.00","MCHC - low","4 - Laboratory procedures"
"165448003","Mean corpuscular hemoglobin concentration raised (finding)","4294.00","MCHC - raised","4 - Laboratory procedures"
"165449006","Mean corpuscular hemoglobin concentration borderline raised (finding)","4295.00","MCHC - borderline raised","4 - Laboratory procedures"
"165452003","Mean corpuscular volume - normal (finding)","42A1.00","MCV - normal","4 - Laboratory procedures"
"165453008","Mean corpuscular volume - borderline raised (finding)","42A2.00","MCV - borderline raised","4 - Laboratory procedures"
"165454002","Mean corpuscular volume - raised (finding)","42A3.00","MCV - raised","4 - Laboratory procedures"
"165455001","Mean corpuscular volume - low (finding)","42A4.00","MCV - low","4 - Laboratory procedures"
"165456000","Mean corpuscular volume - borderline low (finding)","42A5.00","MCV - borderline low","4 - Laboratory procedures"
"165459007","Plasma viscosity normal (finding)","42B1.00","Plasma viscosity normal","4 - Laboratory procedures"
"165460002","Plasma viscosity borderline raised (finding)","42B2.00","Plasma visc. borderline raised","4 - Laboratory procedures"
"165461003","Plasma viscosity raised (finding)","42B3.00","Plasma viscosity raised","4 - Laboratory procedures"
"165462005","Plasma viscosity low (finding)","42B4.00","Plasma viscosity low","4 - Laboratory procedures"
"165463000","Plasma viscosity borderline low (finding)","42B5.00","Plasma visc. borderline low","4 - Laboratory procedures"
"165465007","Erythrocyte sedimentation rate abnormal (finding)","42B6000","ESR abnormal","4 - Laboratory procedures"
"165466008","Low erythrocyte sedimentation rate (finding)","42B6100","ESR low","4 - Laboratory procedures"
"165467004","Erythrocyte sedimentation rate normal (finding)","42B6200","ESR normal","4 - Laboratory procedures"
"165468009","Erythrocyte sedimentation rate raised (finding)","42B6300","ESR raised","4 - Laboratory procedures"
"165473003","Normocytosis, red cells (finding)","42C1.00","Red blood cell size normal","4 - Laboratory procedures"
"165474009","Microcytosis, red cells (finding)","42C2.00","RBC's - microcytic","4 - Laboratory procedures"
"165475005","Anisocytosis, red cells (finding)","42C4.00","RBC's - anisocytosis","4 - Laboratory procedures"
"165477002","Red blood cell shape (observable entity)","42D..00","RBC - red blood cell shape","4 - Laboratory procedures"
"165477002","Red blood cell shape (observable entity)","42DZ.00","Red blood cell shape NOS","4 - Laboratory procedures"
"165478007","Red blood cell shape - normal (finding)","42D1.00","Red blood cell shape - normal","4 - Laboratory procedures"
"165479004","Poikilocytosis (finding)","42D2.00","RBC's - poikilocytosis","4 - Laboratory procedures"
"165485006","Red blood cell color/staining normal (finding)","42E1.00","RBC colour/staining normal","4 - Laboratory procedures"
"165486007","Hypochromic red blood cells (finding)","42E2.00","RBC's - hypochromic","4 - Laboratory procedures"
"165488008","Red blood cells - megaloblasts (finding)","42E5.00","RBC's - megaloblasts","4 - Laboratory procedures"
